ID,species,certainty,bitscore,evalue,pident,length
COPE_0471,Coryphopterus hyalinus,certain,266.5,-71.95015622721144,98.6665,150
COPE_0481,Coryphopterus hyalinus,certain,272.5,-73.49398232042523,99.3335,150
COPE_0482,Coryphopterus hyalinus,certain,278,-74.98716277529483,100,150
COPE_0483,Coryphopterus hyalinus,certain,279,-74.60906489289663,99.355,155
COPE_0486,Coryphopterus personatus,uncertain,278,-75.47108329972235,100,150
COPE_0488,Coryphopterus hyalinus,uncertain,213,-55.88382763678197,92.589,148.33333333333334
COPE_0491,Coryphopterus personatus,uncertain,277.4864864864865,-74.45996850103731,99.92824324324324,150.0810810810811
COPE_0492,Coryphopterus personatus,uncertain,274.3333333333333,-74.31122318798778,99.339,151.33333333333334
COPE_0493,Coryphopterus personatus,uncertain,276.5,-75.13101669055533,99.83324999999999,150
COPE_0495,Coryphopterus hyalinus,certain,267,-71.86646109162979,99.32,147
COPE_0498,Coryphopterus personatus,uncertain,257,-69.2262135550188,100,139
COPE_0499,Coryphopterus personatus,uncertain,238.5,-62.14837911483681,98.181,137.25
COPE_0500,Coryphopterus hyalinus,certain,250,-67.30715308072277,97.279,147
COPE_0504,Coryphopterus hyalinus,certain,278,-74.93554201077308,100,150
COPE_0505,Coryphopterus personatus,uncertain,279,-75.47108329972235,99.351,154
COPE_0506,Coryphopterus personatus,uncertain,278.5,-75.7449897042901,99.6755,152
COPE_0508,Coryphopterus hyalinus,certain,277,-74.8819382565123,99.72214285714286,150.85714285714286
COPE_0509,Coryphopterus personatus,uncertain,278,-75.09312646527793,100,150
COPE_0510,Coryphopterus hyalinus,certain,272,-71.93682820694644,99.3295,149.83333333333334
COPE_0511,Coryphopterus personatus,uncertain,279,-75.95467702121334,99.351,154
COPE_0514,Coryphopterus personatus,uncertain,277.125,-74.51259711884785,99.834875,150.375
COPE_0517,Coryphopterus hyalinus,certain,268.6923076923077,-72.05316140502721,98.92207692307693,149.92307692307693
COPE_0519,Coryphopterus personatus,uncertain,275.5,-75.21697875026983,99.342,152
COPE_0522,Coryphopterus hyalinus,certain,272,-73.0670191780768,99.333,150
COPE_0523,Coryphopterus hyalinus,certain,217,-57.61439372640169,93.197,147
COPE_0524,Coryphopterus hyalinus,uncertain,231,-61.39040559077478,99.225,129
COPE_0525,Coryphopterus hyalinus,certain,274.5,-73.7964868491574,99.583375,150
COPE_0527,Coryphopterus hyalinus,certain,278,-75.95860731484177,100,150
COPE_0530,Coryphopterus hyalinus,certain,278,-75.06148027482351,100,150
COPE_0537,Coryphopterus personatus,uncertain,278,-75.64397414280688,100,150
COPE_0550,Coryphopterus hyalinus,certain,217,-56.995678626217355,93.197,147
COPE_0555,Coryphopterus hyalinus,certain,278.3333333333333,-75.1483800203872,99.785,151.66666666666666
COPE_0556,Coryphopterus personatus,uncertain,278,-74.91364016932525,100,150
COPE_0559,Coryphopterus personatus,uncertain,274,-73.69461855226945,99.833375,148.625
COPE_0561,Coryphopterus hyalinus,certain,274.3695652173913,-73.46575737167389,99.52545652173913,150.32608695652175
COPE_0569,Coryphopterus hyalinus,certain,222,-59.09582563171583,93.878,147
COPE_0579,Coryphopterus hyalinus,certain,276.5,-74.59637706383083,99.83324999999999,150
COPE_0580,Coryphopterus hyalinus,certain,279,-76.33348201944511,100,151
COPE_0582,Coryphopterus hyalinus,certain,216.8181818181818,-56.007483557124104,93.14627272727273,147.22727272727272
COPE_0584,Coryphopterus hyalinus,certain,269.5,-72.0726593648362,98.53,152.75
COPE_0586,Coryphopterus personatus,uncertain,275,-74.93862181932053,99.6665,150
COPE_0587,Coryphopterus hyalinus,certain,222,-58.61083391563547,93.711,148.33333333333334
COPE_0592,Coryphopterus hyalinus,certain,274.3333333333333,-74.43334170531658,99.55566666666667,150
COPE_0593,Coryphopterus personatus,uncertain,244,-65.55284196865779,100,132
COPE_0594,Coryphopterus personatus,uncertain,278,-75.39794000867204,100,150
COPE_0595,Coryphopterus hyalinus,certain,167,-41.39254497678533,98.925,93
COPE_0602,Coryphopterus hyalinus,certain,278,-75.33724216831843,100,150
COPE_0615,Coryphopterus personatus,uncertain,271.625,-73.21907208859622,100,146.625
COPE_0617,Coryphopterus hyalinus,certain,222,-58.18111458540599,93.878,147
COPE_0618,Coryphopterus hyalinus,certain,217,-57.051098239029784,93.197,147
COPE_0621,Coryphopterus personatus,uncertain,271.8333333333333,-73.13588307806353,99.767,147.83333333333334
COPE_0622,Coryphopterus personatus,certain,272,-74.10513034325474,99.333,150
COPE_0623,Coryphopterus personatus,uncertain,278,-74.89619627904405,100,150
COPE_0630,Coryphopterus hyalinus,certain,278.3333333333333,-74.76221014592963,99.785,151.66666666666666
COPE_0636,Coryphopterus hyalinus,certain,278.2,-74.79089837418118,99.871,151
COPE_0637,Coryphopterus hyalinus,certain,278,-75.39577394691553,100,150
COPE_0643,Coryphopterus hyalinus,certain,222,-59.28149831113272,93.878,147
COPE_0644,Coryphopterus personatus,uncertain,264.6666666666667,-71.35013704400605,99.77766666666666,144
COPE_0645,Coryphopterus hyalinus,certain,274,-74.05305672930217,98.71,155
