file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/Blank-1.F.fq.gz,Blank-1,361468
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/Blank-2.F.fq.gz,Blank-2,575258
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0469.F.fq.gz,COPE-0469,529912
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0470.F.fq.gz,COPE-0470,2735127
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0471.F.fq.gz,COPE-0471,1930785
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0472.F.fq.gz,COPE-0472,417342
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0473.F.fq.gz,COPE-0473,422917
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0474.F.fq.gz,COPE-0474,6338209
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0475.F.fq.gz,COPE-0475,5785299
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0476.F.fq.gz,COPE-0476,7241132
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0477.F.fq.gz,COPE-0477,853601
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0478.F.fq.gz,COPE-0478,939647
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0479.F.fq.gz,COPE-0479,1764635
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0480.F.fq.gz,COPE-0480,242155
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0481.F.fq.gz,COPE-0481,4025361
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0482.F.fq.gz,COPE-0482,4849217
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0483.F.fq.gz,COPE-0483,2537398
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0484.F.fq.gz,COPE-0484,1583167
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0485.F.fq.gz,COPE-0485,647911
