Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145
Blank-1	0.0	0.0	0.0	0.0	100.0	18.6638	42.4485	39.6057	36.3781	42.4705	37.8849	35.8533	37.4751	34.346	35.491099999999996	33.5046	39.077	41.1676	39.033699999999996	36.6034	37.8911	37.5809	35.4585	33.307199999999995	37.2898	36.9555	38.4603	37.0511	38.9794	39.298300000000005	34.2836	35.8601	33.3063	34.278	38.9906	36.2743	38.548300000000005	37.013400000000004	38.2676	36.7035	36.3649	37.8452	35.864000000000004	39.1973	37.765100000000004	38.1481	37.782	37.9122	38.1492	39.2702	40.7224	36.2434	38.7752	37.5809	38.013999999999996	36.587599999999995	37.0364	40.5781	35.1151	38.7125	36.862899999999996	36.155100000000004	35.5586	39.0404	36.8804	34.4104	36.5049	36.1441	37.5258	36.9962	36.5831	35.4062	36.8908	36.5738	36.1661	38.3081	37.4242	39.2901	38.222899999999996	40.6411	37.271	36.659000000000006	37.4029	34.9394	36.8087	37.976	37.906800000000004	39.089400000000005	38.6138	37.971500000000006	37.012	39.0919	35.0634	37.8112	35.7563	35.4023	37.7741	36.5494	38.8849	37.3213	36.5682	37.5109	38.0983	35.6756	38.3756	38.6166	39.6321	37.242	37.7853	37.181599999999996	36.7462	36.6956	38.438	38.4181	36.3224	36.8866	38.2077	37.7991	37.331199999999995	37.4189	37.3733	36.4768	36.58	37.8118	37.364599999999996	36.356500000000004	38.0668	35.0524	37.5522	37.4065	37.0359	37.5845	36.798199999999994	38.9147	39.1085	36.7324	37.6804	37.418600000000005	37.044	36.1079	37.6608	37.461	36.781000000000006	38.878299999999996	37.133
Blank-2	0.0	0.0	0.0	0.0	100.0	18.7611	42.745	40.6331	36.1135	41.559200000000004	38.5466	35.9609	35.7291	34.5901	34.9549	34.0744	38.102799999999995	38.6819	40.187200000000004	36.201100000000004	36.4155	38.670500000000004	36.2162	35.0741	37.2142	37.487500000000004	35.6505	38.1183	38.480199999999996	38.9397	35.9955	37.492399999999996	34.1484	35.4827	37.9137	38.590999999999994	38.557900000000004	38.6245	39.1946	37.2604	37.4568	36.8463	34.3283	38.5203	38.0496	39.8043	37.0493	38.0857	37.7183	38.479600000000005	40.299	37.2658	37.1228	37.9766	36.8095	38.7344	36.0334	40.110299999999995	36.2589	38.4185	36.559999999999995	35.9548	36.6652	37.6915	35.8228	35.190599999999996	35.0188	35.6316	38.454100000000004	37.18	36.0397	36.986599999999996	36.187999999999995	37.885999999999996	37.835499999999996	37.7097	35.792699999999996	39.3654	38.3889	39.7442	37.993700000000004	37.966699999999996	37.481500000000004	36.641400000000004	34.6308	39.2864	37.9229	37.896800000000006	39.2376	39.299299999999995	36.9811	40.9453	37.1873	37.6006	35.0736	36.8727	37.2089	36.932700000000004	39.4769	36.9732	37.0646	39.6073	38.243	35.8157	37.9104	38.8562	37.886900000000004	37.0488	36.9226	37.4135	36.7447	37.3809	37.883	37.5197	36.7191	37.8813	37.171	36.4011	37.815	37.8561	38.1847	37.0852	37.319	38.4626	39.3374	37.4468	38.0702	36.7415	38.2821	37.5448	38.256099999999996	37.2551	37.9363	39.0584	39.6841	35.861900000000006	37.8076	37.7971	36.9434	37.9266	36.9356	38.4168	37.1466	37.355	38.0778
COPE-0469	0.0	0.0	0.0	0.0	100.0	20.0684	45.3822	41.2238	41.0752	41.0826	39.0321	36.0139	36.0408	34.8584	35.5085	35.009499999999996	38.326100000000004	42.580400000000004	39.2216	36.5906	37.6182	40.807900000000004	38.7525	39.7337	37.6862	42.323100000000004	35.984300000000005	43.0228	41.2487	42.8861	40.0149	38.7969	38.4425	39.9257	41.559400000000004	39.1502	41.5711	41.2084	38.6589	39.8894	37.7438	41.409600000000005	36.098200000000006	38.8203	40.0136	38.3845	40.8974	38.8414	41.3119	39.534000000000006	43.1651	37.9824	37.5078	42.8243	39.4052	42.047000000000004	39.1502	39.6434	37.4648	43.3215	36.3533	38.894600000000004	40.0098	40.4842	37.7509	38.881	39.002900000000004	35.8733	38.3816	38.518299999999996	36.7371	36.6225	37.660700000000006	36.6753	41.273900000000005	41.3482	40.5005	39.2629	41.9532	39.892300000000006	37.5009	38.784400000000005	37.1432	40.4135	37.9884	39.6728	42.6745	40.974199999999996	42.643	37.9406	41.5242	42.7012	37.9083	40.5792	37.7077	41.8053	37.0827	36.877500000000005	42.7653	39.7269	40.2198	41.5807	41.6571	37.5913	40.0662	42.6257	38.710699999999996	37.978	39.078	40.8023	37.1634	39.6488	39.068799999999996	36.7308	41.3528	42.5236	38.0495	38.6552	41.1902	41.7374	37.49	37.7248	41.9775	41.1681	41.7637	41.5561	43.0777	41.8583	37.5931	39.6115	40.7505	40.8878	36.3155	42.839	39.5196	40.2555	38.4974	41.260999999999996	40.5994	42.4623	42.6572	41.9404	38.953500000000005	41.2297	39.224399999999996
COPE-0470	0.0	0.0	0.0	0.0	100.0	18.4927	44.3332	39.8638	37.8311	42.7798	38.6949	35.9766	36.2371	35.6059	36.0315	34.846199999999996	39.8398	41.0418	39.8791	37.6017	37.7562	39.474199999999996	37.4908	36.384499999999996	38.093500000000006	39.0694	36.91	40.1565	39.644600000000004	40.0337	37.763200000000005	38.4214	35.8611	37.091	38.436	38.8129	38.636700000000005	38.643100000000004	40.6191	38.3145	37.6516	37.9744	36.3536	39.9073	38.8555	39.7432	38.7219	39.7176	39.1932	40.1073	41.340900000000005	37.377700000000004	38.2782	39.7046	38.4277	40.7419	36.8	39.9989	37.1605	40.320699999999995	38.2173	37.5655	37.830000000000005	38.8977	38.0628	37.1647	36.3072	37.1256	39.239200000000004	37.609500000000004	37.2723	37.068400000000004	37.3239	37.5785	38.4814	39.8651	38.091	40.0058	40.1903	40.590199999999996	38.4901	38.790200000000006	37.5514	38.22	36.7708	40.4315	39.8092	39.3266	40.2682	39.1519	39.4304	40.2559	37.5148	38.6029	36.8987	38.3195	36.9158	38.581900000000005	41.236	38.047799999999995	37.3795	40.1691	39.2065	36.4657	39.3481	40.6962	39.8152	39.1503	37.7324	38.6333	38.2745	38.378	38.6219	38.2679	38.6899	39.8063	38.115	37.8719	39.216499999999996	40.4531	39.1196	38.0565	39.8788	39.9409	39.914	39.2731	40.117599999999996	37.7804	37.6737	38.7495	39.0849	39.5555	37.6394	41.0397	39.610299999999995	37.92	39.7409	38.751200000000004	38.018800000000006	39.2698	39.950599999999994	40.158899999999996	39.0255	39.656400000000005	39.6097
COPE-0471	0.0	0.0	0.0	0.0	100.0	22.4719	44.0352	41.3543	41.199000000000005	40.7605	37.567699999999995	36.776599999999995	35.5861	34.6684	35.233399999999996	34.2014	37.857800000000005	42.5765	41.0105	38.0531	36.8699	40.0939	37.7462	37.6323	38.337700000000005	41.209	35.4656	40.0456	39.9063	42.992000000000004	40.888999999999996	39.1279	39.5773	39.8829	41.8613	39.2816	41.653800000000004	40.205200000000005	38.1066	39.1088	36.0829	41.185500000000005	35.463699999999996	38.2716	39.9221	38.1882	40.7275	39.6766	40.3199	40.3177	41.269600000000004	38.7855	36.2916	42.6399	38.9581	40.346199999999996	38.284	38.8643	37.2125	43.1528	37.4077	38.939299999999996	39.2953	40.5423	36.423	37.2552	37.8561	36.945699999999995	37.391000000000005	39.260600000000004	34.917300000000004	35.4941	38.8241	36.3259	40.3295	40.247899999999994	39.3141	39.4914	41.4747	40.9514	36.6088	37.2343	36.9219	38.4922	37.697900000000004	39.845000000000006	42.4681	39.6195	42.8664	38.1068	41.7883	41.328199999999995	38.690400000000004	39.2328	37.7235	41.5932	36.1973	36.775200000000005	41.5605	40.0213	38.9381	41.628	41.5106	36.7425	38.989000000000004	41.6184	38.046	37.486599999999996	39.1967	39.494099999999996	37.3286	38.4645	40.187	36.1184	40.5956	42.6963	38.579299999999996	39.3285	39.2902	40.9994	37.283699999999996	37.0885	40.748400000000004	41.9554	40.5897	40.2522	42.6444	40.7824	37.553399999999996	39.387100000000004	39.589999999999996	40.8619	36.1077	40.6878	38.103300000000004	38.3831	38.199	41.862	39.3801	42.7188	42.863600000000005	41.0602	39.3549	40.1242	38.5735
COPE-0472	0.0	0.0	0.0	0.0	100.0	22.859099999999998	46.808	43.513600000000004	41.8	41.7076	43.6513	37.4224	38.507799999999996	37.9958	38.039	40.224900000000005	42.0565	43.374	39.9586	39.4818	41.2476	42.479299999999995	40.711999999999996	42.9848	39.2507	43.2445	40.5456	46.0624	43.6483	46.2697	41.55	39.6871	41.7849	40.6947	42.7689	43.2315	43.24	44.209199999999996	41.3038	43.2478	41.2586	44.988	39.7973	43.2731	42.8583	42.2545	42.986799999999995	40.0919	46.5041	43.111	47.1443	40.6194	41.4878	45.6277	41.3369	45.4432	42.7305	42.1338	41.112300000000005	46.874	39.0527	43.1321	43.8975	45.6023	44.4577	43.5427	43.829499999999996	37.9446	44.5305	40.8114	40.787800000000004	42.4294	40.0613	40.5733	44.7488	45.0251	43.9422	42.5697	43.0854	43.2558	40.988400000000006	43.064099999999996	44.5689	45.1383	42.3523	41.450900000000004	46.225699999999996	45.1079	45.697500000000005	42.6021	43.8082	44.770900000000005	42.018299999999996	42.5325	43.6817	44.6462	41.802	41.2576	45.156400000000005	45.1697	44.6166	44.665	46.067099999999996	43.3329	44.605	46.5191	43.538700000000006	42.750899999999994	44.1252	43.701299999999996	40.564	44.1937	43.7246	41.7917	46.0739	45.4237	43.6764	44.4572	45.5062	47.1071	42.9469	42.8365	46.6107	44.6404	45.9773	47.4891	47.344500000000004	43.6488	42.6952	42.015	47.7335	45.216899999999995	40.5903	47.7943	46.160000000000004	45.9836	43.6139	45.4121	45.1413	46.8464	46.6883	46.1302	44.1977	45.0473	44.2418
COPE-0473	0.0	0.0	0.0	0.0	100.0	22.2928	44.252	41.7235	40.449	42.0854	39.7546	36.5569	37.6773	37.6295	38.124900000000004	36.2836	39.8317	41.800599999999996	40.629	38.1649	38.7541	39.963100000000004	38.3925	39.9071	38.5126	40.9178	37.9095	41.3527	40.902300000000004	42.6498	40.124900000000004	38.9428	39.5069	39.7948	41.2699	40.2008	40.5086	40.9791	39.8549	39.611000000000004	38.0486	41.4013	38.270900000000005	39.9729	40.7833	39.0739	39.7336	39.744299999999996	41.5337	40.090199999999996	42.9444	38.8657	38.6728	42.152899999999995	39.2257	42.1074	38.9437	39.8295	38.469300000000004	42.6404	38.0847	39.425	40.071	41.1878	39.193099999999994	39.537800000000004	39.481500000000004	37.6216	40.077	39.6395	38.3508	38.3693	38.487300000000005	38.9162	41.5619	40.4729	40.2412	40.723	41.2596	40.9083	38.302	39.616800000000005	38.8518	40.2067	38.7264	40.530100000000004	42.3322	41.0938	41.8195	39.645	40.9044	41.1881	39.5	39.7594	38.7886	40.9085	38.8032	39.3669	43.142599999999995	40.2833	41.3219	41.8999	41.875	39.1328	40.4308	42.6036	39.9743	39.5026	40.6414	41.3116	39.5043	39.9054	40.6842	38.102599999999995	40.8808	41.8451	39.6893	39.738299999999995	41.2635	41.641600000000004	40.2278	39.674	41.7084	40.988	41.8065	41.6546	42.3228	40.9561	39.9456	40.024100000000004	41.6723	41.7924	38.5361	41.6462	40.655	39.6359	39.9301	41.588300000000004	41.1672	41.9719	42.7104	42.209	41.124100000000006	41.5272	40.8312
COPE-0474	0.0	0.0	0.0	0.0	100.0	25.9631	41.0045	43.4917	42.2991	44.1003	41.6439	35.4225	39.075500000000005	35.5223	39.880700000000004	36.9623	38.5902	44.0463	44.1854	37.6087	41.9179	41.9954	37.839	38.18	39.6489	37.2947	37.9204	42.0044	41.3844	39.142500000000005	36.058800000000005	41.2969	35.9023	36.6521	39.6397	39.2213	37.6996	41.5188	39.7844	37.9931	37.8359	38.8631	38.4723	41.0384	38.9505	40.516400000000004	38.805299999999995	39.6483	40.197300000000006	42.411500000000004	45.545	38.2198	40.7029	42.9527	36.4402	40.4948	36.7246	42.903200000000005	37.728	41.1418	40.888600000000004	38.8484	41.693200000000004	43.8174	39.5219	40.5217	36.6282	37.7403	40.0188	37.643100000000004	36.719	38.904300000000006	40.7303	40.1577	42.192299999999996	41.3309	40.5397	42.613099999999996	41.5459	41.7092	42.4573	40.078599999999994	40.9033	37.5095	38.1477	41.416399999999996	39.500299999999996	39.7795	43.7879	37.9602	38.2654	42.173	40.8909	41.9529	38.4326	40.742	40.0109	41.2942	37.497	40.9164	39.5793	40.9808	41.4111	39.69	38.8384	43.711	43.9525	43.7492	41.2748	38.6858	42.2682	42.4638	43.6271	38.6733	39.8703	39.7536	40.2804	38.6546	41.760799999999996	40.9711	41.115	38.8633	41.0216	39.3701	39.8945	39.5249	40.8595	39.1199	42.004000000000005	43.3908	39.0651	41.7029	38.708999999999996	40.668	42.9726	38.9151	42.1241	40.4361	38.3004	40.6945	41.8125	43.9346	44.6267	39.757	42.3163
COPE-0475	0.0	0.0	0.0	0.0	100.0	26.073	40.5139	43.7637	43.2127	44.241200000000006	40.646300000000004	35.5476	38.8155	36.4906	39.244	35.5586	38.2351	44.562000000000005	44.0189	38.7214	43.0411	41.9489	37.3724	37.5417	39.8478	36.5077	37.908500000000004	41.558499999999995	41.017399999999995	38.967400000000005	36.0689	42.3532	34.976	37.100100000000005	39.640100000000004	37.776399999999995	37.36	40.6626	40.6031	38.5073	38.7265	38.657000000000004	37.6961	39.8645	39.1279	40.4342	38.5153	39.8172	38.8429	42.5235	46.144400000000005	37.2871	40.931200000000004	42.338	36.291000000000004	41.1033	35.705	42.5629	36.2329	41.6546	40.1163	37.8915	41.2049	42.4478	39.2216	39.8018	35.8958	36.5983	40.0163	36.1905	36.8952	38.4251	41.1779	38.2984	40.3097	42.4371	40.831	43.2009	41.3668	42.059000000000005	43.301899999999996	40.0958	39.706599999999995	36.7676	37.9307	40.3581	39.2411	39.7558	43.278	37.4446	38.5967	41.4655	39.682	43.0281	37.9067	40.1054	41.1721	41.206900000000005	36.9347	40.495	38.5095	40.3915	41.3099	38.167899999999996	38.861200000000004	43.9425	43.7393	42.9548	39.7905	39.0119	41.151700000000005	41.4914	43.2695	38.2737	39.1871	37.9175	40.2685	37.5222	39.9299	40.4169	40.2627	38.2498	41.4448	38.8205	38.1541	39.756	40.3584	38.8286	41.4066	42.819	37.7861	39.8505	38.602799999999995	39.5927	42.6515	38.6089	41.4014	40.2077	37.4346	39.1212	41.6358	42.7839	44.5605	40.265	42.0234
COPE-0476	0.0	0.0	0.0	0.0	100.0	16.6628	42.9545	38.998	31.8033	42.965199999999996	34.940599999999996	35.5965	34.5101	30.1983	31.407200000000003	32.4857	36.7347	35.2313	37.157000000000004	34.4364	32.7158	35.1103	32.548899999999996	31.354	36.2102	34.5749	34.5443	34.375099999999996	34.9716	35.931400000000004	32.4176	34.3225	31.116100000000003	30.7952	34.801	34.1464	36.061	32.5424	36.4339	32.4416	34.5288	31.0339	31.471799999999998	37.1045	33.9409	37.0359	32.9373	35.5656	34.630300000000005	36.3732	36.772	32.7517	31.5571	31.917099999999998	33.8733	34.705999999999996	32.5246	36.9648	31.8497	35.7496	33.3368	33.421	33.6811	33.6194	31.982300000000002	32.1676	32.7449	32.149699999999996	34.3872	33.7141	31.3103	31.9123	31.7921	32.9165	32.559900000000006	31.937700000000003	31.6598	35.930800000000005	33.447900000000004	37.9106	33.664300000000004	32.273	33.1151	33.1341	31.969199999999997	36.3537	34.0629	33.7647	35.449000000000005	37.9888	33.754400000000004	37.1293	32.4277	32.5545	30.7082	30.4975	32.5107	34.1559	35.0192	34.9992	31.9097	33.7178	33.2153	32.272800000000004	33.232299999999995	34.4505	34.4623	33.3342	34.832	32.833400000000005	32.2326	33.270300000000006	35.498200000000004	34.0719	31.6122	34.1177	35.4232	33.1783	34.9264	36.0158	33.040000000000006	33.5726	33.3192	34.0464	35.4904	32.385999999999996	33.3555	31.7371	32.1787	34.9084	33.151	34.1757	34.603899999999996	34.9304	34.8175	31.604300000000002	34.8694	33.0723	33.129	32.8839	33.3619	34.564099999999996	32.548700000000004	32.7024	33.4783
