Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Blank-1	99.89789999999999	99.9477	99.89	44.8378	53.4493	46.083	44.59	41.0616	44.6519	46.7625	44.4548	44.4857	46.6235	48.7054	46.069500000000005	46.0721	42.678	45.0689	43.7798	45.5633	47.1891	46.3634	45.8538	46.4576	45.369	45.3572	46.2847	42.8495	43.3861	45.9835	42.574	44.5855	42.0481	45.0104	45.223	42.5624	43.5852	46.247	45.4312	42.1836	43.6162	43.6848	42.8791	41.8791	46.232299999999995	43.3003	42.7345	45.9036	43.6074	43.8344	41.237899999999996	42.060199999999995	41.8284	42.0531	43.1583	43.2331	40.450199999999995	45.561099999999996	43.297000000000004	41.7162	42.6758	39.7393	43.146499999999996	43.4297	42.1468	41.787400000000005	40.8273	43.0174	42.1696	42.0815	42.440099999999994	42.1628	40.2899	41.931400000000004	41.407500000000006	41.1532	43.660900000000005	41.4519	42.0166	40.1971	38.107	41.4659	40.010600000000004	40.8914	40.4187	41.3461	42.4547	40.8731	40.4153	41.3993	38.5728	40.6349	40.7584	41.749399999999994	40.8144	39.005	42.0371	39.8467	39.462	42.262899999999995	40.441700000000004	41.665600000000005	40.5933	41.6288	41.0118	38.8998	42.7278	40.005	39.975500000000004	40.1003	40.116099999999996	40.6153	41.9058	41.627399999999994	42.379099999999994	40.8984	39.1746	39.1799	40.5942	40.5464	40.4184	41.0402	40.1498	41.127399999999994	39.0936	41.0545	41.422599999999996	39.298300000000005	39.0505	38.533899999999996	40.3619	39.8202	41.0638	40.7947	40.5545	41.39	38.008900000000004	41.193400000000004	40.746	39.655699999999996	40.4659	38.649	40.5092	40.536100000000005	39.4433	40.9563	39.641799999999996	40.776	39.2988	42.3883
Blank-2	99.8938	99.9197	99.8767	44.9483	52.759699999999995	45.4462	45.4202	42.1561	44.3894	45.8797	43.817699999999995	46.1727	45.6883	47.111599999999996	48.2389	46.1191	41.8984	44.6218	43.1307	47.0117	46.5409	47.7988	45.8076	46.8808	45.0131	44.0435	45.1599	42.5522	43.270199999999996	44.6345	41.9893	43.188500000000005	44.8991	44.0839	44.2083	43.3844	43.2811	45.1569	44.9349	41.247099999999996	43.4556	44.0968	42.1079	43.7202	43.7241	44.933299999999996	42.0649	44.684000000000005	41.7562	42.565799999999996	42.1757	42.1674	40.5695	43.5442	42.4805	44.1177	42.292	44.7624	41.3478	41.9917	42.5972	40.6144	42.4206	42.7938	41.035700000000006	41.6098	41.8735	42.0423	42.5351	41.0336	41.6154	42.4403	40.6757	42.5388	41.0498	42.205799999999996	43.6587	40.9716	41.9031	40.289500000000004	41.634100000000004	41.693400000000004	41.3675	41.02	42.1461	42.5002	42.934	39.8716	41.1152	42.535000000000004	40.9961	41.942800000000005	41.490500000000004	42.7973	39.7935	41.0865	42.8012	40.5415	40.7584	40.908699999999996	40.7117	41.5165	40.9388	41.7784	41.5817	40.5801	41.152499999999996	41.722300000000004	39.3085	40.2428	40.835	40.592600000000004	40.9864	41.432900000000004	40.4403	39.8568	40.7764	38.9487	41.0662	39.8889	41.1999	40.6625	39.9553	40.3302	41.897099999999995	41.1569	40.7993	39.756	40.1873	40.132400000000004	40.0624	40.3577	41.0887	40.7892	40.707300000000004	40.986	39.9574	43.1086	40.6053	40.72	41.857	40.6878	39.840599999999995	41.863499999999995	39.7522	41.0373	40.9037	40.0159	40.3808	40.3852
COPE-0469	99.8669	99.9126	99.8172	46.3845	52.6523	46.2238	47.409400000000005	41.727	49.3134	46.9724	48.050599999999996	45.8638	48.328500000000005	49.6269	47.1016	45.9546	42.7989	45.2331	43.1875	46.3774	46.5966	49.2589	47.7179	47.518	44.7972	44.0235	46.3083	42.7006	43.9236	45.6662	45.2937	43.7069	44.2907	47.2439	44.196999999999996	46.809	42.7175	42.8431	47.720800000000004	41.7445	43.1178	47.021	46.223	48.131299999999996	47.3404	44.0822	44.6538	47.2882	43.8048	42.688700000000004	45.716699999999996	43.3849	43.1437	47.3305	43.5575	47.605	41.8785	49.202600000000004	44.658	43.2144	46.3386	44.9149	43.8353	46.9635	41.5738	43.4052	44.8147	42.187000000000005	41.8792	42.6745	42.9504	42.0394	40.3235	46.5158	41.7097	44.1659	47.3299	41.8773	46.6402	41.1491	41.1447	45.6002	46.637299999999996	42.7041	44.7129	41.543600000000005	45.0175	41.866	42.5311	47.9439	40.589999999999996	44.3174	41.3069	42.6215	40.5869	44.1298	43.871	46.0792	41.515800000000006	41.2718	44.820100000000004	42.8876	40.9239	41.4728	40.9271	40.0944	46.9597	44.6312	42.8826	39.3637	45.4894	44.2318	40.6121	41.6051	39.9827	42.4462	40.5804	38.4377	44.8435	41.0719	45.5065	41.2424	43.4632	40.1612	45.649699999999996	41.184799999999996	41.4933	39.2771	41.6682	41.232	40.1609	40.9713	44.9278	40.0783	41.0377	40.4606	39.5484	42.8536	40.7081	43.8618	42.3339	42.2279	44.3188	44.7588	40.2695	40.571400000000004	44.1043	44.9683	39.1341	39.5784
COPE-0470	99.885	99.9453	99.9136	43.6689	52.1544	46.0209	46.288000000000004	42.1081	46.2161	46.7287	46.1311	46.4115	46.7934	47.7248	47.544399999999996	46.262	43.976	45.5658	43.5867	46.6286	47.212900000000005	48.2145	46.5344	47.0481	45.8488	45.6171	46.3244	43.1423	44.2404	45.7212	43.5506	44.1307	46.3252	44.5115	44.0804	45.1341	43.7096	44.722	45.7783	41.7463	44.2473	45.2112	44.8073	45.9099	46.001999999999995	44.7369	44.7648	45.251999999999995	44.0901	43.3114	42.8799	43.2326	42.1238	44.407799999999995	44.3986	45.3123	42.5275	45.8505	43.1932	43.2151	44.224599999999995	42.5612	43.4769	44.3633	42.5411	43.9706	43.1389	43.4681	42.6765	43.4495	42.8988	43.5856	42.1514	44.9474	41.9263	42.966300000000004	44.4347	42.2494	44.5458	42.0294	41.151199999999996	42.297200000000004	43.392199999999995	42.1286	43.1832	42.667500000000004	44.8048	41.3483	42.3245	44.5152	42.735099999999996	43.744499999999995	41.621399999999994	43.1838	41.24	42.4626	42.5437	42.9259	41.8147	40.9354	42.4172	43.1971	41.765299999999996	42.599399999999996	42.0939	40.4957	43.9546	42.3036	41.6438	41.0107	42.1941	42.9225	42.0277	40.9247	41.1318	41.945	42.0877	40.1993	42.796299999999995	41.5292	43.5203	41.5803	41.847699999999996	41.7342	42.5381	41.9004	42.1025	39.825	41.335300000000004	40.4868	41.6972	41.4728	42.4295	42.3	42.240899999999996	41.9377	40.8039	43.391600000000004	42.2981	42.4373	41.8624	40.897299999999994	42.2784	42.9298	41.2237	41.9086	42.357299999999995	42.2445	41.7757	41.251599999999996
COPE-0471	99.8891	99.94760000000001	99.9272	46.6274	51.7327	44.502399999999994	46.7151	40.433400000000006	48.783100000000005	47.171099999999996	47.7147	43.8693	47.3531	50.3433	47.1318	46.6474	41.7157	44.393100000000004	41.9949	46.7972	44.9304	47.726	45.8751	46.1892	44.4726	43.5914	46.2706	43.586200000000005	42.715599999999995	46.2463	44.2005	42.6064	43.6384	47.362700000000004	42.7682	45.4375	42.0154	42.694500000000005	45.9097	41.0293	42.784299999999995	45.2144	45.2637	47.6556	46.6624	42.8346	44.9578	46.4669	44.4547	43.8508	45.8451	43.6467	43.7114	47.6584	42.5771	47.775800000000004	41.6288	47.9397	44.0529	43.758599999999994	44.9613	45.1795	44.7932	46.2192	42.4788	41.3457	43.3548	41.2502	41.476	43.1924	43.428	40.618700000000004	40.4769	46.7971	40.800399999999996	43.3983	47.3443	41.491699999999994	46.5948	40.2845	40.9116	45.7085	45.1699	43.0246	42.6596	41.422	43.959900000000005	41.8613	42.7877	46.9442	40.6148	42.884299999999996	40.5345	43.086999999999996	39.838499999999996	42.5257	42.8944	45.3838	42.1032	39.6076	45.3208	40.9281	39.7459	40.9663	40.9103	38.878	46.860600000000005	42.079699999999995	41.6293	39.0096	45.024	42.1342	39.6195	41.9731	39.3892	42.7284	39.6109	37.9996	42.9726	39.3311	45.4349	40.8916	41.9568	39.6878	45.4738	42.282799999999995	41.4458	38.6413	42.4784	41.5037	39.8516	41.2935	44.479	39.5728	39.8441	39.070100000000004	38.892500000000005	41.8	38.9077	43.5704	42.1539	41.5749	44.5152	43.2585	39.2973	39.6342	42.5293	43.1212	39.4152	38.8277
COPE-0472	99.79820000000001	99.8464	99.9006	46.0784	53.1014	46.7558	50.6442	44.7282	50.2603	48.6797	50.133300000000006	48.8207	50.98629999999999	50.6302	48.6992	48.984100000000005	47.706900000000005	47.660799999999995	47.2354	46.511599999999994	50.8267	51.2154	49.7136	51.9425	46.570299999999996	47.9692	49.837399999999995	46.9064	46.3138	47.2921	47.8319	49.4818	46.3023	48.3996	46.9686	49.1384	45.1709	46.8208	49.7817	47.208299999999994	47.0953	49.9149	50.3478	49.7197	49.0642	48.0482	48.349199999999996	49.3726	45.966699999999996	46.1399	48.6036	46.1813	46.6466	48.3858	47.9976	48.3898	48.2229	49.777100000000004	48.3971	46.9362	48.8666	46.7683	48.1519	47.2075	46.076899999999995	47.3511	49.6062	45.833	46.2099	45.6741	45.5863	46.8293	46.004400000000004	48.6117	46.145199999999996	48.682199999999995	49.5721	45.1082	49.4137	44.2675	45.6545	49.1422	48.5567	45.5652	48.8722	44.079499999999996	49.4838	46.4438	46.6438	49.675000000000004	43.4686	48.0831	45.6716	45.3822	44.000699999999995	46.6321	48.928399999999996	47.437400000000004	46.5537	44.9739	45.9728	48.0214	43.9896	46.163199999999996	45.4432	45.3182	49.113299999999995	49.7217	44.959900000000005	44.0614	50.2035	48.0922	46.7864	43.1446	46.6378	45.251200000000004	45.8495	44.4502	48.3341	46.936499999999995	46.3773	45.4206	49.1713	45.094899999999996	49.3947	45.7343	45.4309	44.940799999999996	46.3048	45.3298	43.7545	44.967400000000005	46.4596	43.973099999999995	44.0822	44.9724	42.3792	47.0487	45.8947	47.9172	46.7072	47.3633	47.0053	49.904399999999995	46.346199999999996	43.9941	49.5616	49.6712	45.2219	43.8868
COPE-0473	99.8777	99.9517	99.9284	45.274	51.9728	46.246900000000004	46.1849	42.9367	47.9839	47.324	47.0011	45.232099999999996	48.3292	49.4769	47.923300000000005	47.1447	44.1689	45.791	44.9166	47.2275	47.0846	48.5492	46.663399999999996	46.870200000000004	46.419	45.2879	46.8115	44.2893	44.1158	46.455600000000004	45.2065	45.4664	45.3008	46.936699999999995	44.1335	46.8532	43.350100000000005	44.3384	46.9932	43.746	44.305099999999996	46.3127	46.3429	47.986000000000004	46.5655	45.2572	45.4583	47.5296	45.48	44.0392	45.9114	43.515	44.2553	46.4676	45.4915	46.6935	44.1253	46.9109	45.3956	43.9925	46.4858	45.0753	45.3065	44.9932	43.6761	43.8554	43.8673	44.1162	44.4844	43.2709	44.540800000000004	43.204100000000004	42.2278	45.465	43.358200000000004	44.398700000000005	45.9688	43.7302	46.1952	42.100500000000004	43.5724	45.6947	45.4061	43.5002	44.7819	42.8065	44.5308	42.9138	43.2146	46.5815	42.1019	44.4638	42.7438	43.503	42.695499999999996	43.261300000000006	43.2587	44.271300000000004	42.9138	42.0473	44.9853	43.9401	41.6076	43.0837	43.0004	41.4135	45.7665	43.9217	43.044	41.3113	44.8374	43.4968	42.6593	42.619099999999996	41.930800000000005	42.6835	41.7364	40.720099999999995	44.7766	42.2424	44.4619	42.537000000000006	43.8326	41.863299999999995	45.3125	42.4875	42.3001	41.5466	43.011700000000005	42.125099999999996	41.8183	42.2453	44.6924	40.590199999999996	42.1096	41.5557	40.5366	42.93	41.657	44.120599999999996	42.9045	43.694	43.3508	45.014900000000004	41.3211	42.135600000000004	43.776700000000005	44.5216	40.929	41.975899999999996
COPE-0474	99.86540000000001	99.9186	99.8935	44.9208	54.933299999999996	48.3626	45.4326	42.9279	43.6323	47.3239	46.3372	48.8961	47.6603	45.5855	47.321200000000005	49.106100000000005	41.5292	49.599399999999996	42.445	45.9045	51.09	47.6767	43.2237	49.8926	46.8993	42.1324	45.020700000000005	43.8695	45.7418	44.054500000000004	44.5136	47.2205	47.8093	44.6119	45.911699999999996	48.734	44.5391	46.6843	45.3217	44.4417	47.9408	41.8312	49.1494	47.3078	43.8902	48.4768	45.616299999999995	47.723	44.7761	48.6924	44.7006	43.870599999999996	46.318599999999996	48.151500000000006	44.6502	43.393	48.8116	44.3901	44.890600000000006	43.753	47.6106	47.9733	49.5432	43.9981	47.3754	45.5646	45.6647	46.5728	44.0141	44.3137	47.5903	43.5157	43.61	42.9706	46.3623	42.512	44.8845	46.3072	43.0887	42.2045	44.0776	45.3021	44.8549	42.922	42.0844	41.9153	45.2115	44.344	43.595099999999995	43.7697	44.6194	43.4076	45.6951	47.3111	42.581599999999995	44.6291	44.5411	41.9275	41.381299999999996	42.372	44.039699999999996	45.5075	44.2995	42.5063	46.368500000000004	42.285000000000004	45.6537	44.8442	43.39	43.9216	44.559	44.6792	44.3795	42.7744	41.363499999999995	42.6364	42.9946	45.97	41.948299999999996	43.032199999999996	43.196600000000004	42.8644	45.0332	41.945	43.3519	44.1606	41.4117	42.4914	42.6751	44.7235	42.0948	42.0016	43.1879	45.3735	44.0359	42.215599999999995	41.4959	45.3312	42.4055	45.279	44.330999999999996	43.4831	43.8001	43.2695	44.2656	47.0984	40.9599	47.280499999999996	42.0724	42.417100000000005
COPE-0475	99.8768	99.932	99.9063	43.1346	55.1686	48.8268	45.1331	41.999399999999994	43.2787	46.5677	46.4202	49.9399	48.146899999999995	44.7417	46.286300000000004	48.1612	41.2437	50.678999999999995	41.8097	45.7065	49.3985	47.054899999999996	42.6913	50.4607	46.2	42.8616	44.0584	44.184200000000004	44.1788	43.0043	44.0008	46.478199999999994	48.2412	44.807900000000004	45.894400000000005	48.6064	42.842400000000005	46.881	44.5253	45.2555	47.312599999999996	40.647299999999994	49.7234	46.9519	42.5626	47.4958	44.397	47.4113	43.2472	48.5767	44.8142	42.710300000000004	45.8463	48.654199999999996	45.3789	42.134899999999995	49.7747	43.4295	43.7478	42.7932	48.2784	47.841	48.776799999999994	43.844699999999996	46.787600000000005	45.347300000000004	45.305099999999996	45.738	42.3596	44.785599999999995	47.5795	43.7023	43.278800000000004	42.1775	45.6214	42.181400000000004	45.0171	46.2609	42.2309	42.3279	43.8351	44.0811	45.2405	42.7395	42.1299	41.3482	45.434400000000004	42.5585	43.765	44.1359	43.884699999999995	42.9476	46.5335	47.0546	42.4031	44.9264	43.8823	40.914	40.8463	41.5275	45.2564	45.7017	43.7741	42.5199	46.9179	42.347	46.527499999999996	44.6412	42.4847	44.1341	44.3469	44.9219	45.2977	41.893	41.3001	42.918099999999995	42.6031	45.5682	41.7692	42.5422	43.014	40.6089	44.9509	41.078199999999995	43.2457	44.0824	40.422200000000004	41.227999999999994	42.5811	45.2378	41.271	40.9698	43.7254	44.9651	43.8899	41.837999999999994	41.1359	45.831	41.6458	45.1934	44.8649	43.6945	42.4633	42.931000000000004	44.2476	47.2175	40.077400000000004	46.6704	42.2522	43.5141
COPE-0476	99.8649	99.8759	99.8346	43.2979	49.644	43.0683	42.4394	39.076	40.009699999999995	43.935	39.4641	42.1753	42.9865	44.8457	44.5585	42.0234	38.6186	43.568400000000004	40.2559	43.8602	42.9362	43.7727	41.164699999999996	43.1605	42.436	41.7581	41.9551	38.9898	40.2478	42.405	38.2429	37.6026	40.297	41.2945	41.7287	37.7179	41.7419	41.684	40.3472	37.8065	39.862199999999994	40.454	37.2483	38.784400000000005	42.4542	38.7762	38.242599999999996	39.0669	36.4782	38.8528	36.1186	37.0998	37.9357	37.8563	37.2085	38.190400000000004	37.2466	39.035599999999995	37.2737	36.4658	37.6605	36.6593	37.655	38.8187	36.751	36.1506	37.3279	36.796	36.9758	36.930800000000005	36.9848	36.7814	36.8739	35.6516	37.2307	35.7277	37.7162	37.103	36.9371	38.2428	36.8564	36.4078	36.5912	36.1016	35.4369	38.4896	36.3024	36.0032	36.4423	36.7606	37.0863	36.203	36.7186	37.0095	36.2463	35.2665	36.7748	35.4474	35.8485	36.166	35.7013	37.4497	37.149	36.3413	36.4062	35.9907	36.3739	35.232200000000006	35.3601	35.173500000000004	36.0288	35.4159	35.2661	35.6066	35.9075	35.211999999999996	34.9765	34.7022	35.5493	35.8053	35.6201	36.3279	35.0354	36.0298	35.303200000000004	34.6345	35.1585	34.8858	34.22	36.0309	35.6919	34.5312	35.1601	36.2552	35.7566	36.6282	35.1857	38.1802	35.8016	35.6138	36.0215	34.9357	34.5733	35.4566	36.180099999999996	36.8161	34.2145	35.092	34.9517	34.9402
