Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Blank-1	99.8869	99.9414	99.8821	45.062400000000004	53.4227	46.3925	44.5981	41.381299999999996	44.789899999999996	46.9331	44.4106	44.549699999999994	46.7048	48.7133	46.2868	45.981100000000005	42.619	45.2892	43.7712	45.4558	47.377399999999994	46.3394	45.9587	46.361200000000004	45.316	45.4923	46.1759	42.8884	43.2179	46.0898	42.794399999999996	44.5948	42.1487	45.1896	45.2206	42.8201	43.6301	46.2306	45.5924	42.309999999999995	43.5635	43.7654	43.0448	41.8546	46.3908	43.504799999999996	42.769800000000004	45.9308	43.7134	43.7931	41.2941	42.2986	41.862899999999996	42.3288	43.1596	43.0929	40.6476	45.692	43.3953	41.8056	42.714200000000005	39.9169	43.1845	43.453900000000004	42.0909	41.869499999999995	40.8955	43.0027	42.249700000000004	42.2391	42.3238	42.321	40.426	41.8648	41.457300000000004	41.1541	43.5817	41.516799999999996	41.978300000000004	40.1618	38.1649	41.3705	40.139399999999995	40.942499999999995	40.4066	41.3187	42.4165	40.9065	40.5034	41.286899999999996	38.669799999999995	40.637299999999996	40.860600000000005	41.7143	40.8103	39.163599999999995	42.0214	39.768100000000004	39.4204	42.3216	40.5419	41.7785	40.7018	41.7711	41.0648	38.9315	42.670700000000004	40.1806	40.0437	40.2334	40.153800000000004	40.6274	41.8493	41.8192	42.3022	40.8681	39.2104	39.1515	40.5339	40.7901	40.335	41.067	40.1565	41.1309	39.1454	41.1287	41.4026	39.318799999999996	39.0715	38.6289	40.3624	39.838699999999996	40.941100000000006	40.88	40.6055	41.293600000000005	37.919000000000004	41.2833	40.745	39.5067	40.2581	38.683099999999996	40.3604	40.480199999999996	39.2549	40.8526	39.664899999999996	40.5259	39.1122	41.7655
Blank-2	99.8837	99.9049	99.8696	44.9838	52.822199999999995	45.4978	45.482499999999995	42.209799999999994	44.2954	45.8153	43.8548	46.1485	45.7179	47.0342	48.1721	46.117399999999996	41.8527	44.5544	43.1396	46.8939	46.573	47.7269	45.8113	46.8319	45.0398	43.9504	45.1776	42.5689	43.3531	44.6064	41.929	43.2098	44.8333	44.0806	44.1378	43.464000000000006	43.3392	45.1029	44.8764	41.2669	43.4363	44.066100000000006	42.187000000000005	43.7247	43.6788	44.8955	41.9998	44.7975	41.7938	42.7052	42.0429	42.2277	40.665099999999995	43.4932	42.4684	44.1729	42.2854	44.791399999999996	41.3757	41.998400000000004	42.5133	40.681200000000004	42.4563	42.7681	41.0838	41.5365	41.861	41.955999999999996	42.458	41.0699	41.6396	42.373	40.631299999999996	42.4559	41.1198	42.2228	43.6145	40.9908	41.8939	40.3021	41.625299999999996	41.6957	41.4169	41.0718	42.126999999999995	42.4943	42.897600000000004	39.9073	41.0793	42.6489	41.110600000000005	41.9189	41.5895	42.855	39.7545	41.1422	42.736000000000004	40.5389	40.8575	40.9055	40.725	41.5502	40.8365	41.745599999999996	41.5502	40.4681	41.1768	41.730000000000004	39.3477	40.3158	40.8271	40.5677	41.027	41.4216	40.4942	39.919	40.8239	38.946999999999996	41.0619	39.8526	41.1362	40.616600000000005	39.8967	40.2983	41.848400000000005	41.1483	40.7993	39.7462	40.3426	40.119	40.0792	40.370400000000004	41.0936	40.7782	40.7061	40.9827	39.886300000000006	43.1464	40.635	40.6143	41.8205	40.466499999999996	39.6608	41.6559	39.5353	40.8391	40.7711	39.7828	40.1416	39.6568
COPE-0469	99.8343	99.8822	99.7834	46.495799999999996	52.7701	46.2883	47.4264	41.819	49.2931	47.0074	48.0478	45.8982	48.3405	49.6358	47.1782	45.9731	42.8365	45.204499999999996	43.2176	46.314499999999995	46.624700000000004	49.2357	47.6641	47.4937	44.7552	44.0686	46.3309	42.723499999999994	43.8724	45.7295	45.2575	43.7288	44.297	47.238400000000006	44.2158	46.7517	42.775	42.8822	47.6894	41.726	43.123	47.002300000000005	46.126	48.0365	47.307300000000005	44.0811	44.7369	47.2597	43.7552	42.7969	45.665299999999995	43.472699999999996	43.125099999999996	47.3377	43.5308	47.5098	41.943599999999996	49.107800000000005	44.715199999999996	43.1455	46.315	44.8493	43.8428	46.9055	41.572900000000004	43.369099999999996	44.7691	42.1242	41.965599999999995	42.7412	43.01	42.0308	40.338	46.495799999999996	41.7256	44.1394	47.2975	41.8958	46.5477	41.1214	41.124	45.575700000000005	46.5692	42.7145	44.7337	41.5788	44.9546	41.9309	42.4595	47.9223	40.699999999999996	44.3285	41.321600000000004	42.6201	40.5839	44.1303	43.8395	46.059	41.616	41.294599999999996	44.8314	42.920700000000004	40.977599999999995	41.471799999999995	41.0055	40.185900000000004	46.902899999999995	44.6368	42.9394	39.3909	45.467200000000005	44.2085	40.597899999999996	41.6501	40.0295	42.4914	40.6009	38.4834	44.8242	41.0976	45.5221	41.2618	43.5068	40.217999999999996	45.6134	41.1895	41.4944	39.3981	41.6764	41.3157	40.2144	41.077200000000005	44.9524	40.1669	41.068	40.4411	39.6592	42.8601	40.7468	43.824600000000004	42.3514	42.117399999999996	44.1447	44.588899999999995	40.1319	40.5305	44.025	44.8016	39.028600000000004	39.1227
COPE-0470	99.87819999999999	99.9426	99.9087	43.8222	52.188900000000004	46.1065	46.4029	42.1598	46.1967	46.7446	46.19	46.3708	46.8395	47.7085	47.5648	46.2831	44.0083	45.5652	43.5535	46.6026	47.2725	48.245900000000006	46.524	47.030699999999996	45.8523	45.631699999999995	46.320499999999996	43.1684	44.3191	45.7534	43.5875	44.2073	46.257	44.5642	44.0388	45.0993	43.6915	44.7057	45.7877	41.8118	44.1752	45.205	44.812400000000004	45.852599999999995	45.996500000000005	44.7695	44.745000000000005	45.2926	44.0249	43.4391	42.8183	43.2714	42.2196	44.3835	44.3906	45.385799999999996	42.5239	45.7984	43.2126	43.2329	44.173	42.583	43.5167	44.2889	42.598	43.9468	43.1372	43.4184	42.6366	43.3753	42.9166	43.551899999999996	42.0705	44.8982	41.897600000000004	43.0165	44.3868	42.2527	44.4723	42.016799999999996	41.1422	42.268699999999995	43.432500000000005	42.0616	43.1339	42.6624	44.7138	41.353899999999996	42.2869	44.5448	42.8115	43.7756	41.599799999999995	43.192	41.267399999999995	42.451699999999995	42.536	42.95	41.801	40.9865	42.3686	43.2105	41.7769	42.536699999999996	42.0482	40.5126	43.899899999999995	42.3234	41.685	40.9644	42.1584	42.9272	41.969899999999996	40.9341	41.1914	41.9805	42.115	40.1592	42.7314	41.501599999999996	43.5137	41.5282	41.780899999999995	41.7034	42.4823	41.8314	42.032599999999995	39.8375	41.3958	40.477999999999994	41.6757	41.490899999999996	42.4516	42.301100000000005	42.1841	41.9866	40.7928	43.3567	42.2928	42.3703	41.805	40.7609	42.0663	42.7198	41.0484	41.808499999999995	42.1965	42.0748	41.589	40.507
COPE-0471	99.8831	99.94380000000001	99.923	46.7001	51.8114	44.579	46.7816	40.521	48.755500000000005	47.1972	47.7412	43.9164	47.3495	50.314800000000005	47.1826	46.6007	41.7676	44.3617	42.0182	46.771	44.9379	47.701100000000004	45.8628	46.184599999999996	44.4728	43.5845	46.2558	43.5952	42.681799999999996	46.211200000000005	44.2135	42.607299999999995	43.6261	47.4018	42.7421	45.439	42.0352	42.6588	45.935500000000005	41.0293	42.7434	45.1914	45.230599999999995	47.6158	46.6909	42.8348	44.9418	46.4401	44.4388	43.8841	45.7928	43.6726	43.7128	47.6541	42.5571	47.7207	41.6346	47.8598	44.0508	43.776700000000005	44.8975	45.1317	44.791	46.1897	42.4414	41.3785	43.2962	41.241699999999994	41.511700000000005	43.1755	43.4223	40.6212	40.450599999999994	46.7216	40.7982	43.417	47.3125	41.559400000000004	46.4903	40.314499999999995	40.8905	45.6481	45.1424	43.0228	42.655300000000004	41.4676	43.919399999999996	41.855399999999996	42.7519	46.9157	40.672599999999996	42.8757	40.5563	43.0676	39.758300000000006	42.5277	42.895	45.356	42.111900000000006	39.622099999999996	45.284400000000005	40.937200000000004	39.7509	40.9655	40.8795	38.9287	46.791	42.1016	41.6646	39.0202	44.9853	42.1182	39.6124	41.9592	39.3833	42.7311	39.611000000000004	37.9747	42.9612	39.3235	45.3787	40.9416	41.9218	39.6959	45.3762	42.293	41.421	38.6873	42.4994	41.5066	39.8904	41.2676	44.4511	39.5728	39.8588	39.0859	38.908100000000005	41.7873	38.9093	43.5049	42.0828	41.4662	44.3018	43.1035	39.1656	39.467	42.4295	42.9268	39.2711	38.2931
COPE-0472	99.7894	99.8268	99.8433	46.4818	52.9585	47.1644	50.223099999999995	44.8395	50.3776	48.5865	49.9427	48.548	50.9891	50.854699999999994	48.6519	48.8748	47.4294	47.4572	47.0082	46.335100000000004	50.520399999999995	50.9915	49.3332	52.184799999999996	46.2455	48.2635	49.8011	47.1019	46.425	47.4084	47.6444	49.6006	46.4384	48.554199999999994	47.2169	48.9294	45.312999999999995	46.597300000000004	49.6792	47.1021	46.9478	49.7518	49.8955	49.2924	48.950500000000005	47.8722	48.4969	49.0425	46.2175	46.4952	48.2381	46.547	46.5875	48.7313	47.7726	48.5599	47.9367	49.9269	48.455	46.7487	48.8987	46.531099999999995	47.881099999999996	46.9191	45.9046	47.0238	49.012299999999996	45.4553	46.0251	45.946	45.5619	46.571200000000005	46.123999999999995	48.6244	46.4154	48.3805	49.5903	45.0515	49.0569	44.078	45.5605	48.6714	48.1905	45.8739	48.8626	44.290099999999995	49.157000000000004	46.6335	46.4101	49.6854	43.586999999999996	48.2319	45.602900000000005	45.4443	44.060300000000005	46.2784	48.4514	47.5516	46.5927	45.209700000000005	45.7505	48.147600000000004	43.783300000000004	46.2331	45.3666	45.549	48.9802	49.5352	44.9756	43.8916	49.6209	47.7529	46.4902	43.0865	46.678	45.0877	45.9515	44.1379	47.9276	47.238	46.069900000000004	45.1752	49.2131	45.303399999999996	49.4417	45.6151	45.3007	45.2384	46.063700000000004	45.5451	43.9129	45.1134	46.4676	44.256	44.5941	44.8565	42.810500000000005	46.9325	45.9534	48.235499999999995	47.0808	47.8636	46.956900000000005	49.6461	46.3097	44.3943	49.4384	49.790099999999995	45.282	43.9769
COPE-0473	99.8697	99.94659999999999	99.9106	45.3656	52.0764	46.3105	46.1944	43.0075	47.9914	47.3641	47.003299999999996	45.2876	48.3237	49.5085	47.9531	47.1419	44.188300000000005	45.786500000000004	44.9329	47.218199999999996	47.053200000000004	48.5816	46.6694	46.887	46.4226	45.319500000000005	46.8182	44.3092	44.0999	46.483799999999995	45.242900000000006	45.461600000000004	45.3037	46.965	44.1202	46.865899999999996	43.3697	44.3364	47.0066	43.7086	44.2801	46.3119	46.3001	47.9406	46.5708	45.2533	45.4995	47.5505	45.4498	44.0864	45.8492	43.5383	44.2148	46.4994	45.4411	46.673700000000004	44.1515	46.861399999999996	45.4212	43.9675	46.456900000000005	45.063199999999995	45.333	44.9426	43.6528	43.8618	43.8419	44.083600000000004	44.5272	43.2666	44.5901	43.182500000000005	42.2501	45.4314	43.3809	44.4449	45.9639	43.744499999999995	46.1755	42.1012	43.532199999999996	45.6761	45.4328	43.5504	44.7984	42.8666	44.4938	42.8992	43.2066	46.5817	42.1355	44.4588	42.7642	43.4811	42.6637	43.2905	43.2307	44.2903	42.968	42.0867	44.9762	43.9822	41.5942	43.1096	43.0153	41.4653	45.7629	43.9401	43.0654	41.3206	44.8369	43.4828	42.6601	42.6155	41.9496	42.6736	41.7588	40.7505	44.7388	42.2804	44.3976	42.588300000000004	43.8457	41.8862	45.267	42.489	42.2837	41.5949	43.0165	42.1444	41.817	42.2655	44.667899999999996	40.6919	42.1499	41.590700000000005	40.6013	42.9564	41.6642	44.130399999999995	42.8649	43.6154	43.249900000000004	44.912800000000004	41.2476	42.0614	43.715199999999996	44.3938	40.841100000000004	41.5261
COPE-0474	99.8588	99.91449999999999	99.88810000000001	45.0176	54.9343	48.3924	45.489000000000004	42.9758	43.7053	47.4059	46.3655	48.9309	47.6516	45.636700000000005	47.3137	49.1524	41.5758	49.5824	42.4998	45.9084	51.0694	47.6947	43.2906	49.8483	46.915099999999995	42.1902	45.0893	43.8834	45.7947	44.0559	44.5392	47.1466	47.800599999999996	44.649100000000004	45.9615	48.7158	44.5897	46.7351	45.3328	44.4648	47.9264	41.8672	49.1058	47.2513	43.9604	48.484100000000005	45.6676	47.7361	44.8254	48.6846	44.689800000000005	43.8836	46.301700000000004	48.1363	44.636399999999995	43.4284	48.768	44.399499999999996	44.914500000000004	43.734	47.605199999999996	47.9691	49.4684	43.9886	47.3724	45.626400000000004	45.6274	46.5655	44.0763	44.3599	47.5939	43.4482	43.6374	42.9458	46.3785	42.5337	44.8889	46.2954	43.0858	42.2328	44.0411	45.3304	44.8693	42.9093	42.0867	41.9101	45.183	44.3406	43.6034	43.7868	44.6128	43.4114	45.6383	47.2705	42.587199999999996	44.597300000000004	44.5731	41.9393	41.4131	42.352000000000004	43.9748	45.5014	44.2968	42.4941	46.3742	42.282	45.6727	44.8442	43.3837	43.953199999999995	44.515100000000004	44.6915	44.3527	42.796	41.3639	42.6449	42.984899999999996	45.907199999999996	41.9161	43.035000000000004	43.216100000000004	42.883300000000006	45.028600000000004	41.979699999999994	43.3243	44.1114	41.410000000000004	42.4888	42.6398	44.727	42.1418	41.9821	43.2124	45.298300000000005	44.0233	42.2041	41.491299999999995	45.289	42.4201	45.2365	44.228	43.3618	43.68	43.1451	44.1191	46.888999999999996	40.9473	47.0152	41.9371	41.948
COPE-0475	99.8702	99.928	99.9012	43.2481	55.1948	48.870200000000004	45.1897	42.0654	43.3423	46.6764	46.432	49.9449	48.1239	44.7508	46.2847	48.2113	41.3281	50.631099999999996	41.874	45.7115	49.3765	47.090700000000005	42.770599999999995	50.4224	46.1967	42.9479	44.1409	44.1753	44.2276	43.0435	44.0187	46.4559	48.222	44.817099999999996	45.9669	48.586600000000004	42.927	46.8918	44.534800000000004	45.2394	47.307300000000005	40.701	49.6459	46.929500000000004	42.605399999999996	47.496100000000006	44.4369	47.415800000000004	43.3241	48.5775	44.833099999999995	42.729099999999995	45.8461	48.654799999999994	45.3771	42.184	49.7273	43.4718	43.8065	42.8046	48.2985	47.8146	48.7121	43.8726	46.7821	45.364900000000006	45.3241	45.719	42.4158	44.797399999999996	47.5822	43.6614	43.2971	42.2306	45.623799999999996	42.222500000000004	45.0355	46.246500000000005	42.2505	42.332	43.8364	44.1363	45.2536	42.751	42.1487	41.3677	45.3993	42.599199999999996	43.7945	44.1514	43.9079	42.966100000000004	46.476800000000004	47.0329	42.414699999999996	44.9318	43.8973	40.9527	40.920899999999996	41.554	45.1841	45.6882	43.7863	42.5035	46.8951	42.3904	46.5272	44.6544	42.5342	44.122299999999996	44.3339	44.9349	45.2493	41.9281	41.3089	42.932199999999995	42.6126	45.5312	41.7665	42.5563	43.061	40.6506	44.9356	41.1437	43.263200000000005	44.048500000000004	40.4593	41.255399999999995	42.585499999999996	45.216499999999996	41.3449	40.977999999999994	43.7235	44.9225	43.9067	41.8596	41.167	45.793499999999995	41.6498	45.1534	44.7716	43.5569	42.3579	42.7759	44.1168	46.970099999999995	40.048	46.4048	42.0734	42.9977
COPE-0476	99.86	99.87169999999999	99.83149999999999	43.4583	49.7051	43.147999999999996	42.5022	39.0607	39.889599999999994	43.9478	39.4367	42.218	43.0512	44.7416	44.5985	42.097699999999996	38.743	43.4485	40.232299999999995	43.643100000000004	43.0291	43.7478	41.1093	42.8688	42.470200000000006	41.7976	41.9954	39.0227	40.1001	42.2575	38.2213	37.675	40.226099999999995	41.300799999999995	41.7124	37.5566	41.7042	41.755700000000004	40.450599999999994	37.8631	39.867999999999995	40.3032	37.2494	38.768	42.2666	38.6802	38.2564	39.191900000000004	36.4152	38.986599999999996	36.1569	37.071799999999996	37.9726	37.9114	37.0905	38.3004	37.2451	38.888	37.2787	36.3806	37.5458	36.6798	37.7732	38.6992	36.7645	36.0671	37.3286	36.7326	36.958400000000005	36.9419	36.8705	36.8588	36.7398	35.5807	37.1083	35.7118	37.476	37.1492	36.8705	38.1122	36.822500000000005	36.3177	36.5116	36.1194	35.3241	38.3376	36.295	35.9807	36.3298	36.7338	37.1113	36.1608	36.565	36.9683	36.2543	35.2282	36.7407	35.4169	35.8223	36.173	35.537800000000004	37.5042	37.034299999999995	36.3175	36.2887	35.9217	36.384899999999995	35.1354	35.4204	35.105199999999996	36.115	35.376200000000004	35.1214	35.565400000000004	35.7933	35.1492	34.9752	34.5554	35.4821	35.667100000000005	35.4583	36.2483	34.9618	35.8545	35.2189	34.591899999999995	34.8943	34.7393	34.2222	35.8783	35.532799999999995	34.4542	35.0891	36.3202	35.6378	36.5224	35.0837	37.9891	35.6908	35.5097	35.8009	34.6623	34.2171	35.126400000000004	35.808800000000005	36.452200000000005	33.8387	34.714299999999994	34.6883	34.5075
