Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145
Blank-1	36.6789	36.1793	36.5962	36.6606	36.7767	36.672	36.6002	36.5612	36.5754	36.5614	36.5418	36.5296	36.5186	36.5009	36.5117	36.5148	36.5152	36.5005	36.5263	36.5046	36.4752	36.4723	36.4702	36.4636	36.4411	36.4544	36.4491	36.458	36.4193	36.4569	36.4269	36.4472	36.4507	36.4353	36.4218	36.4328	36.4007	36.4061	36.3962	36.3713	36.408	36.3974	36.3908	36.3987	36.4089	36.3882	36.3616	36.3899	36.3772	36.3773	36.3629	36.354	36.3417	36.3552	36.328	36.3352	36.3629	36.3382	36.323	36.3249	36.332	36.349	36.3024	36.2931	36.2903	36.2964	36.2563	36.2849	36.3088	36.2991	36.2904	36.2979	36.2811	36.2656	36.2553	36.2454	36.2434	36.2254	36.2137	36.2025	36.194	36.2487	36.2276	36.1928	36.1993	36.2447	36.2089	36.1821	36.2185	36.1767	36.1912	36.2174	36.206	36.1387	36.1582	36.1543	36.164	36.1688	36.1574	36.1268	36.1145	36.1485	36.1565	36.1226	36.0737	36.0868	36.0652	36.0808	36.0386	36.0425	36.0545	36.0894	36.0895	36.0418	35.9945	36.0118	36.0048	35.9359	36.0223	35.9975	36.0067	36.0211	36.0314	36.0187	36.0171	35.9851	35.9893	35.9905	35.9138	35.905	35.849	35.8946	35.8984	35.8553	35.8937	35.8936	35.8813	35.8302	35.7831	35.8422	35.8123	35.8083	35.78	35.8034	35.7513
Blank-2	36.717	36.1351	36.5664	36.6321	36.7591	36.6244	36.5669	36.5308	36.5347	36.5182	36.5025	36.5047	36.4758	36.4684	36.4675	36.4808	36.4635	36.4647	36.4864	36.469	36.4444	36.4387	36.4427	36.455	36.4204	36.4179	36.4199	36.3974	36.3974	36.4158	36.3999	36.4112	36.4063	36.3957	36.394	36.3916	36.3878	36.3802	36.3642	36.3447	36.3764	36.3803	36.3607	36.3653	36.3832	36.3673	36.3556	36.3747	36.3624	36.3481	36.3399	36.3471	36.3224	36.3452	36.2875	36.3179	36.3334	36.3122	36.2885	36.3021	36.308	36.2915	36.3126	36.283	36.2677	36.2814	36.2704	36.2712	36.2829	36.2663	36.2739	36.2842	36.2546	36.2594	36.2589	36.242	36.2318	36.2169	36.1669	36.1927	36.1853	36.2299	36.2006	36.1786	36.1892	36.2174	36.2218	36.199	36.2186	36.2026	36.1892	36.2015	36.2058	36.1282	36.1573	36.168	36.1576	36.1533	36.1533	36.1378	36.0976	36.1341	36.1533	36.1142	36.0568	36.0725	36.0761	36.0753	36.077	36.0692	36.0569	36.0837	36.1149	36.0558	36.0012	36.0222	35.9898	35.9565	36.0183	36.0316	35.9927	36.0171	36.021	36.0051	36.0204	35.9859	35.9455	35.9945	35.9537	35.9169	35.8738	35.9043	35.8539	35.9009	35.9351	35.9166	35.9271	35.8809	35.8199	35.8932	35.8501	35.8056	35.7525	35.7894	35.7841
COPE-0469	36.4964	36.667	36.4836	36.6333	36.7679	36.6546	36.5857	36.5521	36.5573	36.5455	36.5297	36.541	36.5094	36.5076	36.5149	36.5296	36.5067	36.5114	36.5239	36.4972	36.4638	36.4495	36.4619	36.4799	36.4644	36.4426	36.4067	36.4194	36.4227	36.4341	36.4156	36.4171	36.4266	36.4166	36.4272	36.4345	36.4142	36.3924	36.4056	36.3388	36.4104	36.4013	36.4004	36.385	36.4092	36.4116	36.3707	36.3895	36.4063	36.3977	36.3817	36.373	36.3638	36.3257	36.3233	36.3416	36.3653	36.3194	36.2992	36.3139	36.3184	36.3366	36.3366	36.2915	36.2807	36.2904	36.3005	36.282	36.2806	36.2553	36.2808	36.286	36.2794	36.2777	36.285	36.2732	36.2652	36.2413	36.1998	36.2264	36.1188	36.2398	36.2349	36.1957	36.1909	36.2414	36.2329	36.2298	36.2468	36.2375	36.2174	36.2409	36.2308	36.1586	36.182	36.1847	36.2012	36.1941	36.1873	36.1644	36.1168	36.1392	36.2021	36.145	36.1129	36.0832	36.1011	35.9608	36.1012	36.0978	36.1085	36.1325	36.1382	36.0313	36.036	36.0454	36.0297	36.0223	36.0532	36.0534	36.0583	35.9433	36.0472	36.0362	36.0572	36.0285	36.0102	36.0601	35.9858	35.9566	35.8981	35.8493	35.7967	35.9189	35.962	35.984	35.9548	35.9399	35.9086	35.9671	35.8822	35.8455	35.7389	35.8747	35.8069
COPE-0470	36.661	36.5739	36.4625	36.5883	36.7188	36.6022	36.5434	36.5194	36.5197	36.5037	36.4798	36.4912	36.4578	36.4591	36.4593	36.4734	36.444	36.4484	36.4685	36.4469	36.4205	36.4238	36.4275	36.4381	36.4099	36.4055	36.3865	36.392	36.3827	36.3967	36.371	36.3865	36.3905	36.3775	36.3712	36.3737	36.363	36.3656	36.36	36.3256	36.356	36.351	36.3636	36.3521	36.373	36.3682	36.3314	36.3471	36.3579	36.3392	36.3366	36.3177	36.3194	36.3237	36.2827	36.3022	36.3226	36.2966	36.2782	36.2937	36.2897	36.2893	36.2998	36.2801	36.261	36.263	36.273	36.2616	36.2794	36.2549	36.2627	36.2773	36.2622	36.2622	36.2531	36.2455	36.2393	36.2022	36.1746	36.189	36.1614	36.2235	36.1935	36.1653	36.1636	36.2116	36.1987	36.1996	36.2109	36.2028	36.1866	36.2172	36.1915	36.1222	36.1615	36.1584	36.1726	36.1622	36.1768	36.143	36.0858	36.1262	36.1588	36.103	36.0759	36.0733	36.0644	36.0516	36.0769	36.0531	36.0567	36.0781	36.0913	36.0414	36.0041	36.0119	35.9957	35.9578	36.0353	36.0328	36.0119	35.9945	36.0115	35.9958	36.0251	35.9906	35.9677	36.015	35.9284	35.9063	35.887	35.8937	35.8451	35.9083	35.9346	35.9423	35.937	35.9009	35.846	35.9217	35.8704	35.8095	35.7471	35.8083	35.8265
COPE-0471	36.739	36.2205	36.5941	36.6446	36.7572	36.6501	36.5842	36.5638	36.5718	36.5564	36.5474	36.5585	36.5311	36.5241	36.5213	36.5354	36.5131	36.5077	36.525	36.5178	36.4855	36.4689	36.4794	36.4927	36.4786	36.4394	36.3735	36.3932	36.4316	36.4604	36.4455	36.4536	36.4497	36.4359	36.4386	36.438	36.4206	36.3858	36.3973	36.3628	36.4188	36.4267	36.4227	36.4085	36.4217	36.418	36.4001	36.4169	36.4275	36.4191	36.4004	36.4019	36.3923	36.3783	36.3536	36.3589	36.3914	36.3504	36.3338	36.3555	36.3552	36.3551	36.3676	36.3379	36.3187	36.3331	36.3334	36.3306	36.3179	36.3069	36.3291	36.334	36.3214	36.3216	36.3188	36.3033	36.2907	36.299	36.268	36.2548	36.1869	36.2826	36.2699	36.2406	36.2359	36.2913	36.2798	36.2523	36.2809	36.2773	36.2679	36.2836	36.261	36.228	36.2324	36.2541	36.2699	36.234	36.237	36.2175	36.1953	36.1956	36.2343	36.2086	36.1634	36.1532	36.1655	36.0505	36.143	36.1445	36.1626	36.1814	36.1999	36.0934	36.1028	36.1032	36.0785	36.0599	36.0833	36.0986	36.1107	36.039	36.1322	36.097	36.1135	36.0742	36.0646	36.1029	36.021	36.0178	35.9139	35.8656	35.9054	35.971	35.9817	36.0069	36.0019	35.9888	35.9556	36.0056	35.9648	35.9531	35.8529	35.9359	35.8179
COPE-0472	36.2888	36.1317	36.5245	36.6324	36.7204	36.5729	36.5375	36.5016	36.4971	36.511	36.4432	36.4991	36.4611	36.4415	36.4355	36.4735	36.4399	36.4786	36.4597	36.4756	36.4404	36.4231	36.4456	36.428	36.3966	36.4107	36.3768	36.3895	36.3726	36.3988	36.3328	36.3537	36.3434	36.3011	36.3202	36.3475	36.3538	36.3104	36.3144	36.2048	36.3198	36.3247	36.3085	36.3266	36.3477	36.3402	36.3007	36.3349	36.3316	36.318	36.3016	36.2562	36.2781	36.2793	36.2631	36.2872	36.3028	36.28	36.2166	36.2688	36.2563	36.258	36.2672	36.2272	36.2218	36.251	36.2126	36.2433	36.2216	36.234	36.2088	36.235	36.2075	36.2301	36.1978	36.2283	36.2048	36.1981	36.1819	36.2057	36.1085	36.1938	36.1772	36.139	36.1586	36.1816	36.2043	36.1841	36.196	36.1982	36.1415	36.1957	36.1856	36.1401	36.1423	36.1618	36.195	36.1682	36.1515	36.1225	36.1142	36.1617	36.1499	36.1511	36.1017	36.0441	36.0835	36.0215	36.1072	36.0732	36.0718	36.1101	36.159	36.0691	36.0499	36.0736	36.0531	36.0224	36.0771	36.0769	36.0524	35.9928	36.0995	36.0522	36.0587	36.0222	36.0594	36.0796	36.0043	35.9774	35.9536	35.9776	35.8649	35.9655	36.0151	36.0237	35.9863	35.9935	35.916	36.0077	35.9012	35.8966	35.8612	35.9069	35.9285
COPE-0473	36.5515	36.6861	36.5675	36.6605	36.7846	36.6504	36.5867	36.5482	36.5576	36.5393	36.5309	36.5343	36.5054	36.5021	36.504	36.5275	36.4958	36.4914	36.512	36.5063	36.4648	36.4703	36.4676	36.4738	36.4555	36.4382	36.4092	36.4226	36.4292	36.4439	36.4294	36.421	36.4284	36.4167	36.4142	36.4205	36.4151	36.4035	36.4025	36.3764	36.4128	36.411	36.3985	36.4104	36.4235	36.4303	36.3858	36.3945	36.4013	36.3895	36.3853	36.3783	36.3744	36.3606	36.3351	36.3545	36.3697	36.3363	36.3096	36.351	36.34	36.3383	36.34	36.3258	36.2974	36.3193	36.3187	36.3145	36.2989	36.2987	36.3084	36.311	36.2944	36.2864	36.2921	36.2926	36.2748	36.2645	36.2313	36.2172	36.1956	36.2608	36.2421	36.2228	36.2231	36.2646	36.2605	36.2547	36.2599	36.2519	36.2239	36.2531	36.2331	36.1904	36.2154	36.2239	36.2482	36.2073	36.2241	36.1971	36.1533	36.1912	36.2123	36.1858	36.1391	36.1164	36.1576	36.0695	36.1416	36.1254	36.128	36.1505	36.1796	36.0888	36.0569	36.0831	36.0555	36.0528	36.0977	36.0857	36.0901	36.0373	36.1168	36.0726	36.1073	36.0677	36.0658	36.0963	36.0461	35.9995	35.944	35.9527	35.9187	35.977	36.0025	36.015	36.0222	36.0104	35.9446	36.0186	35.9752	35.9078	35.8296	35.922	35.8901
COPE-0474	36.7583	36.7076	36.5289	36.6444	36.7283	36.6264	36.5588	36.5407	36.5453	36.5209	36.4955	36.5158	36.4856	36.5011	36.4849	36.4966	36.4874	36.4824	36.488	36.4934	36.4538	36.4485	36.4661	36.458	36.4515	36.4463	36.4267	36.4107	36.419	36.4205	36.4112	36.4166	36.4074	36.3946	36.409	36.4133	36.3999	36.3965	36.3937	36.3752	36.4133	36.4007	36.3991	36.399	36.4077	36.3947	36.3387	36.3545	36.3823	36.3609	36.3583	36.3752	36.3449	36.3532	36.3441	36.3163	36.3573	36.3172	36.3106	36.322	36.312	36.2849	36.3171	36.304	36.2796	36.2843	36.2823	36.2733	36.2973	36.2757	36.2797	36.2876	36.2654	36.2795	36.2824	36.2541	36.2398	36.2314	36.2192	36.2155	36.2066	36.2169	36.1945	36.1835	36.2066	36.2097	36.1998	36.2256	36.2026	36.2196	36.2232	36.2125	36.1835	36.1592	36.1897	36.1738	36.2011	36.1934	36.1745	36.1187	36.0752	36.1103	36.1209	36.1405	36.1045	36.0463	36.0521	36.0859	36.1029	36.0436	36.019	36.0555	36.1043	36.0542	36.0032	36.0471	36.043	35.9771	36.0008	36.0066	36.0013	36.0548	36.0593	36.0618	36.0159	35.9634	36.0121	36.0333	35.9743	35.9354	35.9171	35.9638	35.8942	35.9205	35.9236	35.8921	35.9549	35.9486	35.875	35.9247	35.9092	35.7972	35.7644	35.8334	35.809
COPE-0475	36.7239	36.2656	36.5706	36.6404	36.7514	36.6406	36.5634	36.5521	36.5614	36.5257	36.5123	36.5264	36.502	36.519	36.4976	36.5129	36.4985	36.4911	36.5039	36.5039	36.4742	36.4675	36.4812	36.4759	36.4685	36.4625	36.442	36.4346	36.4382	36.4438	36.4306	36.4381	36.4308	36.4077	36.4188	36.4275	36.4227	36.4165	36.4118	36.3969	36.4325	36.4176	36.4052	36.4111	36.4208	36.407	36.3486	36.3764	36.3995	36.3697	36.3674	36.3833	36.3568	36.3609	36.3561	36.3239	36.3657	36.3324	36.3157	36.3392	36.3389	36.3015	36.3377	36.3166	36.2786	36.277	36.3065	36.2884	36.3061	36.2638	36.2712	36.2861	36.2703	36.2938	36.2998	36.2427	36.2527	36.2179	36.1982	36.2274	36.2141	36.2051	36.221	36.2181	36.1632	36.1992	36.1792	36.2434	36.1975	36.2442	36.2245	36.2446	36.2206	36.1065	36.1707	36.162	36.193	36.175	36.1687	36.0825	36.0255	36.0913	36.1371	36.1536	36.1047	36.0486	36.046	36.0894	36.111	36.0563	36.0694	36.0935	36.1072	36.0739	35.9722	36.0042	36.0121	36.0121	36.067	36.0753	36.012	36.0187	36.0227	36.01	36.0611	35.9765	35.9824	36.0311	36.006	35.9394	35.9137	35.9111	35.8134	35.919	35.9855	35.9573	35.9844	35.9801	35.9159	35.9607	35.9187	35.7555	35.6667	35.7747	35.8292
COPE-0476	36.5257	36.6035	36.5137	36.6411	36.7497	36.6654	36.604	36.595	36.5791	36.57	36.5669	36.5594	36.5313	36.5298	36.5247	36.5423	36.5081	36.5105	36.5171	36.5065	36.4962	36.4839	36.4989	36.4957	36.4597	36.472	36.464	36.4463	36.4323	36.4523	36.4325	36.4424	36.4574	36.4382	36.4187	36.4154	36.4283	36.4267	36.4088	36.3831	36.3941	36.3964	36.4083	36.4241	36.4279	36.4022	36.3636	36.368	36.377	36.3807	36.3671	36.3697	36.3592	36.3741	36.3273	36.3547	36.352	36.3198	36.3268	36.3471	36.3314	36.3156	36.3319	36.2961	36.2933	36.2973	36.2987	36.2855	36.3087	36.3006	36.2943	36.2969	36.2665	36.2772	36.2695	36.2666	36.2496	36.2231	36.1924	36.1869	36.1931	36.2092	36.1784	36.1793	36.1977	36.2322	36.1975	36.1774	36.189	36.1749	36.1707	36.2076	36.1643	36.1043	36.1209	36.1321	36.1439	36.1392	36.1434	36.1264	36.1011	36.1333	36.1515	36.1026	36.0492	36.048	36.0529	36.0755	36.056	36.0189	36.0047	36.0518	36.0559	35.9986	35.9513	35.9509	35.933	35.9181	35.9517	35.9599	35.9265	35.9556	35.9823	35.9757	35.9343	35.9118	35.898	35.9274	35.8705	35.8479	35.8118	35.8442	35.8002	35.7976	35.8484	35.8373	35.8224	35.7899	35.7228	35.7716	35.7507	35.7181	35.6741	35.6822	35.654
