Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Blank-1	36.6162	36.7787	36.8101	36.2329	36.2175	35.9727	35.9313	35.8043	36.0008	35.9659	35.9284	36.027	35.9731	35.8602	35.9548	35.91	35.751	35.8784	35.9791	35.7961	35.8051	35.7818	35.904	35.9844	36.0346	36.0437	35.9905	35.9309	35.9224	35.9286	35.8799	35.9512	35.9025	35.9285	35.9169	35.8948	35.9031	35.8523	35.9067	35.9108	35.8759	35.8223	35.8355	35.8318	35.8235	35.7743	35.7528	35.7318	35.7902	35.7552	35.7141	35.6713	35.6927	35.701	35.6697	35.6657	35.6105	35.7169	35.6399	35.6174	35.6479	35.5565	35.6041	35.5954	35.5982	35.5891	35.5968	35.5925	35.6006	35.6111	35.5886	35.5386	35.6261	35.5444	35.5386	35.545	35.4656	35.4015	35.4973	35.4759	35.3982	35.4119	35.3826	35.3956	35.4495	35.4094	35.4079	35.3268	35.3713	35.3768	35.3435	35.3407	35.3716	35.3293	35.3081	35.2812	35.3151	35.353	35.2615	35.2161	35.2634	35.2436	35.1445	35.2288	35.2389	35.2481	35.1957	35.1796	35.1883	35.0821	35.0943	35.1024	35.0819	35.0962	35.1492	35.103	35.0597	35.0243	35.1359	35.0999	34.9751	34.8814	35.0562	34.9989	35.008	35.0444	34.8253	34.7389	34.9104	34.9992	34.8948	34.7743	34.8836	34.8641	34.8332	34.7784	34.7549	34.7719	34.6541	34.7622	34.7804	34.8274	34.7901	34.7704	34.6281	34.5173	34.4785	34.6243	34.61	34.5346
Blank-2	36.7245	36.8045	36.832	36.3163	36.2876	36.0738	36.0659	35.9027	36.0967	36.0068	36.0289	36.1458	36.0606	35.9677	36.0781	35.9778	35.8391	36.0293	36.0892	35.9121	35.9134	35.9269	35.9854	36.0605	36.1214	36.139	36.0834	36.0214	36.0042	36.02	35.9898	36.0188	36.0171	36.0057	36.0175	36.0074	36.0064	35.9889	36.0093	35.9751	35.966	35.9311	35.9544	35.9327	35.9242	35.9163	35.9117	35.8566	35.8925	35.8589	35.8516	35.8043	35.7607	35.8378	35.795	35.771	35.7884	35.7738	35.743	35.7646	35.775	35.6884	35.7105	35.6853	35.7026	35.7054	35.7083	35.6899	35.7087	35.7131	35.709	35.6473	35.7244	35.6943	35.6559	35.6224	35.5922	35.4911	35.568	35.5817	35.5365	35.5455	35.49	35.5244	35.6095	35.5789	35.5514	35.47	35.5023	35.5366	35.513	35.5116	35.5244	35.4873	35.4937	35.4811	35.4768	35.4965	35.4234	35.3429	35.3845	35.399	35.3134	35.3311	35.3906	35.3541	35.3696	35.3622	35.3276	35.3079	35.2987	35.2992	35.3006	35.3266	35.2982	35.2798	35.2209	35.2301	35.3171	35.2295	35.132	35.0348	35.1876	35.1881	35.24	35.1651	35.0085	34.9423	35.0786	35.1725	35.0768	34.9892	35.0351	35.0646	35.044	35.0074	34.9682	34.984	34.8106	34.9633	34.9669	34.9921	34.9824	34.9549	34.8465	34.7273	34.7608	34.8547	34.8311	34.7803
COPE-0469	36.7264	36.8041	36.8291	36.3133	36.3063	36.0612	36.1047	35.8785	36.1789	36.0961	36.0922	36.0781	36.0991	36.0195	36.0891	36.0514	35.9471	36.1227	36.0841	35.9649	35.986	35.9929	36.0475	36.1099	36.1573	36.1308	36.1575	36.1104	36.0742	36.1123	36.0653	36.0956	36.0458	36.0531	36.0959	36.0399	36.0313	36.0405	36.0863	36.0594	36.0443	36.0058	35.9953	36.0326	35.9965	35.9585	35.97	35.9471	35.9453	35.8854	35.912	35.8648	35.8953	35.8858	35.8271	35.8473	35.8209	35.8606	35.8083	35.8479	35.8705	35.8368	35.8309	35.8443	35.8416	35.8248	35.831	35.8123	35.8387	35.8541	35.8283	35.8001	35.8145	35.831	35.7639	35.7177	35.7102	35.6246	35.7243	35.6718	35.6902	35.664	35.6429	35.6394	35.7061	35.684	35.6876	35.6098	35.6604	35.6705	35.6104	35.611	35.6363	35.6111	35.6275	35.6044	35.5771	35.6437	35.5704	35.475	35.5268	35.507	35.3945	35.4584	35.5373	35.4495	35.5312	35.4614	35.4585	35.4097	35.4324	35.4485	35.3882	35.4095	35.4061	35.3851	35.3202	35.3751	35.4344	35.3179	35.2751	35.1885	35.3542	35.2973	35.3872	35.2612	35.1054	35.0211	35.2579	35.3362	35.2045	35.1298	35.2103	35.2243	35.1907	35.1918	35.1209	35.1293	35.0461	35.1117	35.0785	35.1294	35.1291	35.1206	34.9879	34.8673	34.9462	35.0329	35.002	34.8888
COPE-0470	36.7223	36.8004	36.8276	36.2819	36.2669	36.0333	36.0378	35.8613	36.0992	36.002	36.0107	36.1124	36.0422	35.9362	36.0657	35.9729	35.8609	36.0168	36.0319	35.8802	35.9063	35.9127	35.9892	36.0507	36.1094	36.1224	36.0847	36.039	36.0025	36.0088	35.9808	36.0317	35.9903	35.9934	36.0051	35.9728	35.9824	35.9717	35.9878	35.9689	35.9597	35.9126	35.9319	35.9552	35.9241	35.8916	35.9048	35.8703	35.8899	35.8462	35.8204	35.7908	35.777	35.8025	35.7651	35.7759	35.7476	35.7669	35.7065	35.7375	35.7595	35.7206	35.6947	35.7102	35.7005	35.7186	35.7155	35.7241	35.7199	35.7564	35.7189	35.6863	35.7173	35.7126	35.6708	35.6194	35.5924	35.5336	35.6345	35.5869	35.5423	35.5173	35.5194	35.5416	35.5939	35.605	35.586	35.4905	35.5304	35.5513	35.5234	35.5274	35.5124	35.4956	35.494	35.4727	35.4655	35.5225	35.4326	35.3266	35.4069	35.3891	35.2973	35.361	35.4013	35.3662	35.3964	35.3727	35.322	35.3034	35.3205	35.3158	35.2915	35.2862	35.2868	35.2991	35.2564	35.2649	35.3097	35.2475	35.1397	35.0697	35.2171	35.1439	35.253	35.1714	34.9963	34.9062	35.1053	35.1926	35.0915	34.9618	35.0551	35.0564	35.0876	35.0488	35.0032	34.9903	34.8999	34.98	34.9993	35.0217	35.0169	35.0063	34.89	34.7401	34.7723	34.8996	34.8865	34.7729
COPE-0471	36.7678	36.8252	36.8529	36.4382	36.4369	36.1762	36.2183	36.0503	36.2851	36.2325	36.215	36.2166	36.2249	36.1484	36.2077	36.1575	36.0937	36.2296	36.2072	36.0948	36.1137	36.1234	36.1771	36.228	36.2447	36.2338	36.2551	36.2255	36.1915	36.2231	36.1723	36.1824	36.1585	36.1795	36.1998	36.1296	36.1331	36.142	36.1872	36.1783	36.1592	36.123	36.0865	36.1471	36.1198	36.0835	36.0993	36.0866	36.0889	36.0591	36.0612	36.0087	36.0216	36.0236	35.9826	36.0086	35.9676	35.9994	35.9401	35.9956	36.005	35.9813	35.9812	35.9631	35.9721	35.9636	35.9671	35.9682	35.9556	36.0021	35.9581	35.9264	35.9586	35.9724	35.8962	35.848	35.8605	35.774	35.8807	35.8358	35.8276	35.8238	35.7851	35.7707	35.8498	35.8534	35.8345	35.7668	35.8119	35.8171	35.7396	35.7417	35.7692	35.7551	35.7593	35.7643	35.7139	35.8124	35.7164	35.6324	35.6965	35.6514	35.5522	35.6226	35.6889	35.6348	35.6997	35.6341	35.6052	35.5839	35.6183	35.5978	35.5245	35.54	35.5734	35.5722	35.5176	35.5115	35.585	35.5205	35.435	35.3787	35.5324	35.4679	35.5646	35.4955	35.2971	35.1934	35.4477	35.5183	35.4158	35.3324	35.4259	35.4248	35.3699	35.3965	35.2974	35.3368	35.2203	35.3362	35.3226	35.3328	35.3321	35.3347	35.1941	35.0794	35.1724	35.2567	35.2213	35.1314
COPE-0472	36.7488	36.8253	36.8505	36.4461	36.4293	36.2583	36.2428	36.1146	36.3526	36.2673	36.2912	36.3017	36.2731	36.2315	36.2442	36.2681	36.2071	36.2982	36.2741	36.1909	36.2138	36.1986	36.2556	36.2891	36.3313	36.3264	36.3258	36.3064	36.2653	36.2802	36.2479	36.2899	36.2427	36.2395	36.2685	36.2461	36.2176	36.2383	36.2638	36.2604	36.2271	36.2115	36.2098	36.2214	36.1913	36.1847	36.1971	36.1339	36.1481	36.0864	36.1281	36.0759	36.0883	36.0957	36.0661	36.1049	36.0911	36.0676	36.0237	36.0788	36.0803	36.083	36.0415	36.0561	36.0594	36.0462	36.0708	36.0704	36.0779	36.0775	36.0731	36.0568	36.0782	36.1008	35.998	35.9713	35.9411	35.9102	35.9638	35.9459	35.9407	35.8952	35.9176	35.932	35.9346	35.9461	35.9496	35.9013	35.9216	35.9004	35.8831	35.8973	35.9113	35.8708	35.8643	35.8333	35.8572	35.8874	35.8177	35.7594	35.8039	35.7719	35.6642	35.7451	35.7985	35.7499	35.7716	35.78	35.6957	35.7279	35.6901	35.7272	35.6937	35.7213	35.7151	35.6542	35.6662	35.6979	35.715	35.64	35.5845	35.5617	35.7259	35.642	35.6883	35.6289	35.4636	35.3677	35.5549	35.6474	35.5213	35.4282	35.5126	35.5397	35.4946	35.4434	35.4062	35.4314	35.364	35.4268	35.4432	35.4841	35.4179	35.4293	35.3921	35.2653	35.2699	35.3874	35.3305	35.2433
COPE-0473	36.7499	36.8208	36.8469	36.4561	36.4519	36.2347	36.2099	36.0894	36.3177	36.2735	36.2305	36.2675	36.2583	36.1794	36.2563	36.1968	36.1157	36.2652	36.229	36.1349	36.1424	36.1337	36.2143	36.2628	36.3227	36.299	36.2846	36.262	36.2417	36.2598	36.2383	36.2448	36.2132	36.2146	36.2247	36.1853	36.1891	36.1964	36.2236	36.2216	36.1904	36.168	36.1607	36.185	36.1789	36.136	36.1492	36.1226	36.1304	36.0806	36.095	36.069	36.0683	36.0699	36.0287	36.0329	36.0169	36.039	36.0168	36.0335	36.0597	36.0427	36.0343	36.0158	36.0182	36.0293	36.0262	36.0408	36.0369	36.0482	36.0212	35.991	36.0071	36.0067	35.9692	35.9387	35.9363	35.884	35.9504	35.9004	35.8986	35.8859	35.8715	35.8846	35.9082	35.9007	35.8819	35.8318	35.8795	35.8701	35.8202	35.8207	35.8522	35.8109	35.8351	35.8352	35.8092	35.8484	35.8099	35.7321	35.778	35.7589	35.6567	35.7325	35.754	35.7335	35.7474	35.7103	35.6948	35.6774	35.6927	35.6822	35.6523	35.6491	35.6429	35.6352	35.6045	35.6455	35.675	35.6224	35.515	35.5183	35.6353	35.5782	35.6228	35.5735	35.4091	35.3464	35.5286	35.6138	35.482	35.41	35.5225	35.5129	35.4719	35.4616	35.3953	35.3773	35.2973	35.3891	35.392	35.4362	35.4215	35.4061	35.3371	35.2255	35.2558	35.3633	35.3365	35.2653
COPE-0474	36.7659	36.843	36.8661	36.4567	36.4342	36.2719	36.2722	36.2242	36.3133	36.2953	36.2757	36.3316	36.261	36.2374	36.283	36.2943	36.1938	36.2856	36.2773	36.202	36.2436	36.2176	36.2356	36.2868	36.3268	36.3221	36.2977	36.2763	36.2679	36.2736	36.2522	36.2633	36.237	36.246	36.2497	36.2277	36.2274	36.2453	36.2341	36.2169	36.1972	36.1632	36.2157	36.2021	36.1934	36.1777	36.2025	36.1832	36.1576	36.1613	36.0582	36.0931	36.0927	36.1133	36.0813	36.0639	36.1061	36.0781	36.0476	36.0866	36.1079	36.0689	36.0825	36.054	36.0774	36.079	36.0611	36.0807	36.0756	36.1012	36.0618	36.0219	36.0539	36.015	36.0163	36.0144	35.9804	35.9518	35.9922	35.9999	35.935	35.9455	35.9318	35.9726	35.9607	35.9555	35.9524	35.8908	35.9291	35.8905	35.9234	35.898	35.9326	35.8928	35.8676	35.9032	35.9031	35.8867	35.8105	35.7806	35.8497	35.8529	35.7834	35.7744	35.8631	35.8243	35.826	35.8103	35.7742	35.7788	35.7846	35.8001	35.788	35.7643	35.7415	35.7646	35.6979	35.7296	35.7488	35.7012	35.6187	35.6029	35.7275	35.6943	35.7121	35.6602	35.5281	35.4302	35.6156	35.7149	35.5601	35.4898	35.571	35.5575	35.5811	35.4819	35.5274	35.5276	35.4398	35.5194	35.5624	35.5378	35.5306	35.4994	35.4288	35.3775	35.3786	35.4817	35.4219	35.3662
COPE-0475	36.7329	36.8332	36.8593	36.4339	36.4228	36.2566	36.2519	36.1869	36.2883	36.2636	36.2448	36.3143	36.2455	36.1937	36.2419	36.2522	36.1386	36.2591	36.2508	36.1482	36.1936	36.1665	36.2034	36.2452	36.2994	36.2866	36.2606	36.2365	36.2285	36.2342	36.2173	36.2197	36.2044	36.2139	36.2183	36.1956	36.1868	36.2033	36.1896	36.1785	36.1632	36.1256	36.1677	36.1603	36.1533	36.1297	36.1512	36.1393	36.1241	36.1165	35.9623	36.0383	36.0525	36.0657	36.0473	36.0145	36.0646	36.0292	36.0101	36.0361	36.0588	36.0194	36.0271	36.0196	36.0328	36.0234	36.0057	36.0279	36.0139	36.0501	35.9902	35.9534	35.9884	35.9565	35.9519	35.9613	35.9375	35.8833	35.9396	35.9594	35.8775	35.8919	35.8881	35.909	35.9028	35.9116	35.9044	35.8277	35.8701	35.8345	35.8479	35.8306	35.8656	35.8548	35.8211	35.819	35.8279	35.8092	35.747	35.722	35.8012	35.7775	35.7179	35.6885	35.7957	35.7415	35.7615	35.7434	35.7016	35.7055	35.7138	35.7424	35.7137	35.7026	35.6756	35.7005	35.6367	35.6552	35.6805	35.6315	35.5592	35.5055	35.6458	35.6195	35.6422	35.5894	35.4406	35.3435	35.541	35.6557	35.506	35.4092	35.4963	35.497	35.5141	35.4003	35.4349	35.4441	35.3649	35.4493	35.4781	35.4792	35.4567	35.3867	35.3353	35.287	35.2777	35.4042	35.3344	35.266
COPE-0476	36.7374	36.8064	36.8397	36.4221	36.365	36.2321	36.2209	36.1117	36.2534	36.1865	36.1647	36.2765	36.1878	36.0887	36.2079	36.1611	36.0147	36.1433	36.1739	36.0707	36.0841	36.0791	36.1512	36.1786	36.2227	36.2322	36.1853	36.1164	36.1332	36.1466	36.0934	36.1323	36.1091	36.14	36.1236	36.095	36.1106	36.0818	36.1192	36.0791	36.0587	36.0278	36.0549	36.0553	36.0318	36.0097	35.9913	35.954	36.0066	35.9433	35.9196	35.9066	35.8864	35.8848	35.8647	35.8362	35.843	35.8315	35.8057	35.8363	35.8335	35.7964	35.7863	35.7623	35.7253	35.7603	35.7531	35.7606	35.7613	35.7641	35.7721	35.7301	35.7449	35.7316	35.7157	35.7356	35.6295	35.5643	35.6156	35.6027	35.5227	35.5654	35.5341	35.5914	35.6245	35.5971	35.5858	35.5155	35.5428	35.5791	35.5209	35.5163	35.5537	35.5289	35.5111	35.5073	35.4839	35.5537	35.4706	35.3593	35.4186	35.4441	35.3392	35.3385	35.43	35.3832	35.3648	35.3536	35.3189	35.2805	35.2861	35.2585	35.2681	35.314	35.3178	35.2835	35.2266	35.236	35.2988	35.2612	35.1052	35.0413	35.1753	35.1704	35.2035	35.1317	35.0122	34.9265	35.103	35.1877	35.0516	34.9161	35.0157	35.0017	35.019	35.0016	34.9795	34.9554	34.8331	34.9114	34.9487	34.9418	34.934	34.8745	34.7971	34.7026	34.6467	34.7595	34.795	34.6844
