Sample	Passed Filter	Low Quality	Too Many N	Too short
Blank-1	711186.0	3726.0	0.0	7994.0
Blank-2	1135104.0	3026.0	0.0	12304.0
COPE-0469	1041676.0	4486.0	0.0	13558.0
COPE-0470	5403944.0	18532.0	0.0	47344.0
COPE-0471	3817114.0	10752.0	0.0	33440.0
COPE-0472	796924.0	2746.0	0.0	34908.0
COPE-0473	835606.0	2498.0	0.0	7672.0
COPE-0474	12522122.0	48300.0	0.0	105000.0
COPE-0475	11429366.0	47152.0	0.0	93162.0
COPE-0476	14169004.0	40796.0	0.0	266712.0
COPE-0477	1682998.0	6246.0	0.0	17808.0
COPE-0478	1853892.0	6046.0	0.0	19216.0
COPE-0479	3484680.0	11596.0	0.0	32770.0
COPE-0480	479016.0	1532.0	0.0	3730.0
COPE-0481	7964054.0	21172.0	0.0	65022.0
COPE-0482	9561368.0	30536.0	0.0	105496.0
COPE-0483	5014958.0	15178.0	0.0	44244.0
COPE-0484	3107502.0	11482.0	0.0	47098.0
COPE-0485	1279178.0	4430.0	0.0	12096.0
COPE-0486	1919140.0	5424.0	0.0	10238.0
COPE-0487	1491468.0	3616.0	0.0	62898.0
COPE-0488	3953018.0	11844.0	0.0	34254.0
COPE-0489	264662.0	1178.0	0.0	22556.0
COPE-0490	86736.0	1478.0	0.0	1316.0
COPE-0491	5456846.0	17754.0	0.0	43022.0
COPE-0492	3094786.0	9334.0	0.0	23544.0
COPE-0493	3640386.0	15032.0	0.0	33116.0
COPE-0494	3689326.0	13588.0	0.0	33172.0
COPE-0495	5236444.0	20006.0	0.0	46958.0
COPE-0496	732302.0	2226.0	0.0	6128.0
COPE-0497	2090638.0	7472.0	0.0	19268.0
COPE-0498	10735188.0	47674.0	0.0	144996.0
COPE-0499	30393768.0	90206.0	0.0	174826.0
COPE-0500	1307870.0	3436.0	0.0	8992.0
COPE-0501	1564406.0	3912.0	0.0	10092.0
COPE-0502	47238.0	122.0	0.0	772.0
COPE-0503	1675838.0	7234.0	0.0	14302.0
COPE-0504	4688136.0	12262.0	0.0	51006.0
COPE-0505	5103548.0	13202.0	0.0	43388.0
COPE-0506	1945924.0	6568.0	0.0	20586.0
COPE-0507	5407502.0	17476.0	0.0	51010.0
COPE-0508	10648596.0	47792.0	0.0	99358.0
COPE-0509	1040260.0	2730.0	0.0	9764.0
COPE-0510	6515080.0	16660.0	0.0	54410.0
COPE-0511	2832204.0	9550.0	0.0	33304.0
COPE-0512	3618416.0	23828.0	0.0	33192.0
COPE-0513	7468.0	192.0	0.0	166.0
COPE-0514	6922950.0	21416.0	0.0	61562.0
COPE-0515	2867060.0	11164.0	0.0	26910.0
COPE-0516	1164.0	50.0	0.0	36.0
COPE-0517	6261460.0	17868.0	0.0	59632.0
COPE-0518	745052.0	2710.0	0.0	5458.0
COPE-0519	1463516.0	3576.0	0.0	15188.0
COPE-0520	566564.0	1288.0	0.0	4194.0
COPE-0521	2294686.0	9612.0	0.0	19064.0
COPE-0522	6199522.0	22032.0	0.0	54914.0
COPE-0523	580432.0	2272.0	0.0	12206.0
COPE-0524	857036.0	3490.0	0.0	7714.0
COPE-0525	7119762.0	20632.0	0.0	63604.0
COPE-0526	2272318.0	4476.0	0.0	11386.0
COPE-0527	739030.0	2564.0	0.0	13016.0
COPE-0528	4921096.0	16400.0	0.0	45238.0
COPE-0529	8838780.0	27468.0	0.0	68648.0
COPE-0530	5399266.0	28474.0	0.0	61746.0
COPE-0531	3585018.0	13238.0	0.0	22428.0
COPE-0532	1338448.0	4148.0	0.0	10002.0
COPE-0533	720.0	22.0	0.0	16.0
COPE-0534	3964712.0	14570.0	0.0	37224.0
COPE-0535	2489058.0	8780.0	0.0	18820.0
COPE-0536	1017094.0	2932.0	0.0	10746.0
COPE-0537	2623138.0	9806.0	0.0	15802.0
COPE-0538	2754044.0	11630.0	0.0	30148.0
COPE-0539	1828068.0	6804.0	0.0	16844.0
COPE-0540	949816.0	5042.0	0.0	7336.0
COPE-0541	895246.0	3398.0	0.0	6932.0
COPE-0542	1601184.0	5242.0	0.0	13626.0
COPE-0543	6356162.0	18002.0	0.0	63334.0
COPE-0544	1144250.0	2506.0	0.0	8560.0
COPE-0545	1206138.0	4458.0	0.0	12032.0
COPE-0546	2317844.0	9492.0	0.0	23084.0
COPE-0547	2326730.0	6162.0	0.0	18720.0
COPE-0548	785524.0	2890.0	0.0	6524.0
COPE-0549	401982.0	1478.0	0.0	4320.0
COPE-0550	1160984.0	3460.0	0.0	10994.0
COPE-0551	3292482.0	19768.0	0.0	65898.0
COPE-0552	1485158.0	5154.0	0.0	14462.0
COPE-0553	331736.0	1378.0	0.0	45520.0
COPE-0554	690120.0	3262.0	0.0	5808.0
COPE-0555	4260236.0	14144.0	0.0	38910.0
COPE-0556	9817212.0	32688.0	0.0	86510.0
COPE-0557	2906760.0	8308.0	0.0	27644.0
COPE-0558	1154070.0	4584.0	0.0	11090.0
COPE-0559	2078578.0	6732.0	0.0	17134.0
COPE-0560	8968018.0	26536.0	0.0	72638.0
COPE-0561	3025550.0	11698.0	0.0	33000.0
COPE-0562	41660.0	94.0	0.0	608.0
COPE-0563	2551344.0	8582.0	0.0	21282.0
COPE-0564	1588.0	18.0	0.0	12.0
COPE-0565	21910100.0	65906.0	0.0	301648.0
COPE-0566	3579694.0	7576.0	0.0	19854.0
COPE-0567	4017586.0	9384.0	0.0	40742.0
COPE-0568	207892.0	702.0	0.0	1870.0
COPE-0569	1282028.0	3946.0	0.0	11508.0
