file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/Blank-1.r1.fq.gz,Blank-1,355593
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/Blank-2.r1.fq.gz,Blank-2,567552
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0469.r1.fq.gz,COPE-0469,520838
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0470.r1.fq.gz,COPE-0470,2701972
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0471.r1.fq.gz,COPE-0471,1908557
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0472.r1.fq.gz,COPE-0472,398462
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0473.r1.fq.gz,COPE-0473,417803
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0474.r1.fq.gz,COPE-0474,6261061
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0475.r1.fq.gz,COPE-0475,5714683
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0476.r1.fq.gz,COPE-0476,7084502
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0477.r1.fq.gz,COPE-0477,841499
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0478.r1.fq.gz,COPE-0478,926946
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0479.r1.fq.gz,COPE-0479,1742340
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0480.r1.fq.gz,COPE-0480,239508
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0481.r1.fq.gz,COPE-0481,3982027
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0482.r1.fq.gz,COPE-0482,4780684
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0483.r1.fq.gz,COPE-0483,2507479
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0484.r1.fq.gz,COPE-0484,1553751
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0485.r1.fq.gz,COPE-0485,639589
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0486.r1.fq.gz,COPE-0486,959570
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0487.r1.fq.gz,COPE-0487,745734
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0488.r1.fq.gz,COPE-0488,1976509
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0489.r1.fq.gz,COPE-0489,132331
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0490.r1.fq.gz,COPE-0490,43368
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0491.r1.fq.gz,COPE-0491,2728423
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0492.r1.fq.gz,COPE-0492,1547393
