Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145
Blank-1.r1r2_fastp	0.000865833	0.00490639	0.0704211	0.274758	99.73649999999999	18.691	42.464800000000004	39.527	36.4533	42.4844	37.925799999999995	35.823899999999995	37.4164	34.361799999999995	35.425000000000004	33.534000000000006	39.1738	41.209	39.048500000000004	36.558099999999996	37.9264	37.7529	35.3883	33.3643	37.2672	36.9864	38.4773	37.1841	39.001799999999996	39.3743	34.246300000000005	35.865399999999994	33.2809	34.2983	39.0271	36.3116	38.5492	37.0611	38.1394	36.7953	36.379400000000004	37.8386	35.815799999999996	39.2064	37.793	38.156400000000005	37.8329	37.9076	38.2147	39.405499999999996	40.6541	36.237700000000004	38.8205	37.648199999999996	38.0291	36.5304	37.0268	40.5949	35.159800000000004	38.6921	36.8911	36.237399999999994	35.5961	39.1602	36.8138	34.4472	36.5073	36.140699999999995	37.5143	37.1226	36.6109	35.4761	36.9191	36.5379	36.2585	38.37	37.5148	39.3484	38.3172	40.6148	37.3197	36.6297	37.458000000000006	35.022999999999996	36.8349	37.9977	37.8589	39.0525	38.5504	38.002900000000004	37.0741	39.116299999999995	35.097699999999996	37.763600000000004	35.7858	35.4876	37.803399999999996	36.565	38.9123	37.3867	36.521100000000004	37.5454	38.084	35.7023	38.4231	38.6719	39.7406	37.2796	37.7919	37.2106	36.7445	36.6773	38.475300000000004	38.4329	36.2923	36.9232	38.144600000000004	37.8092	37.277300000000004	37.5041	37.296099999999996	36.4213	36.6123	37.8216	37.364999999999995	36.384	38.0912	35.0475	37.5368	37.4482	37.1194	37.5492	36.8051	38.9593	39.108	36.7027	37.6695	37.46	36.998799999999996	36.134699999999995	37.628699999999995	37.4624	36.790299999999995	38.8745	37.140299999999996
Blank-2.r1r2_fastp	0.0009000950000000001	0.00486051	0.057066	0.25310699999999997	99.7663	18.799	42.7381	40.6393	36.115399999999994	41.626999999999995	38.5732	35.9462	35.7289	34.595	34.9829	34.0682	38.1318	38.6947	40.2089	36.2544	36.4668	38.6803	36.1971	35.1271	37.2466	37.501	35.7284	38.114	38.4683	38.9854	35.993700000000004	37.4998	34.1309	35.4726	37.967099999999995	38.6065	38.6213	38.6753	39.1957	37.3361	37.4297	36.810500000000005	34.371	38.5034	38.121500000000005	39.8204	37.0774	38.182700000000004	37.7593	38.5503	40.3329	37.3197	37.1874	37.9757	36.8612	38.7687	36.0821	40.1352	36.294900000000005	38.4191	36.5962	36.0297	36.667300000000004	37.6877	35.8387	35.1593	35.0452	35.6565	38.433299999999996	37.1831	36.0877	37.0729	36.2459	37.9233	37.8092	37.750699999999995	35.8312	39.3523	38.4112	39.7891	37.989	37.977	37.5255	36.6385	34.674899999999994	39.3307	37.9262	37.9554	39.2305	39.306999999999995	37.0085	40.9388	37.222	37.6151	35.0871	36.9023	37.2438	36.9566	39.4963	37.0349	37.0628	39.663	38.292	35.8684	37.8547	38.9197	37.8614	37.0808	36.918099999999995	37.3935	36.7556	37.4058	37.9305	37.5653	36.7592	37.887	37.1449	36.460300000000004	37.839800000000004	37.9097	38.2263	37.1284	37.3284	38.4735	39.3844	37.5062	38.0963	36.784499999999994	38.3116	37.595299999999995	38.2884	37.270399999999995	37.9484	39.1404	39.638600000000004	35.8981	37.762	37.8169	36.9844	37.920300000000005	36.9697	38.3928	37.1822	37.3923	38.1205
COPE-0469.r1r2_fastp	0.0011752	0.0052884099999999995	0.0430908	0.540593	99.52459999999999	20.18	45.348	41.281	41.022	41.0933	39.032	35.9465	36.0505	34.855000000000004	35.4898	35.017700000000005	38.314	42.6072	39.2592	36.561	37.7136	40.751	38.7353	39.7607	37.7097	42.3578	36.0022	43.073899999999995	41.2046	42.988	39.9779	38.8185	38.4262	39.980399999999996	41.618100000000005	39.2007	41.6451	41.2216	38.73	39.881499999999996	37.823499999999996	41.4005	36.1389	38.807199999999995	40.0413	38.4115	40.9474	38.9116	41.3803	39.5372	43.3094	37.9459	37.6032	42.8512	39.4381	42.0411	39.236900000000006	39.6169	37.5113	43.327	36.4182	38.9031	40.084399999999995	40.490500000000004	37.7201	38.9253	38.9972	35.9454	38.4346	38.5431	36.6989	36.6902	37.6359	36.769200000000005	41.3009	41.4122	40.5441	39.2957	41.9657	39.9642	37.5291	38.6848	37.165	40.4254	38.0674	39.6847	42.6859	41.0058	42.6804	38.0	41.5665	42.6538	37.913999999999994	40.6362	37.6933	41.7926	37.1063	36.8961	42.829299999999996	39.7154	40.264	41.581	41.747099999999996	37.5509	40.1436	42.5933	38.7139	37.9765	39.0753	40.768	37.221	39.6633	39.0453	36.7545	41.4181	42.4713	38.1161	38.616	41.2369	41.7992	37.458999999999996	37.7887	42.023700000000005	41.1938	41.795300000000005	41.5951	43.045899999999996	41.8948	37.619	39.597500000000004	40.8107	40.8391	36.3737	42.883900000000004	39.4486	40.3067	38.4957	41.2281	40.6914	42.4908	42.6636	41.9109	38.9343	41.2293	39.2672
COPE-0470.r1r2_fastp	0.0007938919999999999	0.00438531	0.0288069	0.329503	99.7074	18.5412	44.3082	39.853	37.8756	42.7424	38.7397	35.9287	36.2382	35.6132	36.0417	34.804899999999996	39.8827	41.0341	39.9178	37.6032	37.8471	39.4551	37.505	36.397600000000004	38.0737	39.0511	36.932500000000005	40.1676	39.6213	40.0987	37.764900000000004	38.4176	35.821999999999996	37.124	38.4723	38.8506	38.6494	38.664100000000005	40.637499999999996	38.3388	37.6599	38.0165	36.398	39.8969	38.9114	39.736	38.7465	39.7556	39.2333	40.1205	41.43	37.4035	38.3463	39.7338	38.501200000000004	40.7166	36.8438	39.9793	37.186	40.3441	38.2442	37.5955	37.857	38.9346	38.0767	37.188	36.3089	37.1469	39.265899999999995	37.611	37.3089	37.0967	37.321799999999996	37.6388	38.502900000000004	39.8789	38.1496	40.0627	40.2493	40.5948	38.4978	38.7759	37.5654	38.214	36.8145	40.4636	39.836	39.3729	40.2765	39.1895	39.4584	40.2134	37.5188	38.6216	36.903200000000005	38.3519	36.9342	38.609300000000005	41.2134	38.0768	37.3951	40.207	39.2261	36.4696	39.321	40.7445	39.8467	39.184000000000005	37.726	38.6256	38.3003	38.4228	38.6088	38.273	38.72	39.7924	38.1098	37.919799999999995	39.2482	40.4736	39.143499999999996	38.080799999999996	39.8871	39.9705	39.9252	39.3088	40.0888	37.8126	37.7081	38.7749	39.1124	39.5542	37.6565	41.0614	39.5641	37.9475	39.7497	38.722	38.0648	39.3116	39.9987	40.1838	39.0619	39.6945	39.6391
COPE-0471.r1r2_fastp	0.0007463470000000001	0.004264840000000001	0.039343199999999995	0.26074200000000003	99.7936	22.5	44.007000000000005	41.378	41.2222	40.768	37.5258	36.7587	35.6422	34.6285	35.2293	34.1532	37.864599999999996	42.6159	41.0225	38.0815	36.8877	40.0893	37.744	37.629200000000004	38.3559	41.2063	35.467	40.0384	39.954499999999996	43.0392	40.8953	39.1768	39.5798	39.9063	41.9079	39.278200000000005	41.707899999999995	40.246900000000004	38.1324	39.0996	36.1155	41.2055	35.4787	38.2612	39.9589	38.1889	40.7582	39.725300000000004	40.3448	40.3358	41.3352	38.7913	36.3671	42.6443	38.9699	40.3378	38.3267	38.8263	37.2537	43.1979	37.4202	38.9567	39.323	40.5718	36.4259	37.2521	37.8679	36.9257	37.421	39.2802	34.9243	35.5204	38.8204	36.3678	40.339000000000006	40.281	39.3585	39.5182	41.4827	41.0041	36.5981	37.198100000000004	36.917	38.4713	37.7168	39.8706	42.4954	39.6371	42.8807	38.1539	41.8189	41.323100000000004	38.6779	39.2637	37.7446	41.647099999999995	36.1929	36.7898	41.5823	40.0526	38.973600000000005	41.6492	41.550399999999996	36.7401	38.9998	41.6591	38.038	37.4973	39.2123	39.497	37.3317	38.485200000000006	40.1965	36.125800000000005	40.6179	42.6981	38.5941	39.346399999999996	39.3147	41.0289	37.2551	37.123400000000004	40.780699999999996	41.9975	40.6149	40.2678	42.6565	40.8175	37.562	39.4068	39.5895	40.8739	36.108200000000004	40.6842	38.0791	38.4069	38.1994	41.871700000000004	39.4063	42.747099999999996	42.8709	41.092800000000004	39.366800000000005	40.145399999999995	38.5754
COPE-0472.r1r2_fastp	0.0007904410000000001	0.0036887200000000004	0.0600735	0.823639	99.33340000000001	23.5536	45.3278	44.8849	40.372	42.8848	45.0728	38.4568	39.610299999999995	39.0059	39.1155	41.403800000000004	43.2545	41.9137	41.129	40.68	42.4377	40.8806	39.0188	41.403	40.455600000000004	41.9242	41.712900000000005	44.7756	42.2051	44.8006	40.0219	40.9472	40.0843	39.0602	41.3195	44.5756	41.863299999999995	42.6696	42.6272	41.675200000000004	42.4907	43.5306	40.9443	44.4259	41.4007	43.498	41.4678	41.2684	45.0754	44.465700000000005	45.8187	41.729699999999994	42.8113	44.1385	39.8145	43.9314	41.2204	43.3718	42.4767	45.4311	40.299600000000005	44.3158	42.325	44.1656	45.7412	42.052800000000005	42.2246	39.0905	45.6899	42.046499999999995	42.0225	43.745400000000004	41.1614	41.838300000000004	43.2102	43.6265	42.4527	43.9045	41.5066	44.539	42.0109	44.281	45.8377	43.6039	40.7997	42.6106	44.719500000000004	43.6579	44.2204	43.7891	42.1903	43.2582	43.0769	41.131099999999996	44.8262	43.137	42.9942	42.3834	43.7014	46.4323	43.162	43.0319	44.5	44.4805	43.0316	45.034600000000005	44.7653	44.0758	45.319700000000005	42.2522	41.681000000000004	42.6074	44.8907	42.9502	44.5168	43.992	45.0427	45.6408	43.9991	45.7494	44.0829	44.1258	45.163199999999996	43.152	44.592999999999996	46.128	45.7086	42.1429	43.9285	43.2914	46.332699999999996	43.7888	41.821999999999996	46.4068	47.4294	44.5432	44.759	43.8534	43.6524	45.5002	45.2278	44.6817	45.4233	43.5096	45.5299
COPE-0473.r1r2_fastp	0.00149113	0.00521896	0.07704180000000001	0.391919	99.65650000000001	22.7693	43.1817	42.5062	39.2868	42.932199999999995	40.516799999999996	37.248999999999995	38.4381	38.4108	38.883	36.9768	40.608	40.664899999999996	41.4005	38.9061	39.5605	38.7239	37.2176	38.7637	39.2759	39.7692	38.6305	40.2742	39.7575	41.5471	38.9434	39.7113	38.3966	38.6516	40.203100000000006	40.9738	39.4051	39.8609	40.6502	38.423	38.8107	40.3406	39.042	40.7424	39.6594	39.835300000000004	38.5932	40.5364	40.3948	40.8389	41.8844	39.6798	39.466	41.105000000000004	38.044200000000004	40.935300000000005	37.8079	40.6294	39.2312	41.569	38.8914	40.1972	38.9148	40.050799999999995	39.9576	38.357400000000005	38.2933	38.3691	40.822199999999995	40.4402	39.0786	39.135999999999996	39.2528	39.715	40.4261	39.2901	39.127	41.5407	40.1693	41.7179	39.0657	40.3038	39.6209	39.043299999999995	37.5753	41.3545	41.2243	39.9606	40.6977	40.482	39.748099999999994	40.062	40.260600000000004	38.6166	39.5229	39.7983	39.5396	40.1119	42.0767	41.0538	40.257799999999996	40.746700000000004	40.7815	39.8823	39.267	41.477799999999995	40.7397	40.305	41.414699999999996	40.1733	40.3396	38.7565	41.528999999999996	38.806400000000004	39.792300000000004	40.8046	40.5051	40.5113	40.147	40.5424	41.02	40.464099999999995	40.618700000000004	39.9611	40.725	40.4797	41.2328	39.8239	40.7211	40.807300000000005	40.5523	40.657399999999996	39.3415	40.550799999999995	41.499399999999994	38.5067	40.7218	40.4601	40.1564	40.9169	41.7024	41.1107	41.975699999999996	40.346900000000005	41.6136
COPE-0474.r1r2_fastp	0.000406618	0.00255356	0.0189159	0.21676	99.8258	26.0051	41.0219	43.5631	42.2795	44.1184	41.6156	35.4267	39.094899999999996	35.462700000000005	39.9031	36.991800000000005	38.536	44.058	44.224000000000004	37.6027	41.9117	41.9738	37.8534	38.1398	39.679700000000004	37.336000000000006	37.9358	42.0125	41.424	39.045	36.0109	41.3132	35.9052	36.6264	39.711	39.2396	37.742399999999996	41.5761	39.8029	38.0195	37.8718	38.906400000000005	38.4521	41.0161	39.0052	40.568599999999996	38.7483	39.603	40.2352	42.403400000000005	45.5665	38.2232	40.7828	43.018	36.3823	40.4729	36.7407	42.904599999999995	37.7578	41.186	40.9321	38.8228	41.6975	43.8823	39.5653	40.4937	36.5692	37.721900000000005	40.048899999999996	37.6778	36.729	38.9337	40.7222	40.2032	42.1635	41.391099999999994	40.523199999999996	42.6412	41.6009	41.7613	42.4523	40.1216	40.892	37.4414	38.187599999999996	41.4073	39.4536	39.8083	43.8503	37.9193	38.2809	42.2398	40.9084	41.971599999999995	38.4296	40.7572	40.062999999999995	41.325	37.5	40.9655	39.5529	40.9454	41.3703	39.671099999999996	38.8515	43.7617	43.939699999999995	43.762	41.2979	38.6708	42.2598	42.4448	43.644800000000004	38.704100000000004	39.895399999999995	39.787800000000004	40.3106	38.662400000000005	41.734100000000005	40.9395	41.1081	38.8793	41.0619	39.3861	39.8698	39.4835	40.8266	39.0933	42.0135	43.4017	39.0778	41.7113	38.7106	40.6482	43.0072	38.9172	42.1676	40.4311	38.2708	40.6941	41.844	43.9597	44.6731	39.7272	42.356899999999996
COPE-0475.r1r2_fastp	0.000767471	0.0034446999999999998	0.0370349	0.263957	99.7934	26.136	40.474700000000006	43.8007	43.2596	44.2242	40.6404	35.531	38.8631	36.431000000000004	39.2556	35.52	38.2117	44.6467	44.0182	38.7776	43.053799999999995	41.9908	37.3639	37.5558	39.8526	36.489	37.8983	41.5962	41.038000000000004	38.955	36.0308	42.4101	34.9424	37.0676	39.699	37.7119	37.3849	40.717	40.665600000000005	38.488099999999996	38.7206	38.671	37.6764	39.8766	39.1487	40.455200000000005	38.4913	39.8361	38.8337	42.5536	46.2081	37.2235	41.0065	42.3576	36.2926	41.116200000000006	35.661500000000004	42.5938	36.2002	41.6785	40.1195	37.899899999999995	41.2115	42.506699999999995	39.2208	39.813500000000005	35.878	36.5771	40.0408	36.1684	36.912800000000004	38.4161	41.159400000000005	38.268299999999996	40.3397	42.459599999999995	40.863699999999994	43.195699999999995	41.362500000000004	42.0798	43.329499999999996	40.114	39.6943	36.7277	37.9434	40.369699999999995	39.192	39.7457	43.3075	37.417899999999996	38.5936	41.4587	39.6962	43.0426	37.8849	40.096199999999996	41.178799999999995	41.2233	36.878499999999995	40.519800000000004	38.485	40.407	41.285	38.1295	38.856	43.967800000000004	43.7736	42.9422	39.7846	38.968199999999996	41.172799999999995	41.497499999999995	43.2599	38.257999999999996	39.1303	37.9266	40.2289	37.5261	39.903800000000004	40.408500000000004	40.2701	38.2206	41.4694	38.789	38.1361	39.7055	40.368300000000005	38.7753	41.4043	42.8288	37.7312	39.8521	38.5642	39.5724	42.666399999999996	38.5715	41.383399999999995	40.218399999999995	37.3853	39.1125	41.6111	42.8153	44.5693	40.251799999999996	42.0276
COPE-0476.r1r2_fastp	0.000721749	0.00438823	0.0414717	0.49792	99.5609	16.7866	42.9275	38.9109	31.8631	42.9131	34.984	35.4689	34.5872	30.212699999999998	31.4656	32.4718	36.8172	35.227399999999996	37.2295	34.5375	32.8098	35.1375	32.5472	31.4249	36.1985	34.5667	34.5598	34.3393	34.9932	36.0063	32.468	34.3199	31.0209	30.9035	34.8949	34.2316	36.1477	32.6236	36.3468	32.5393	34.471000000000004	31.083	31.55	37.1438	34.0067	37.086200000000005	32.9587	35.6698	34.6366	36.4691	36.8477	32.8422	31.643900000000002	31.986900000000002	33.9497	34.6959	32.6032	36.9422	31.890600000000003	35.7306	33.386300000000006	33.4991	33.791399999999996	33.6534	32.0576	32.155699999999996	32.8112	32.2141	34.421	33.7307	31.3405	31.9575	31.8317	32.9315	32.6219	31.9961	31.7788	36.0479	33.5148	37.951499999999996	33.6626	32.3861	33.1434	33.133	32.0563	36.4005	34.176899999999996	33.811600000000006	35.4695	37.986599999999996	33.8086	37.1295	32.5038	32.6445	30.7977	30.5763	32.6177	34.271499999999996	34.958600000000004	35.0637	31.971899999999998	33.7905	33.236399999999996	32.2761	33.1823	34.5936	34.4754	33.4291	34.7786	32.7525	32.326100000000004	33.3071	35.5197	34.1071	31.6554	34.0773	35.3694	33.269	34.934599999999996	36.003600000000006	33.1477	33.5335	33.2958	34.1715	35.518899999999995	32.4863	33.3384	31.829	32.2358	34.861599999999996	33.203500000000005	34.1821	34.5563	34.9988	34.8057	31.677300000000002	34.8422	33.1484	33.198299999999996	32.9619	33.4656	34.6254	32.595400000000005	32.8082	33.529399999999995
