Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145
Blank-1.r1r2_fastp	36.6846	36.1802	36.6001	36.6639	36.7801	36.6792	36.6079	36.5694	36.582	36.5683	36.5498	36.5363	36.525	36.5086	36.5184	36.5218	36.5252	36.5092	36.5338	36.5136	36.4856	36.4812	36.4792	36.4747	36.452	36.466	36.4609	36.468	36.4287	36.4688	36.436	36.4584	36.4624	36.4489	36.4332	36.4481	36.4117	36.421	36.4125	36.3837	36.4231	36.411	36.4025	36.411	36.4243	36.402	36.3755	36.4024	36.3985	36.3916	36.375	36.3676	36.3551	36.3694	36.3417	36.3496	36.3762	36.3523	36.3417	36.338	36.3515	36.3638	36.3286	36.3181	36.3173	36.323	36.2835	36.312	36.3343	36.325	36.3177	36.3263	36.3099	36.2928	36.2846	36.2745	36.2714	36.251	36.2353	36.2329	36.2271	36.2793	36.2551	36.2163	36.2249	36.2754	36.2373	36.2121	36.2486	36.2142	36.2229	36.2467	36.2316	36.1614	36.1886	36.1891	36.1938	36.2002	36.1864	36.1584	36.1458	36.1796	36.1865	36.1516	36.105	36.1182	36.097	36.1135	36.0708	36.0757	36.0837	36.119	36.1212	36.0731	36.0263	36.0405	36.0321	35.9633	36.0519	36.029	36.0358	36.0454	36.063	36.0519	36.0493	36.0107	36.017	36.0214	35.9439	35.9431	35.8854	35.9255	35.9328	35.8873	35.9264	35.9239	35.9085	35.8591	35.8088	35.8637	35.8319	35.8352	35.8295	35.9127	36.3945
Blank-2.r1r2_fastp	36.7186	36.1361	36.5688	36.6342	36.7621	36.6297	36.5718	36.5369	36.54	36.5237	36.5087	36.51	36.4801	36.4726	36.4728	36.486	36.4697	36.471	36.4929	36.4761	36.4525	36.4456	36.4502	36.4623	36.4284	36.4272	36.4298	36.4059	36.4061	36.4234	36.408	36.4189	36.4152	36.4038	36.4027	36.4014	36.3976	36.3907	36.3743	36.3527	36.3868	36.3916	36.3699	36.3749	36.3933	36.3768	36.3655	36.3855	36.3742	36.359	36.3513	36.3587	36.3328	36.3565	36.2971	36.3305	36.3441	36.3264	36.3017	36.3139	36.3201	36.3033	36.329	36.2974	36.2816	36.2957	36.2857	36.2862	36.2979	36.2833	36.2891	36.2992	36.2693	36.2757	36.2743	36.2566	36.2473	36.2324	36.183	36.2083	36.2014	36.2467	36.2173	36.1945	36.2065	36.2334	36.2403	36.2177	36.2378	36.2192	36.2046	36.2188	36.2231	36.1451	36.1744	36.187	36.1783	36.1747	36.1718	36.1563	36.1138	36.1509	36.1714	36.1314	36.0745	36.0918	36.0945	36.0931	36.0959	36.0892	36.0773	36.101	36.1321	36.0751	36.021	36.0422	36.0092	35.9763	36.0386	36.0537	36.0128	36.0381	36.0405	36.0242	36.0411	36.004	35.9646	36.0135	35.9746	35.9383	35.8977	35.927	35.8745	35.9212	35.9549	35.939	35.9504	35.9017	35.8383	35.9097	35.8724	35.8295	35.7922	35.8845	36.3993
COPE-0469.r1r2_fastp	36.5022	36.6708	36.4865	36.6368	36.7722	36.6655	36.5986	36.5656	36.5695	36.5579	36.5418	36.5529	36.5223	36.52	36.5275	36.5413	36.5191	36.5255	36.5383	36.5096	36.48	36.4659	36.4782	36.4964	36.4839	36.4613	36.4237	36.4384	36.4425	36.4537	36.4354	36.4337	36.4469	36.4359	36.448	36.4534	36.436	36.4117	36.4266	36.3573	36.4359	36.4266	36.423	36.4092	36.4333	36.4348	36.3969	36.4119	36.4331	36.4221	36.4057	36.3952	36.3884	36.3502	36.3455	36.367	36.3881	36.3503	36.326	36.3403	36.3449	36.3654	36.3677	36.3214	36.3081	36.3195	36.3288	36.3107	36.3097	36.2861	36.3109	36.3194	36.3131	36.3095	36.3214	36.3052	36.2978	36.2744	36.2342	36.2583	36.1518	36.2746	36.2716	36.2336	36.2249	36.2747	36.2658	36.2636	36.2793	36.273	36.2498	36.2746	36.2645	36.1904	36.2132	36.2174	36.2332	36.2263	36.2201	36.1955	36.1471	36.17	36.2301	36.1756	36.1458	36.118	36.1308	35.9915	36.1335	36.1314	36.1411	36.165	36.1724	36.0646	36.0715	36.0807	36.066	36.0557	36.0906	36.089	36.0973	35.9785	36.0862	36.0754	36.0958	36.0688	36.0475	36.0997	36.0251	35.9967	35.941	35.8874	35.8355	35.9599	36.0004	36.0248	35.9945	35.9806	35.9475	36.0087	35.9268	35.8918	35.7982	35.995	36.433
COPE-0470.r1r2_fastp	36.6634	36.5759	36.4655	36.5913	36.7224	36.6082	36.5508	36.5271	36.5269	36.5115	36.4867	36.4975	36.4652	36.4661	36.4662	36.4812	36.4521	36.4574	36.4762	36.4549	36.4301	36.4332	36.4372	36.4482	36.4205	36.4162	36.3966	36.4033	36.3933	36.4071	36.3817	36.3974	36.4015	36.3887	36.3829	36.3865	36.3756	36.3782	36.3724	36.3381	36.3697	36.3653	36.377	36.3657	36.3865	36.3823	36.3442	36.361	36.3724	36.3524	36.3498	36.331	36.3327	36.3372	36.2973	36.3165	36.3363	36.3141	36.292	36.3074	36.3053	36.3043	36.3156	36.2958	36.2781	36.2785	36.2883	36.2759	36.2948	36.2706	36.2787	36.2925	36.2774	36.2777	36.2703	36.2621	36.2558	36.2178	36.1914	36.2058	36.1783	36.2407	36.2096	36.1812	36.1808	36.2292	36.216	36.2165	36.2293	36.2205	36.2043	36.2348	36.2087	36.1382	36.1789	36.1762	36.1922	36.1805	36.1949	36.1616	36.1044	36.1449	36.1767	36.1214	36.0947	36.0914	36.083	36.0693	36.0954	36.0724	36.0761	36.098	36.1096	36.0615	36.0241	36.0319	36.0164	35.9769	36.0567	36.0534	36.0325	36.0142	36.0322	36.0173	36.0457	36.0113	35.988	36.0351	35.9486	35.9272	35.9121	35.9159	35.8689	35.9299	35.9561	35.9628	35.9562	35.9227	35.8664	35.9415	35.8926	35.8347	35.7838	35.8991	36.4208
COPE-0471.r1r2_fastp	36.7404	36.222	36.596	36.647	36.7604	36.6542	36.5894	36.5694	36.5772	36.5626	36.5527	36.5639	36.5372	36.53	36.5277	36.5416	36.5198	36.5144	36.532	36.5247	36.4926	36.477	36.4869	36.5017	36.487	36.4488	36.3809	36.4025	36.44	36.4694	36.4557	36.463	36.4588	36.4454	36.449	36.4484	36.4318	36.3961	36.4069	36.3731	36.4297	36.4392	36.4337	36.42	36.4338	36.4298	36.4117	36.4283	36.4389	36.4305	36.4108	36.4122	36.4034	36.3898	36.3663	36.3706	36.4032	36.3638	36.3461	36.3678	36.3682	36.3675	36.381	36.352	36.3318	36.3463	36.3482	36.343	36.3317	36.3223	36.3435	36.3467	36.3354	36.3361	36.3336	36.3187	36.307	36.3136	36.2847	36.2694	36.1998	36.2977	36.2871	36.2547	36.2498	36.3079	36.2964	36.2687	36.2975	36.2929	36.2834	36.3002	36.2767	36.2444	36.2479	36.2697	36.2858	36.2502	36.255	36.2357	36.2129	36.2117	36.2515	36.2242	36.1796	36.1712	36.1817	36.0676	36.1616	36.1637	36.1818	36.1993	36.2177	36.1127	36.122	36.1215	36.0968	36.0795	36.1038	36.119	36.1301	36.0583	36.1522	36.1189	36.1328	36.0939	36.0851	36.1228	36.0412	36.039	35.9344	35.8844	35.9255	35.9932	36.0019	36.0269	36.0212	36.0097	35.9742	36.0258	35.9866	35.9784	35.8903	36.029	36.4314
COPE-0472.r1r2_fastp	36.2808	36.1221	36.523	36.634	36.7227	36.5795	36.544	36.5092	36.5035	36.5163	36.4451	36.5048	36.465	36.4454	36.4402	36.476	36.444	36.4862	36.4662	36.4819	36.4448	36.4346	36.4559	36.4401	36.414	36.4222	36.3877	36.4031	36.3834	36.4092	36.3442	36.3678	36.356	36.3139	36.332	36.3566	36.3674	36.323	36.3255	36.2131	36.3309	36.3375	36.3224	36.3403	36.362	36.3537	36.3132	36.3462	36.3477	36.3338	36.3213	36.2712	36.2967	36.2925	36.2756	36.3027	36.3195	36.2969	36.2355	36.283	36.2758	36.2785	36.2848	36.2482	36.2385	36.2694	36.2276	36.2627	36.2416	36.2535	36.2332	36.2615	36.2299	36.2492	36.2196	36.2513	36.2282	36.2212	36.2056	36.2296	36.1285	36.2219	36.2009	36.1553	36.1827	36.2125	36.2296	36.2075	36.2293	36.2301	36.1626	36.2248	36.2087	36.1652	36.1652	36.1846	36.2155	36.1895	36.172	36.1416	36.1387	36.1793	36.1668	36.1691	36.1206	36.0631	36.102	36.0351	36.1278	36.092	36.0897	36.127	36.1817	36.0841	36.0705	36.0917	36.0731	36.0411	36.0973	36.0996	36.0681	36.0126	36.1174	36.0697	36.08	36.0415	36.0778	36.0984	36.0188	35.995	35.9708	35.9986	35.8782	35.9833	36.0342	36.0436	36.0047	36.0172	35.939	36.0337	35.9256	35.9218	35.902	36.0033	36.4935
COPE-0473.r1r2_fastp	36.5535	36.688	36.5692	36.6626	36.7865	36.6554	36.5933	36.5537	36.5635	36.5451	36.5367	36.54	36.5125	36.5083	36.5099	36.5336	36.5033	36.4979	36.5192	36.5113	36.4738	36.4792	36.4762	36.4828	36.4648	36.447	36.4179	36.4321	36.4385	36.4536	36.4367	36.43	36.4381	36.4266	36.4265	36.4304	36.4265	36.4127	36.4133	36.387	36.4243	36.424	36.4104	36.4224	36.4341	36.4417	36.399	36.4075	36.4136	36.4012	36.3985	36.3903	36.3868	36.3718	36.3467	36.3662	36.3818	36.3509	36.3245	36.3635	36.3532	36.3527	36.354	36.3428	36.3121	36.3329	36.3334	36.329	36.312	36.3143	36.3246	36.326	36.3099	36.3014	36.3076	36.3076	36.2907	36.2806	36.2476	36.2334	36.2093	36.2782	36.2588	36.2392	36.2382	36.2843	36.2786	36.2736	36.2793	36.271	36.2405	36.27	36.2489	36.2076	36.232	36.2423	36.2657	36.2247	36.2412	36.2144	36.1688	36.2082	36.229	36.2019	36.1579	36.1328	36.174	36.0857	36.1573	36.1423	36.1452	36.1683	36.1966	36.107	36.0736	36.0997	36.0742	36.0697	36.1161	36.1078	36.1085	36.053	36.1353	36.0901	36.1258	36.0862	36.0851	36.1163	36.0654	36.018	35.9631	35.9712	35.9386	35.9985	36.021	36.0323	36.04	36.0263	35.9619	36.0346	35.9964	35.9303	35.8696	36.0163	36.4589
COPE-0474.r1r2_fastp	36.7654	36.7133	36.533	36.6478	36.7321	36.6363	36.5695	36.5514	36.5559	36.5318	36.5062	36.5271	36.4965	36.512	36.4951	36.507	36.4982	36.4933	36.4989	36.5042	36.467	36.4622	36.4795	36.4715	36.4654	36.4607	36.4404	36.4257	36.4339	36.4352	36.4269	36.4331	36.4236	36.4102	36.4254	36.4302	36.4169	36.413	36.4099	36.3914	36.4306	36.418	36.4169	36.4171	36.4253	36.4121	36.3559	36.3712	36.4	36.3792	36.3767	36.3935	36.3625	36.3717	36.3628	36.3341	36.3756	36.3406	36.3336	36.3439	36.3344	36.3069	36.3395	36.3275	36.3044	36.309	36.3063	36.298	36.3217	36.2995	36.3033	36.3095	36.2899	36.3022	36.3075	36.279	36.2638	36.2564	36.2416	36.2411	36.233	36.2415	36.22	36.2091	36.2305	36.236	36.2248	36.2483	36.2288	36.2468	36.2489	36.2397	36.2072	36.1821	36.2167	36.2016	36.2286	36.2211	36.2016	36.1448	36.0995	36.1353	36.1455	36.1682	36.1318	36.0711	36.0781	36.1147	36.1316	36.0698	36.0479	36.0853	36.1306	36.0828	36.0299	36.0752	36.0734	36.0071	36.0305	36.0376	36.031	36.0845	36.0881	36.0923	36.0462	35.9921	36.0431	36.0648	36.0014	35.9665	35.9484	35.9951	35.9254	35.9513	35.9544	35.9215	35.9827	35.978	35.9017	35.9535	35.9409	35.831	35.8148	35.95	36.4503
COPE-0475.r1r2_fastp	36.7301	36.2713	36.5756	36.6447	36.7554	36.6469	36.5698	36.5595	36.5682	36.5329	36.5193	36.5335	36.5086	36.5259	36.5042	36.5197	36.5058	36.4982	36.5116	36.5118	36.4829	36.4767	36.4898	36.4851	36.478	36.473	36.4521	36.4456	36.4485	36.4547	36.4425	36.4506	36.4431	36.4198	36.4315	36.4402	36.4355	36.4289	36.4244	36.41	36.4463	36.4317	36.4195	36.4256	36.4346	36.4209	36.3628	36.3905	36.4139	36.3847	36.3821	36.3982	36.3723	36.3779	36.3723	36.3396	36.3812	36.3514	36.3333	36.3564	36.3569	36.3182	36.3566	36.3357	36.2975	36.2967	36.3253	36.3077	36.3263	36.2854	36.2909	36.3055	36.2909	36.3159	36.3216	36.2635	36.2747	36.2405	36.2209	36.2506	36.2363	36.2293	36.2445	36.2426	36.1877	36.223	36.2024	36.2657	36.2223	36.268	36.2483	36.2686	36.2445	36.1301	36.1957	36.1865	36.2203	36.2014	36.1944	36.1066	36.0512	36.1174	36.1629	36.1777	36.1334	36.0746	36.0748	36.1172	36.1394	36.0847	36.0975	36.1214	36.1364	36.1023	35.9999	36.0336	36.0409	36.0414	36.0949	36.1045	36.0422	36.0487	36.0537	36.0405	36.0904	36.0063	36.0114	36.0601	36.0364	35.9701	35.9442	35.9443	35.8451	35.9512	36.0152	35.9874	36.0154	36.0108	35.9446	35.9912	35.9504	35.7918	35.7193	35.8927	36.4535
COPE-0476.r1r2_fastp	36.5276	36.6042	36.5161	36.6435	36.7525	36.669	36.6085	36.6	36.5841	36.5758	36.5708	36.563	36.5366	36.5336	36.5282	36.5465	36.5145	36.5165	36.5234	36.5124	36.5035	36.4908	36.5059	36.5025	36.4673	36.4794	36.4705	36.454	36.4418	36.4629	36.4409	36.4502	36.4667	36.448	36.4286	36.424	36.4373	36.4351	36.4189	36.3927	36.4044	36.4052	36.4177	36.4338	36.4381	36.4136	36.3739	36.3787	36.3877	36.3907	36.378	36.3807	36.3694	36.3851	36.3376	36.3668	36.3633	36.3354	36.3382	36.3581	36.3438	36.3292	36.3445	36.309	36.3059	36.3117	36.3112	36.2992	36.321	36.3143	36.3084	36.3117	36.2812	36.2915	36.2835	36.2811	36.2669	36.2387	36.2072	36.2032	36.2077	36.2257	36.1941	36.1942	36.2121	36.2487	36.2144	36.1944	36.2066	36.1916	36.1853	36.2222	36.1805	36.118	36.1378	36.1487	36.1636	36.1576	36.1613	36.1421	36.1177	36.1546	36.1719	36.1245	36.0712	36.0698	36.0747	36.0976	36.0796	36.0436	36.0284	36.0773	36.0806	36.0248	35.9765	35.9743	35.9576	35.9406	35.9764	35.9858	35.9499	35.9808	36.0078	36.0027	35.9631	35.9399	35.922	35.9515	35.896	35.8737	35.8405	35.874	35.8274	35.8224	35.874	35.8613	35.848	35.8136	35.743	35.7918	35.7762	35.7514	35.7276	35.8052	36.3567
