Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Blank-1.r1r2_fastp	36.6547	36.7918	36.8195	36.2713	36.2616	36.0059	35.9751	35.8515	36.0472	36.0081	35.9751	36.0812	36.017	35.9041	36.0038	35.9654	35.8004	35.9222	36.0276	35.8424	35.856	35.8307	35.9543	36.0395	36.0801	36.0934	36.0422	35.9855	35.9727	35.975	35.9316	36.0065	35.959	35.9841	35.9704	35.9513	35.9632	35.918	35.9643	35.9726	35.9358	35.8748	35.8971	35.8985	35.8891	35.8421	35.8166	35.8008	35.8523	35.8189	35.7851	35.7396	35.7649	35.771	35.7376	35.7431	35.6875	35.7898	35.7082	35.6951	35.7157	35.632	35.6758	35.6801	35.6787	35.6646	35.6803	35.6695	35.6811	35.6951	35.6725	35.6211	35.7018	35.6248	35.6159	35.6246	35.5527	35.4795	35.5748	35.5528	35.4738	35.4904	35.4619	35.4778	35.5265	35.485	35.4886	35.4033	35.4465	35.4599	35.4228	35.4271	35.4607	35.4109	35.3866	35.3615	35.4022	35.4306	35.3416	35.2975	35.3485	35.3318	35.2165	35.3027	35.3142	35.3298	35.2843	35.2572	35.271	35.159	35.1761	35.1835	35.1592	35.1664	35.2299	35.1712	35.1454	35.1084	35.2123	35.1759	35.0563	34.9591	35.1395	35.0773	35.0859	35.1194	34.9069	34.8149	34.9953	35.0823	34.9723	34.8488	34.9606	34.9432	34.9132	34.8596	34.8353	34.8454	34.7279	34.8452	34.8616	34.9004	34.8697	34.8459	34.7162	34.6015	34.5895	34.7682	34.9038	35.9661
Blank-2.r1r2_fastp	36.7503	36.8175	36.8432	36.3425	36.3183	36.1081	36.0992	35.9352	36.1316	36.0452	36.0624	36.1769	36.0951	35.9993	36.111	36.0102	35.8711	36.059	36.1171	35.9423	35.9458	35.9577	36.0179	36.0914	36.1531	36.1711	36.1152	36.0529	36.0354	36.0493	36.0221	36.0512	36.0477	36.0413	36.0536	36.0413	36.038	36.0217	36.041	36.0083	35.9969	35.9646	35.9891	35.9652	35.9609	35.951	35.9422	35.8906	35.9259	35.8931	35.8908	35.8433	35.7993	35.8742	35.8291	35.8073	35.8258	35.8093	35.778	35.8029	35.8139	35.7223	35.7446	35.7242	35.7424	35.744	35.7467	35.7297	35.7488	35.754	35.7489	35.6854	35.7662	35.7363	35.6975	35.6625	35.6354	35.5314	35.608	35.6184	35.575	35.5841	35.532	35.5587	35.648	35.6187	35.593	35.513	35.5428	35.5747	35.5577	35.5526	35.5689	35.5288	35.5362	35.5242	35.5191	35.5357	35.459	35.3834	35.4244	35.4393	35.3526	35.372	35.4264	35.3922	35.4076	35.4044	35.3686	35.3485	35.3365	35.3363	35.3416	35.3593	35.3361	35.3161	35.2552	35.2734	35.3583	35.2663	35.17	35.0783	35.2294	35.2314	35.2776	35.2035	35.0479	34.9818	35.1175	35.2114	35.1168	35.0313	35.075	35.1047	35.0838	35.0449	35.0063	35.0201	34.8488	35.0017	35.0031	35.0287	35.0212	34.9958	34.8908	34.7702	34.8134	34.9441	35.0351	36.0334
COPE-0469.r1r2_fastp	36.7542	36.8223	36.8418	36.353	36.3494	36.1099	36.1503	35.9215	36.2254	36.1421	36.1417	36.1249	36.1453	36.0683	36.1374	36.1002	35.9922	36.1701	36.127	36.01	36.0344	36.0384	36.0951	36.1566	36.207	36.1792	36.2058	36.1587	36.126	36.1625	36.115	36.147	36.0996	36.1069	36.1489	36.0905	36.0824	36.0926	36.1403	36.1158	36.0949	36.0586	36.0494	36.0906	36.0495	36.0163	36.0237	36.0048	36.0044	35.9381	35.9681	35.921	35.9524	35.9417	35.8815	35.9067	35.8766	35.9183	35.864	35.9041	35.929	35.8966	35.8903	35.9062	35.9011	35.8834	35.8917	35.8715	35.9001	35.9157	35.8869	35.8629	35.8761	35.8912	35.832	35.7817	35.7744	35.6923	35.7872	35.7327	35.7536	35.728	35.7097	35.7019	35.7727	35.7499	35.7546	35.6732	35.7267	35.7373	35.6777	35.6787	35.7053	35.6786	35.6923	35.6707	35.6447	35.7056	35.6344	35.5353	35.5956	35.5761	35.4595	35.522	35.5981	35.5138	35.5962	35.5262	35.5223	35.474	35.497	35.5105	35.4506	35.4707	35.4697	35.4514	35.3861	35.4408	35.5015	35.3819	35.34	35.2533	35.4195	35.3616	35.4553	35.3289	35.1726	35.0895	35.3287	35.4052	35.271	35.1958	35.28	35.2966	35.2583	35.2681	35.187	35.2067	35.1161	35.1813	35.1471	35.2023	35.203	35.1978	35.0649	34.9415	35.0325	35.1442	35.2147	36.0987
COPE-0470.r1r2_fastp	36.746	36.8165	36.8387	36.3131	36.3014	36.07	36.0754	35.8983	36.1394	36.0394	36.0494	36.1482	36.0791	35.9696	36.1019	36.0103	35.8998	36.0539	36.0684	35.919	35.9445	35.9486	36.028	36.0874	36.1485	36.1609	36.1238	36.0783	36.0414	36.0494	36.0202	36.0708	36.0323	36.0353	36.0479	36.0161	36.0257	36.0168	36.0346	36.0154	36.0048	35.9576	35.9778	36.0027	35.9711	35.94	35.9516	35.9184	35.9365	35.8934	35.8681	35.8416	35.8263	35.8517	35.8117	35.8251	35.7981	35.8152	35.754	35.7857	35.81	35.77	35.7426	35.7615	35.7519	35.7701	35.7686	35.7771	35.7719	35.8104	35.7714	35.739	35.7696	35.7633	35.7233	35.6717	35.6448	35.5856	35.6885	35.6385	35.592	35.5694	35.5697	35.5924	35.6465	35.6559	35.6358	35.5433	35.5816	35.6028	35.5772	35.5807	35.5649	35.5481	35.5462	35.5238	35.5173	35.5749	35.4833	35.3765	35.4603	35.4413	35.3498	35.4148	35.4521	35.4192	35.4487	35.4243	35.3755	35.3575	35.3719	35.3682	35.3429	35.3378	35.337	35.3516	35.3095	35.3171	35.362	35.2995	35.1933	35.1222	35.2709	35.1958	35.3057	35.2234	35.0447	34.9581	35.1588	35.2447	35.1435	35.0136	35.1082	35.1084	35.1369	35.0972	35.0527	35.0396	34.9495	35.0301	35.0501	35.0757	35.0706	35.0586	34.9455	34.7962	34.8366	34.9968	35.0948	36.0454
COPE-0471.r1r2_fastp	36.7851	36.8381	36.8614	36.4621	36.4648	36.2061	36.2482	36.0795	36.3155	36.2617	36.2429	36.245	36.2556	36.1775	36.2371	36.1869	36.1236	36.2596	36.2378	36.1263	36.1432	36.1522	36.2073	36.2563	36.2762	36.2644	36.2874	36.2585	36.223	36.2576	36.2068	36.2167	36.195	36.2172	36.2346	36.1667	36.1694	36.1798	36.2256	36.2168	36.1964	36.16	36.1246	36.1853	36.1594	36.1247	36.1405	36.1263	36.1283	36.0974	36.1023	36.0494	36.0637	36.0657	36.0217	36.0509	36.0117	36.0401	35.9813	36.0362	36.0498	36.0218	36.0228	36.0066	36.016	36.0079	36.0107	36.0114	35.9983	36.0446	36.0026	35.9704	36.0017	36.0153	35.938	35.8911	35.9045	35.8168	35.9248	35.8795	35.8677	35.8684	35.8282	35.814	35.8942	35.8981	35.8783	35.8138	35.8577	35.8626	35.7859	35.7868	35.8125	35.8017	35.8052	35.8088	35.757	35.8557	35.7589	35.6746	35.7404	35.6942	35.5971	35.6649	35.7335	35.6792	35.747	35.6799	35.6531	35.6293	35.6616	35.6417	35.5679	35.5854	35.6175	35.618	35.5639	35.5565	35.628	35.565	35.4808	35.4238	35.577	35.5135	35.6117	35.5398	35.342	35.2382	35.4934	35.5641	35.4617	35.3786	35.4751	35.472	35.414	35.4403	35.3421	35.3822	35.2643	35.3809	35.3647	35.3762	35.3778	35.3798	35.2396	35.1274	35.2266	35.3358	35.3863	36.165
COPE-0472.r1r2_fastp	36.7673	36.8356	36.8567	36.4635	36.4493	36.2732	36.2574	36.1229	36.3708	36.2855	36.305	36.3126	36.289	36.2412	36.2526	36.2777	36.218	36.3121	36.2824	36.1993	36.2247	36.2091	36.2667	36.3074	36.3527	36.3459	36.3494	36.3302	36.2868	36.3022	36.2714	36.3115	36.2625	36.2628	36.2897	36.2684	36.2397	36.2631	36.2982	36.2973	36.2633	36.2406	36.2357	36.2589	36.2282	36.2195	36.2288	36.1668	36.1832	36.1156	36.1533	36.1094	36.1236	36.1256	36.0942	36.1397	36.1325	36.1092	36.0615	36.1206	36.1277	36.1234	36.0817	36.1002	36.1007	36.0923	36.1184	36.123	36.1167	36.118	36.1146	36.1003	36.1328	36.1459	36.0502	36.0161	35.9833	35.9653	36.0156	35.993	35.9887	35.948	35.9599	35.9799	35.9825	35.9896	35.9997	35.9484	35.9731	35.9462	35.9356	35.9431	35.9639	35.9274	35.9219	35.8999	35.9285	35.945	35.8683	35.8118	35.857	35.8251	35.7145	35.793	35.8556	35.7951	35.8345	35.8395	35.7471	35.7885	35.7888	35.7933	35.7517	35.7726	35.7704	35.7272	35.7284	35.7627	35.7782	35.6979	35.6432	35.6236	35.7955	35.7069	35.7531	35.7034	35.5382	35.4321	35.6499	35.7264	35.6043	35.5118	35.6029	35.6319	35.5832	35.5643	35.5004	35.5588	35.4699	35.5175	35.5552	35.5896	35.5446	35.5744	35.5195	35.3916	35.4204	35.5552	35.5838	36.2445
COPE-0473.r1r2_fastp	36.7736	36.8332	36.8559	36.489	36.4827	36.2693	36.2456	36.1228	36.351	36.3088	36.2636	36.301	36.2923	36.2112	36.2887	36.2297	36.151	36.2974	36.2663	36.1708	36.1772	36.1677	36.2479	36.2966	36.3577	36.3349	36.3222	36.298	36.2798	36.2965	36.2755	36.2817	36.251	36.2534	36.262	36.2255	36.2285	36.2381	36.2625	36.2601	36.2302	36.2085	36.2013	36.2288	36.2199	36.1792	36.1902	36.165	36.1719	36.1218	36.1364	36.1118	36.1117	36.1148	36.0711	36.0772	36.0625	36.0837	36.0597	36.0785	36.1055	36.086	36.0803	36.0624	36.0635	36.0778	36.0725	36.0896	36.085	36.0941	36.0685	36.0365	36.0564	36.0554	36.0139	35.9859	35.9827	35.9312	35.9978	35.9479	35.9463	35.9334	35.9196	35.9348	35.9589	35.9471	35.9327	35.8825	35.9302	35.9215	35.8711	35.8743	35.9025	35.8644	35.8831	35.8859	35.8582	35.8965	35.8583	35.7804	35.8235	35.807	35.705	35.779	35.8002	35.7789	35.793	35.7589	35.7429	35.724	35.7404	35.7292	35.6981	35.6952	35.6877	35.6846	35.6513	35.6916	35.7192	35.6662	35.5604	35.5653	35.6814	35.6254	35.6703	35.6213	35.4565	35.3928	35.5782	35.6611	35.5324	35.4588	35.5674	35.5623	35.5163	35.5122	35.443	35.4252	35.3452	35.4355	35.4385	35.4843	35.4698	35.4554	35.39	35.2776	35.3124	35.4408	35.4996	36.2101
COPE-0474.r1r2_fastp	36.7893	36.857	36.875	36.4939	36.4762	36.3138	36.3177	36.2711	36.3588	36.3412	36.3203	36.3759	36.3043	36.2834	36.3283	36.3406	36.2393	36.3319	36.3235	36.2484	36.2913	36.2637	36.2828	36.3343	36.3742	36.3694	36.3465	36.3243	36.3169	36.3229	36.3024	36.3126	36.2883	36.2974	36.301	36.2807	36.2802	36.2995	36.2882	36.2696	36.2511	36.2169	36.2691	36.2563	36.2469	36.2335	36.2578	36.2395	36.2118	36.2143	36.1124	36.1479	36.1495	36.1676	36.1369	36.1194	36.1622	36.1351	36.1015	36.1425	36.1651	36.1254	36.1401	36.1099	36.1353	36.1374	36.1205	36.1388	36.1317	36.1609	36.1196	36.0795	36.1129	36.0731	36.0756	36.0735	36.0416	36.0092	36.0522	36.06	35.9942	36.0056	35.9898	36.0319	36.02	36.0162	36.0128	35.9511	35.9858	35.9511	35.983	35.96	35.9968	35.9544	35.9279	35.9628	35.9638	35.9461	35.8663	35.8416	35.9114	35.9147	35.8451	35.8333	35.9234	35.881	35.8871	35.8694	35.8312	35.8367	35.8435	35.8568	35.8468	35.8245	35.801	35.8261	35.7569	35.7886	35.8066	35.7615	35.675	35.6619	35.7887	35.7528	35.7755	35.7233	35.5891	35.4887	35.6737	35.7719	35.6193	35.5487	35.6307	35.6199	35.641	35.5414	35.5851	35.5889	35.4988	35.5807	35.6243	35.5988	35.5939	35.5574	35.4931	35.4421	35.4513	35.5734	35.5891	36.2652
COPE-0475.r1r2_fastp	36.7626	36.8478	36.8689	36.4711	36.4613	36.2985	36.2981	36.2352	36.3332	36.309	36.2903	36.3598	36.2914	36.2398	36.2883	36.2995	36.1864	36.3073	36.2982	36.1965	36.2431	36.2152	36.253	36.2944	36.3487	36.3365	36.3109	36.2866	36.2794	36.2856	36.2684	36.2722	36.2572	36.2684	36.2706	36.2496	36.2409	36.2605	36.2457	36.2349	36.2206	36.1799	36.2267	36.2175	36.211	36.1885	36.2092	36.1981	36.1825	36.1755	36.0189	36.0986	36.1112	36.1263	36.1063	36.0732	36.126	36.0903	36.0674	36.0952	36.1195	36.081	36.0895	36.0818	36.0942	36.0867	36.0693	36.0906	36.0736	36.1119	36.0512	36.0148	36.052	36.0165	36.0143	36.0226	36.0017	35.9451	36.0038	36.0225	35.9417	35.9545	35.95	35.9732	35.9649	35.976	35.9656	35.8916	35.9326	35.8996	35.9101	35.8951	35.9331	35.9194	35.8855	35.8841	35.8939	35.8742	35.8068	35.7855	35.8649	35.8439	35.7822	35.7525	35.8598	35.8059	35.8243	35.8073	35.7659	35.7671	35.779	35.8082	35.7791	35.7675	35.7422	35.7659	35.7015	35.7198	35.7477	35.6978	35.6225	35.5693	35.7123	35.6823	35.7096	35.6564	35.5055	35.4059	35.6056	35.7209	35.5717	35.475	35.5628	35.5649	35.5795	35.4658	35.5003	35.5112	35.4321	35.5161	35.5441	35.5461	35.5238	35.4513	35.4046	35.361	35.3597	35.5119	35.5319	36.2478
COPE-0476.r1r2_fastp	36.7601	36.8249	36.8502	36.4534	36.3998	36.2667	36.2552	36.1472	36.2888	36.2228	36.1997	36.3108	36.223	36.1238	36.2446	36.1961	36.0483	36.1795	36.2094	36.1063	36.1183	36.1139	36.1861	36.2136	36.2591	36.2695	36.2209	36.153	36.1708	36.185	36.1298	36.1712	36.1485	36.181	36.1662	36.1355	36.1526	36.1217	36.16	36.1196	36.0989	36.0704	36.0996	36.099	36.0804	36.0541	36.0386	36.0015	36.0552	35.9915	35.9684	35.9527	35.9332	35.9325	35.9111	35.8831	35.8889	35.8767	35.8517	35.8844	35.8799	35.8435	35.8344	35.81	35.7738	35.8106	35.8028	35.8088	35.8105	35.8135	35.8175	35.7768	35.7916	35.7774	35.766	35.7825	35.6765	35.6122	35.6631	35.6497	35.5702	35.6109	35.5833	35.6397	35.6775	35.6481	35.643	35.57	35.5932	35.6293	35.5787	35.5709	35.6099	35.5834	35.5669	35.5628	35.538	35.608	35.52	35.4097	35.4685	35.4971	35.3965	35.3946	35.4873	35.4394	35.4165	35.4047	35.3721	35.3298	35.3355	35.3048	35.3192	35.3686	35.3709	35.3402	35.2847	35.2899	35.3536	35.311	35.1591	35.0969	35.2251	35.2251	35.2587	35.188	35.0649	34.983	35.1579	35.2437	35.1058	34.973	35.0757	35.0636	35.0706	35.0544	35.0367	35.0104	34.8869	34.9632	34.9974	34.9912	34.985	34.926	34.8493	34.7659	34.7155	34.8674	35.0207	35.9943
