Sample	Passed Filter	Low Quality	Too Many N	Too short
Blank-1.r1r2_fastp	692974.0	0.0	0.0	18212.0
Blank-2.r1r2_fastp	1110994.0	0.0	0.0	24110.0
COPE-0469.r1r2_fastp	1021100.0	0.0	0.0	20576.0
COPE-0470.r1r2_fastp	5290394.0	0.0	0.0	113550.0
COPE-0471.r1r2_fastp	3751604.0	0.0	0.0	65510.0
COPE-0472.r1r2_fastp	759070.0	0.0	0.0	37854.0
COPE-0473.r1r2_fastp	804758.0	0.0	0.0	30848.0
COPE-0474.r1r2_fastp	12296562.0	0.0	0.0	225560.0
COPE-0475.r1r2_fastp	11205632.0	0.0	0.0	223734.0
COPE-0476.r1r2_fastp	13855234.0	0.0	0.0	313770.0
COPE-0477.r1r2_fastp	1650684.0	0.0	0.0	32314.0
COPE-0478.r1r2_fastp	1768858.0	0.0	0.0	85034.0
COPE-0479.r1r2_fastp	3335430.0	0.0	0.0	149250.0
COPE-0480.r1r2_fastp	470646.0	0.0	0.0	8370.0
COPE-0481.r1r2_fastp	7695992.0	0.0	0.0	268062.0
COPE-0482.r1r2_fastp	9362970.0	0.0	0.0	198398.0
COPE-0483.r1r2_fastp	4927112.0	0.0	0.0	87846.0
COPE-0484.r1r2_fastp	2973806.0	0.0	0.0	133696.0
COPE-0485.r1r2_fastp	1221848.0	0.0	0.0	57330.0
COPE-0486.r1r2_fastp	1542736.0	0.0	0.0	376404.0
COPE-0487.r1r2_fastp	1424590.0	0.0	0.0	66878.0
COPE-0488.r1r2_fastp	3757280.0	0.0	0.0	195738.0
COPE-0489.r1r2_fastp	258504.0	0.0	0.0	6158.0
COPE-0490.r1r2_fastp	82322.0	0.0	0.0	4414.0
COPE-0491.r1r2_fastp	5351538.0	0.0	0.0	105308.0
COPE-0492.r1r2_fastp	2905300.0	0.0	0.0	189486.0
COPE-0493.r1r2_fastp	3482816.0	0.0	0.0	157570.0
COPE-0494.r1r2_fastp	3617150.0	0.0	0.0	72176.0
COPE-0495.r1r2_fastp	4955234.0	0.0	0.0	281210.0
COPE-0496.r1r2_fastp	694350.0	0.0	0.0	37952.0
COPE-0497.r1r2_fastp	2051190.0	0.0	0.0	39448.0
COPE-0498.r1r2_fastp	10447736.0	0.0	0.0	287452.0
COPE-0499.r1r2_fastp	24860042.0	0.0	0.0	5533726.0
COPE-0500.r1r2_fastp	1269246.0	0.0	0.0	38624.0
COPE-0501.r1r2_fastp	1327436.0	0.0	0.0	236970.0
COPE-0502.r1r2_fastp	46422.0	0.0	0.0	816.0
COPE-0503.r1r2_fastp	1643056.0	0.0	0.0	32782.0
COPE-0504.r1r2_fastp	4609850.0	0.0	0.0	78286.0
COPE-0505.r1r2_fastp	4688526.0	0.0	0.0	415022.0
COPE-0506.r1r2_fastp	1770432.0	0.0	0.0	175492.0
COPE-0507.r1r2_fastp	5306988.0	0.0	0.0	100514.0
COPE-0508.r1r2_fastp	10400784.0	0.0	0.0	247812.0
COPE-0509.r1r2_fastp	1003814.0	0.0	0.0	36446.0
COPE-0510.r1r2_fastp	6417304.0	0.0	0.0	97776.0
COPE-0511.r1r2_fastp	2692592.0	0.0	0.0	139612.0
COPE-0512.r1r2_fastp	3512658.0	0.0	0.0	105758.0
COPE-0513.r1r2_fastp	7332.0	0.0	0.0	136.0
COPE-0514.r1r2_fastp	6574508.0	0.0	0.0	348442.0
COPE-0515.r1r2_fastp	2810542.0	0.0	0.0	56518.0
COPE-0516.r1r2_fastp	936.0	0.0	0.0	228.0
COPE-0517.r1r2_fastp	6146818.0	0.0	0.0	114642.0
COPE-0518.r1r2_fastp	689300.0	0.0	0.0	55752.0
COPE-0519.r1r2_fastp	1318424.0	0.0	0.0	145092.0
COPE-0520.r1r2_fastp	558492.0	0.0	0.0	8072.0
COPE-0521.r1r2_fastp	2254362.0	0.0	0.0	40324.0
COPE-0522.r1r2_fastp	6084754.0	0.0	0.0	114768.0
COPE-0523.r1r2_fastp	569788.0	0.0	0.0	10644.0
COPE-0524.r1r2_fastp	812896.0	0.0	0.0	44140.0
COPE-0525.r1r2_fastp	6806884.0	0.0	0.0	312878.0
COPE-0526.r1r2_fastp	1699784.0	0.0	0.0	572534.0
COPE-0527.r1r2_fastp	724640.0	0.0	0.0	14390.0
COPE-0528.r1r2_fastp	4838792.0	0.0	0.0	82304.0
COPE-0529.r1r2_fastp	8697970.0	0.0	0.0	140810.0
COPE-0530.r1r2_fastp	5275516.0	0.0	0.0	123750.0
COPE-0531.r1r2_fastp	3517442.0	0.0	0.0	67576.0
COPE-0532.r1r2_fastp	1274056.0	0.0	0.0	64392.0
COPE-0533.r1r2_fastp	706.0	0.0	0.0	14.0
COPE-0534.r1r2_fastp	3883102.0	0.0	0.0	81610.0
COPE-0535.r1r2_fastp	2444636.0	0.0	0.0	44422.0
COPE-0536.r1r2_fastp	998596.0	0.0	0.0	18498.0
COPE-0537.r1r2_fastp	2471694.0	0.0	0.0	151444.0
COPE-0538.r1r2_fastp	2689926.0	0.0	0.0	64118.0
COPE-0539.r1r2_fastp	1787938.0	0.0	0.0	40130.0
COPE-0540.r1r2_fastp	904754.0	0.0	0.0	45062.0
COPE-0541.r1r2_fastp	876816.0	0.0	0.0	18430.0
COPE-0542.r1r2_fastp	1568680.0	0.0	0.0	32504.0
COPE-0543.r1r2_fastp	6243016.0	0.0	0.0	113146.0
COPE-0544.r1r2_fastp	1127730.0	0.0	0.0	16520.0
COPE-0545.r1r2_fastp	1166900.0	0.0	0.0	39238.0
COPE-0546.r1r2_fastp	2273082.0	0.0	0.0	44762.0
COPE-0547.r1r2_fastp	2287702.0	0.0	0.0	39028.0
COPE-0548.r1r2_fastp	726468.0	0.0	0.0	59056.0
COPE-0549.r1r2_fastp	379806.0	0.0	0.0	22176.0
COPE-0550.r1r2_fastp	1140676.0	0.0	0.0	20308.0
COPE-0551.r1r2_fastp	3117662.0	0.0	0.0	174820.0
COPE-0552.r1r2_fastp	1426048.0	0.0	0.0	59110.0
COPE-0553.r1r2_fastp	312118.0	0.0	0.0	19618.0
COPE-0554.r1r2_fastp	637764.0	0.0	0.0	52356.0
COPE-0555.r1r2_fastp	4067828.0	0.0	0.0	192408.0
COPE-0556.r1r2_fastp	9379134.0	0.0	0.0	438078.0
COPE-0557.r1r2_fastp	2761342.0	0.0	0.0	145418.0
COPE-0558.r1r2_fastp	1109224.0	0.0	0.0	44846.0
COPE-0559.r1r2_fastp	1920680.0	0.0	0.0	157898.0
COPE-0560.r1r2_fastp	8830602.0	0.0	0.0	137416.0
COPE-0561.r1r2_fastp	2960920.0	0.0	0.0	64630.0
