Sample	command
Blank-1.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/Blank-1.r1.fq.gz --in2 NovaSeq/fq_fp1/Blank-1.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/Blank-1.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/Blank-1.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/Blank-1.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/Blank-1.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/Blank-1.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/Blank-1.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/Blank-1.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
Blank-2.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/Blank-2.r1.fq.gz --in2 NovaSeq/fq_fp1/Blank-2.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/Blank-2.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/Blank-2.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/Blank-2.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/Blank-2.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/Blank-2.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/Blank-2.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/Blank-2.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0469.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0469.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0469.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0469.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0469.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0469.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0469.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0469.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0469.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0469.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0470.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0470.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0470.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0470.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0470.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0470.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0470.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0470.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0470.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0470.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0471.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0471.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0471.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0471.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0471.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0471.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0471.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0471.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0471.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0471.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0472.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0472.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0472.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0472.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0472.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0472.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0472.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0472.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0472.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0472.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0473.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0473.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0473.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0473.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0473.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0473.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0473.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0473.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0473.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0473.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0474.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0474.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0474.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0474.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0474.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0474.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0474.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0474.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0474.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0474.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0475.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0475.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0475.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0475.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0475.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0475.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0475.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0475.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0475.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0475.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0476.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0476.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0476.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0476.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0476.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0476.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0476.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0476.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0476.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0476.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
