Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Blank-1.fp2_r1_screen	678.0	836.0	1301.0	7.0	35.0	48.0	15.0	0.0	0.0	2382.0	341185.0
Blank-1.fp2_r2_screen	1840.0	903.0	1227.0	26.0	37.0	3.0	6.0	0.0	0.0	1849.0	340596.0
Blank-2.fp2_r1_screen	1215.0	1006.0	998.0	17.0	45.0	99.0	51.0	3.0	1.0	4176.0	547886.0
Blank-2.fp2_r2_screen	1152.0	1434.0	924.0	289.0	172.0	27.0	19.0	0.0	0.0	2816.0	548664.0
COPE-0469.fp2_r1_screen	1173.0	142.0	51.0	32.0	70.0	57.0	30.0	0.0	0.0	9371.0	499624.0
COPE-0469.fp2_r2_screen	1979.0	582.0	100.0	208.0	78.0	166.0	9.0	2.0	0.0	8721.0	498705.0
COPE-0470.fp2_r1_screen	5594.0	539.0	159.0	232.0	374.0	570.0	90.0	3.0	0.0	16775.0	2620861.0
COPE-0470.fp2_r2_screen	7181.0	2951.0	348.0	1103.0	521.0	412.0	47.0	24.0	0.0	23124.0	2609486.0
COPE-0471.fp2_r1_screen	3197.0	448.0	163.0	215.0	225.0	247.0	242.0	1.0	1.0	13457.0	1857606.0
COPE-0471.fp2_r2_screen	5018.0	1240.0	544.0	723.0	314.0	324.0	14.0	34.0	0.0	12986.0	1854605.0
COPE-0472.fp2_r1_screen	1355.0	112.0	96.0	42.0	6.0	16.0	1.0	0.0	0.0	11239.0	366668.0
COPE-0472.fp2_r2_screen	1677.0	486.0	103.0	435.0	32.0	21.0	2.0	2.0	0.0	11285.0	365492.0
COPE-0473.fp2_r1_screen	504.0	132.0	20.0	77.0	37.0	23.0	40.0	1.0	0.0	3794.0	397751.0
COPE-0473.fp2_r2_screen	1532.0	499.0	130.0	157.0	51.0	27.0	3.0	1.0	0.0	3958.0	396021.0
COPE-0474.fp2_r1_screen	12386.0	2284.0	591.0	732.0	1141.0	202.0	100.0	15.0	1.0	64321.0	6066508.0
COPE-0474.fp2_r2_screen	12908.0	21998.0	966.0	4514.0	1723.0	73.0	62.0	19.0	2.0	155710.0	5950306.0
COPE-0475.fp2_r1_screen	11540.0	2186.0	1066.0	712.0	632.0	273.0	132.0	10.0	0.0	55166.0	5531099.0
COPE-0475.fp2_r2_screen	13154.0	19986.0	1060.0	4303.0	1811.0	86.0	100.0	18.0	1.0	132609.0	5429688.0
COPE-0476.fp2_r1_screen	21729.0	2359.0	159.0	1211.0	1878.0	539.0	667.0	30.0	1.0	33083.0	6865961.0
COPE-0476.fp2_r2_screen	29301.0	4556.0	786.0	477.0	4378.0	193.0	403.0	82.0	2.0	22171.0	6865268.0
COPE-0477.fp2_r1_screen	1606.0	226.0	24.0	67.0	94.0	102.0	18.0	5.0	0.0	4874.0	818326.0
COPE-0477.fp2_r2_screen	1995.0	1047.0	125.0	321.0	166.0	26.0	72.0	2.0	0.0	7719.0	813869.0
COPE-0478.fp2_r1_screen	1881.0	243.0	172.0	46.0	106.0	72.0	32.0	1.0	0.0	7795.0	874081.0
COPE-0478.fp2_r2_screen	2128.0	1025.0	287.0	299.0	295.0	108.0	35.0	0.0	0.0	6437.0	873815.0
COPE-0479.fp2_r1_screen	3734.0	507.0	121.0	63.0	282.0	74.0	47.0	1.0	0.0	15518.0	1647368.0
COPE-0479.fp2_r2_screen	3581.0	1995.0	483.0	538.0	680.0	476.0	46.0	0.0	0.0	12047.0	1647869.0
COPE-0480.fp2_r1_screen	342.0	54.0	31.0	60.0	36.0	3.0	8.0	0.0	0.0	3020.0	231769.0
COPE-0480.fp2_r2_screen	784.0	1223.0	48.0	232.0	173.0	3.0	2.0	0.0	0.0	4901.0	227957.0
COPE-0481.fp2_r1_screen	4149.0	1044.0	161.0	133.0	344.0	109.0	145.0	2.0	0.0	25082.0	3816827.0
COPE-0481.fp2_r2_screen	7823.0	2722.0	1223.0	1882.0	569.0	347.0	120.0	3.0	0.0	25715.0	3807592.0
COPE-0482.fp2_r1_screen	12210.0	2132.0	195.0	477.0	665.0	420.0	281.0	5.0	0.0	28090.0	4637010.0
COPE-0482.fp2_r2_screen	13463.0	3958.0	344.0	1253.0	972.0	404.0	63.0	4.0	0.0	16991.0	4644033.0
COPE-0483.fp2_r1_screen	4920.0	1179.0	129.0	220.0	267.0	217.0	83.0	1.0	0.0	15896.0	2440644.0
COPE-0483.fp2_r2_screen	5911.0	2019.0	650.0	1294.0	462.0	206.0	24.0	1.0	1.0	23922.0	2429066.0
COPE-0484.fp2_r1_screen	3058.0	853.0	526.0	324.0	163.0	218.0	11.0	1.0	0.0	31127.0	1450622.0
