file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/Blank_1.fp2.repr.r1.fq.gz,Blank_1,337439
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/Blank_2.fp2.repr.r1.fq.gz,Blank_2,543636
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0469.fp2.repr.r1.fq.gz,COPE_0469,493657
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0470.fp2.repr.r1.fq.gz,COPE_0470,2588634
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0471.fp2.repr.r1.fq.gz,COPE_0471,1840208
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0472.fp2.repr.r1.fq.gz,COPE_0472,361830
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0473.fp2.repr.r1.fq.gz,COPE_0473,392951
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0474.fp2.repr.r1.fq.gz,COPE_0474,5894842
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0475.fp2.repr.r1.fq.gz,COPE_0475,5382304
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0476.fp2.repr.r1.fq.gz,COPE_0476,6805726
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0477.fp2.repr.r1.fq.gz,COPE_0477,808097
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0478.fp2.repr.r1.fq.gz,COPE_0478,865838
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0479.fp2.repr.r1.fq.gz,COPE_0479,1630486
