file,mapped_reads
COPE_0469.fp2.repr.10.1-RG.bam,503329
COPE_0470.fp2.repr.10.1-RG.bam,2896812
COPE_0471.fp2.repr.10.1-RG.bam,1895425
COPE_0472.fp2.repr.10.1-RG.bam,269993
COPE_0473.fp2.repr.10.1-RG.bam,330069
COPE_0474.fp2.repr.10.1-RG.bam,836146
COPE_0475.fp2.repr.10.1-RG.bam,849761
COPE_0476.fp2.repr.10.1-RG.bam,6929790
COPE_0477.fp2.repr.10.1-RG.bam,889837
COPE_0478.fp2.repr.10.1-RG.bam,784340
COPE_0479.fp2.repr.10.1-RG.bam,1445157
COPE_0480.fp2.repr.10.1-RG.bam,36026
COPE_0481.fp2.repr.10.1-RG.bam,3799761
COPE_0482.fp2.repr.10.1-RG.bam,4789775
COPE_0483.fp2.repr.10.1-RG.bam,1368115
COPE_0484.fp2.repr.10.1-RG.bam,1018509
COPE_0485.fp2.repr.10.1-RG.bam,518562
COPE_0486.fp2.repr.10.1-RG.bam,224667
COPE_0487.fp2.repr.10.1-RG.bam,348684
COPE_0488.fp2.repr.10.1-RG.bam,1581009
COPE_0489.fp2.repr.10.1-RG.bam,44066
COPE_0490.fp2.repr.10.1-RG.bam,21430
COPE_0491.fp2.repr.10.1-RG.bam,1794517
COPE_0492.fp2.repr.10.1-RG.bam,1290682
COPE_0493.fp2.repr.10.1-RG.bam,1313321
COPE_0494.fp2.repr.10.1-RG.bam,1966033
COPE_0495.fp2.repr.10.1-RG.bam,2630493
COPE_0496.fp2.repr.10.1-RG.bam,325577
COPE_0497.fp2.repr.10.1-RG.bam,1025439
COPE_0498.fp2.repr.10.1-RG.bam,3938782
COPE_0499.fp2.repr.10.1-RG.bam,3476595
COPE_0500.fp2.repr.10.1-RG.bam,76002
COPE_0501.fp2.repr.10.1-RG.bam,207522
COPE_0502.fp2.repr.10.1-RG.bam,11362
COPE_0503.fp2.repr.10.1-RG.bam,111983
COPE_0504.fp2.repr.10.1-RG.bam,1812836
COPE_0505.fp2.repr.10.1-RG.bam,2007143
COPE_0506.fp2.repr.10.1-RG.bam,734423
COPE_0507.fp2.repr.10.1-RG.bam,2879516
COPE_0508.fp2.repr.10.1-RG.bam,5675316
COPE_0509.fp2.repr.10.1-RG.bam,479165
COPE_0510.fp2.repr.10.1-RG.bam,1935305
COPE_0511.fp2.repr.10.1-RG.bam,1157384
COPE_0512.fp2.repr.10.1-RG.bam,296560
COPE_0514.fp2.repr.10.1-RG.bam,2901340
COPE_0515.fp2.repr.10.1-RG.bam,1154137
COPE_0517.fp2.repr.10.1-RG.bam,3298851
COPE_0518.fp2.repr.10.1-RG.bam,308423
COPE_0519.fp2.repr.10.1-RG.bam,317728
COPE_0520.fp2.repr.10.1-RG.bam,43823
COPE_0521.fp2.repr.10.1-RG.bam,1167637
COPE_0522.fp2.repr.10.1-RG.bam,3321219
COPE_0523.fp2.repr.10.1-RG.bam,145571
COPE_0524.fp2.repr.10.1-RG.bam,424655
COPE_0525.fp2.repr.10.1-RG.bam,3534609
COPE_0526.fp2.repr.10.1-RG.bam,278290
COPE_0527.fp2.repr.10.1-RG.bam,344534
COPE_0528.fp2.repr.10.1-RG.bam,2094911
COPE_0529.fp2.repr.10.1-RG.bam,619507
COPE_0530.fp2.repr.10.1-RG.bam,2556859
COPE_0531.fp2.repr.10.1-RG.bam,1973061
COPE_0532.fp2.repr.10.1-RG.bam,640477
COPE_0534.fp2.repr.10.1-RG.bam,2089841
COPE_0535.fp2.repr.10.1-RG.bam,1349155
COPE_0536.fp2.repr.10.1-RG.bam,205140
COPE_0537.fp2.repr.10.1-RG.bam,1133115
COPE_0538.fp2.repr.10.1-RG.bam,1376479
COPE_0539.fp2.repr.10.1-RG.bam,932839
COPE_0540.fp2.repr.10.1-RG.bam,48431
COPE_0541.fp2.repr.10.1-RG.bam,66950
COPE_0542.fp2.repr.10.1-RG.bam,856014
COPE_0543.fp2.repr.10.1-RG.bam,3381610
COPE_0544.fp2.repr.10.1-RG.bam,87845
COPE_0545.fp2.repr.10.1-RG.bam,619495
COPE_0546.fp2.repr.10.1-RG.bam,646120
COPE_0547.fp2.repr.10.1-RG.bam,216730
COPE_0548.fp2.repr.10.1-RG.bam,302365
COPE_0549.fp2.repr.10.1-RG.bam,155377
COPE_0550.fp2.repr.10.1-RG.bam,317721
COPE_0551.fp2.repr.10.1-RG.bam,1060773
COPE_0552.fp2.repr.10.1-RG.bam,689090
COPE_0553.fp2.repr.10.1-RG.bam,39307
COPE_0554.fp2.repr.10.1-RG.bam,282817
COPE_0555.fp2.repr.10.1-RG.bam,1982770
COPE_0556.fp2.repr.10.1-RG.bam,4046229
COPE_0557.fp2.repr.10.1-RG.bam,968933
COPE_0558.fp2.repr.10.1-RG.bam,570114
COPE_0559.fp2.repr.10.1-RG.bam,785433
COPE_0560.fp2.repr.10.1-RG.bam,596170
COPE_0561.fp2.repr.10.1-RG.bam,1364424
COPE_0562.fp2.repr.10.1-RG.bam,12456
COPE_0563.fp2.repr.10.1-RG.bam,1304112
COPE_0565.fp2.repr.10.1-RG.bam,11036200
COPE_0566.fp2.repr.10.1-RG.bam,439979
COPE_0567.fp2.repr.10.1-RG.bam,1366516
COPE_0568.fp2.repr.10.1-RG.bam,81673
COPE_0569.fp2.repr.10.1-RG.bam,144312
COPE_0570.fp2.repr.10.1-RG.bam,742639
COPE_0571.fp2.repr.10.1-RG.bam,26193
COPE_0572.fp2.repr.10.1-RG.bam,1297828
COPE_0573.fp2.repr.10.1-RG.bam,533989
COPE_0575.fp2.repr.10.1-RG.bam,276648
COPE_0576.fp2.repr.10.1-RG.bam,1319159
COPE_0577.fp2.repr.10.1-RG.bam,488799
COPE_0578.fp2.repr.10.1-RG.bam,37568
COPE_0579.fp2.repr.10.1-RG.bam,5862039
COPE_0580.fp2.repr.10.1-RG.bam,233452
COPE_0582.fp2.repr.10.1-RG.bam,3313208
COPE_0583.fp2.repr.10.1-RG.bam,1141344
COPE_0584.fp2.repr.10.1-RG.bam,8588677
COPE_0585.fp2.repr.10.1-RG.bam,95159
COPE_0586.fp2.repr.10.1-RG.bam,361526
COPE_0587.fp2.repr.10.1-RG.bam,704857
COPE_0588.fp2.repr.10.1-RG.bam,2219111
