file,mapped_reads
COPE_0469.fp2.repr.2.1-RG.bam,584842
COPE_0470.fp2.repr.2.1-RG.bam,3177954
COPE_0471.fp2.repr.2.1-RG.bam,2278753
COPE_0472.fp2.repr.2.1-RG.bam,355633
COPE_0473.fp2.repr.2.1-RG.bam,458678
COPE_0474.fp2.repr.2.1-RG.bam,4485550
COPE_0475.fp2.repr.2.1-RG.bam,3988858
COPE_0476.fp2.repr.2.1-RG.bam,7890402
COPE_0477.fp2.repr.2.1-RG.bam,989345
COPE_0480.fp2.repr.2.1-RG.bam,166294
COPE_0481.fp2.repr.2.1-RG.bam,4629849
COPE_0482.fp2.repr.2.1-RG.bam,5449211
COPE_0483.fp2.repr.2.1-RG.bam,2676734
COPE_0484.fp2.repr.2.1-RG.bam,1385080
COPE_0487.fp2.repr.2.1-RG.bam,551625
COPE_0490.fp2.repr.2.1-RG.bam,43825
COPE_0494.fp2.repr.2.1-RG.bam,2165519
COPE_0495.fp2.repr.2.1-RG.bam,2880387
COPE_0496.fp2.repr.2.1-RG.bam,400344
COPE_0497.fp2.repr.2.1-RG.bam,1191457
COPE_0500.fp2.repr.2.1-RG.bam,506617
COPE_0503.fp2.repr.2.1-RG.bam,591209
COPE_0504.fp2.repr.2.1-RG.bam,2759810
COPE_0507.fp2.repr.2.1-RG.bam,3171904
COPE_0508.fp2.repr.2.1-RG.bam,6101166
COPE_0509.fp2.repr.2.1-RG.bam,605405
COPE_0510.fp2.repr.2.1-RG.bam,3606374
COPE_0512.fp2.repr.2.1-RG.bam,1132202
COPE_0515.fp2.repr.2.1-RG.bam,1631231
COPE_0517.fp2.repr.2.1-RG.bam,3754599
COPE_0520.fp2.repr.2.1-RG.bam,208864
COPE_0521.fp2.repr.2.1-RG.bam,1299315
COPE_0522.fp2.repr.2.1-RG.bam,3671241
COPE_0524.fp2.repr.2.1-RG.bam,477784
COPE_0525.fp2.repr.2.1-RG.bam,4109684
COPE_0527.fp2.repr.2.1-RG.bam,409093
COPE_0528.fp2.repr.2.1-RG.bam,2856747
COPE_0529.fp2.repr.2.1-RG.bam,3215723
COPE_0530.fp2.repr.2.1-RG.bam,2917144
COPE_0531.fp2.repr.2.1-RG.bam,2139939
COPE_0532.fp2.repr.2.1-RG.bam,756802
