file,mapped_reads
COPE_0469.fp2.repr.20.10-RG.bam,348910
COPE_0470.fp2.repr.20.10-RG.bam,1941512
COPE_0471.fp2.repr.20.10-RG.bam,1399420
COPE_0472.fp2.repr.20.10-RG.bam,196372
COPE_0473.fp2.repr.20.10-RG.bam,280745
COPE_0474.fp2.repr.20.10-RG.bam,4166081
COPE_0475.fp2.repr.20.10-RG.bam,3458214
COPE_0476.fp2.repr.20.10-RG.bam,5005391
COPE_0477.fp2.repr.20.10-RG.bam,601764
COPE_0478.fp2.repr.20.10-RG.bam,583433
COPE_0479.fp2.repr.20.10-RG.bam,1090316
COPE_0480.fp2.repr.20.10-RG.bam,137857
COPE_0481.fp2.repr.20.10-RG.bam,2775223
COPE_0482.fp2.repr.20.10-RG.bam,3483998
COPE_0483.fp2.repr.20.10-RG.bam,1863951
COPE_0484.fp2.repr.20.10-RG.bam,792091
COPE_0485.fp2.repr.20.10-RG.bam,396454
COPE_0486.fp2.repr.20.10-RG.bam,423342
COPE_0487.fp2.repr.20.10-RG.bam,323816
COPE_0488.fp2.repr.20.10-RG.bam,1226473
COPE_0489.fp2.repr.20.10-RG.bam,38059
COPE_0490.fp2.repr.20.10-RG.bam,30753
COPE_0491.fp2.repr.20.10-RG.bam,1461315
COPE_0492.fp2.repr.20.10-RG.bam,939099
COPE_0493.fp2.repr.20.10-RG.bam,1144213
COPE_0494.fp2.repr.20.10-RG.bam,1332619
COPE_0495.fp2.repr.20.10-RG.bam,1683599
COPE_0496.fp2.repr.20.10-RG.bam,233164
COPE_0497.fp2.repr.20.10-RG.bam,713313
COPE_0498.fp2.repr.20.10-RG.bam,3209414
COPE_0499.fp2.repr.20.10-RG.bam,6650782
COPE_0500.fp2.repr.20.10-RG.bam,471421
COPE_0501.fp2.repr.20.10-RG.bam,327114
COPE_0502.fp2.repr.20.10-RG.bam,11956
COPE_0503.fp2.repr.20.10-RG.bam,544477
COPE_0504.fp2.repr.20.10-RG.bam,1825755
COPE_0505.fp2.repr.20.10-RG.bam,1433998
COPE_0506.fp2.repr.20.10-RG.bam,524843
COPE_0507.fp2.repr.20.10-RG.bam,2009505
COPE_0508.fp2.repr.20.10-RG.bam,3740284
COPE_0509.fp2.repr.20.10-RG.bam,364476
COPE_0510.fp2.repr.20.10-RG.bam,2512174
COPE_0511.fp2.repr.20.10-RG.bam,869473
COPE_0512.fp2.repr.20.10-RG.bam,959168
COPE_0514.fp2.repr.20.10-RG.bam,2149261
COPE_0515.fp2.repr.20.10-RG.bam,1052764
COPE_0517.fp2.repr.20.10-RG.bam,2282546
COPE_0518.fp2.repr.20.10-RG.bam,211461
COPE_0519.fp2.repr.20.10-RG.bam,429603
COPE_0520.fp2.repr.20.10-RG.bam,183365
COPE_0521.fp2.repr.20.10-RG.bam,756883
COPE_0522.fp2.repr.20.10-RG.bam,2290703
COPE_0523.fp2.repr.20.10-RG.bam,160788
COPE_0524.fp2.repr.20.10-RG.bam,270105
COPE_0525.fp2.repr.20.10-RG.bam,2416340
COPE_0526.fp2.repr.20.10-RG.bam,484058
COPE_0527.fp2.repr.20.10-RG.bam,243482
COPE_0528.fp2.repr.20.10-RG.bam,1810457
COPE_0529.fp2.repr.20.10-RG.bam,2887994
COPE_0530.fp2.repr.20.10-RG.bam,1772492
COPE_0531.fp2.repr.20.10-RG.bam,1185636
COPE_0532.fp2.repr.20.10-RG.bam,434397
COPE_0534.fp2.repr.20.10-RG.bam,1355189
COPE_0535.fp2.repr.20.10-RG.bam,865074
COPE_0536.fp2.repr.20.10-RG.bam,375371
COPE_0537.fp2.repr.20.10-RG.bam,791218
COPE_0538.fp2.repr.20.10-RG.bam,899508
COPE_0539.fp2.repr.20.10-RG.bam,614545
COPE_0540.fp2.repr.20.10-RG.bam,288242
COPE_0541.fp2.repr.20.10-RG.bam,261259
COPE_0542.fp2.repr.20.10-RG.bam,562031
COPE_0543.fp2.repr.20.10-RG.bam,2397758
COPE_0544.fp2.repr.20.10-RG.bam,371317
COPE_0545.fp2.repr.20.10-RG.bam,414108
COPE_0546.fp2.repr.20.10-RG.bam,879181
COPE_0547.fp2.repr.20.10-RG.bam,744326
COPE_0548.fp2.repr.20.10-RG.bam,222780
COPE_0549.fp2.repr.20.10-RG.bam,115265
COPE_0550.fp2.repr.20.10-RG.bam,303691
COPE_0551.fp2.repr.20.10-RG.bam,775439
COPE_0552.fp2.repr.20.10-RG.bam,484060
COPE_0553.fp2.repr.20.10-RG.bam,49808
COPE_0554.fp2.repr.20.10-RG.bam,200043
COPE_0555.fp2.repr.20.10-RG.bam,1395341
COPE_0556.fp2.repr.20.10-RG.bam,3058161
COPE_0557.fp2.repr.20.10-RG.bam,855235
COPE_0558.fp2.repr.20.10-RG.bam,376818
COPE_0559.fp2.repr.20.10-RG.bam,572102
COPE_0560.fp2.repr.20.10-RG.bam,2892443
COPE_0561.fp2.repr.20.10-RG.bam,941383
COPE_0562.fp2.repr.20.10-RG.bam,12054
COPE_0563.fp2.repr.20.10-RG.bam,854228
COPE_0565.fp2.repr.20.10-RG.bam,7910156
COPE_0566.fp2.repr.20.10-RG.bam,784630
COPE_0567.fp2.repr.20.10-RG.bam,1545362
COPE_0568.fp2.repr.20.10-RG.bam,62617
COPE_0569.fp2.repr.20.10-RG.bam,267701
COPE_0570.fp2.repr.20.10-RG.bam,4418415
COPE_0571.fp2.repr.20.10-RG.bam,121186
COPE_0572.fp2.repr.20.10-RG.bam,832257
COPE_0573.fp2.repr.20.10-RG.bam,360674
COPE_0575.fp2.repr.20.10-RG.bam,1493623
COPE_0576.fp2.repr.20.10-RG.bam,892386
COPE_0577.fp2.repr.20.10-RG.bam,336723
COPE_0578.fp2.repr.20.10-RG.bam,192836
COPE_0579.fp2.repr.20.10-RG.bam,3774875
COPE_0580.fp2.repr.20.10-RG.bam,190384
COPE_0582.fp2.repr.20.10-RG.bam,5806097
COPE_0583.fp2.repr.20.10-RG.bam,710604
COPE_0584.fp2.repr.20.10-RG.bam,8181066
COPE_0585.fp2.repr.20.10-RG.bam,76961
COPE_0586.fp2.repr.20.10-RG.bam,547404
COPE_0587.fp2.repr.20.10-RG.bam,1370706
COPE_0588.fp2.repr.20.10-RG.bam,1478031
COPE_0589.fp2.repr.20.10-RG.bam,2871446
COPE_0591.fp2.repr.20.10-RG.bam,922829
COPE_0592.fp2.repr.20.10-RG.bam,1192150
COPE_0593.fp2.repr.20.10-RG.bam,371082
COPE_0594.fp2.repr.20.10-RG.bam,1044055
COPE_0595.fp2.repr.20.10-RG.bam,3441060
COPE_0596.fp2.repr.20.10-RG.bam,7197277
COPE_0597.fp2.repr.20.10-RG.bam,2467528
COPE_0598.fp2.repr.20.10-RG.bam,18408
COPE_0599.fp2.repr.20.10-RG.bam,64787
COPE_0600.fp2.repr.20.10-RG.bam,3443064
COPE_0601.fp2.repr.20.10-RG.bam,2124049
COPE_0602.fp2.repr.20.10-RG.bam,1697894
COPE_0603.fp2.repr.20.10-RG.bam,535462
COPE_0604.fp2.repr.20.10-RG.bam,221945
COPE_0605.fp2.repr.20.10-RG.bam,157229
COPE_0606.fp2.repr.20.10-RG.bam,97307
COPE_0607.fp2.repr.20.10-RG.bam,3682623
COPE_0608.fp2.repr.20.10-RG.bam,819965
COPE_0610.fp2.repr.20.10-RG.bam,1584755
COPE_0611.fp2.repr.20.10-RG.bam,3869376
COPE_0612.fp2.repr.20.10-RG.bam,1127586
COPE_0613.fp2.repr.20.10-RG.bam,2990926
COPE_0614.fp2.repr.20.10-RG.bam,2130428
COPE_0615.fp2.repr.20.10-RG.bam,886364
COPE_0616.fp2.repr.20.10-RG.bam,2662042
COPE_0617.fp2.repr.20.10-RG.bam,639678
COPE_0618.fp2.repr.20.10-RG.bam,2656421
COPE_0619.fp2.repr.20.10-RG.bam,673138
COPE_0620.fp2.repr.20.10-RG.bam,698467
COPE_0621.fp2.repr.20.10-RG.bam,1003593
COPE_0622.fp2.repr.20.10-RG.bam,99129
COPE_0623.fp2.repr.20.10-RG.bam,1503996
COPE_0624.fp2.repr.20.10-RG.bam,1103908
COPE_0625.fp2.repr.20.10-RG.bam,41832
COPE_0626.fp2.repr.20.10-RG.bam,387017
COPE_0627.fp2.repr.20.10-RG.bam,1069595
COPE_0628.fp2.repr.20.10-RG.bam,10648
