File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_chyaC.10.1.Fltr05.1.recode.vcf	1	recode	625	11230		11221	6995	8789	544288	12033	18562	97589515	78177316	32444872	48050843	38290296	64686238	1389833
MiSeq_chyaC.10.1.Fltr16.2.recode.vcf	2	recode	584	11230		11221	6995	8789	544288	12033	18562	76516312	76303786	32226107	47781455	38077744	64542929	1389396
MiSeq_chyaC.10.1.Fltr01.3.recode.vcf	3	recode	584	11218		11215	4594	4846	446857	6148	6707	60862193	61417794	25898537	38204449	30321553	51410170	1122152
MiSeq_chyaC.10.1.Fltr02.4.recode.vcf	4	recode	584	11215		11215	0	0	446642	0	0	58871082	59425820	25073502	37035476	29423742	49922500	1086806
MiSeq_chyaC.10.1.Fltr03.5.recode.vcf	5	recode	584	11214		11214	0	0	446305	0	0	58842499	59391183	25057276	37010514	29402809	49861540	1076299
MiSeq_chyaC.10.1.Fltr04.6.recode.vcf	6	recode	584	11003		11003	0	0	441138	0	0	57636168	58154482	24775541	36810382	29342029	49829717	1076273
MiSeq_chyaC.10.1.Fltr14.7.recode.vcf	7	recode	584	11003		11003	0	0	441138	0	0	93907487	21883163	24775541	36810382	29342029	49829717	1076273
MiSeq_chyaC.10.1.Fltr07.8.vcf	8	vcf	584	10936		10936	0	0	210371	0	0	46761401	10742050	12046866	17482102	13478703	21860629	484913
MiSeq_chyaC.10.1.Fltr05.9.recode.vcf	9	recode	584	3998		3998	0	0	70071	0	0	8718912	3205297	4135831	7006277	6168760	11386854	299533
MiSeq_chyaC.10.1.Fltr15.10.recode.vcf	10	recode	584	3985		3985	0	0	60264	0	0	7549437	2772197	3577191	6039774	5296935	9701196	257446
MiSeq_chyaC.10.1.Fltr06.11.vcf	11	vcf	584	3983		3983	0	0	59084	0	0	7435874	2719304	3508620	5931784	5207615	9488356	213503
MiSeq_chyaC.10.1.Fltr11.12.vcf	12	vcf	584	3904		3904	0	0	32973	0	0	4175124	1521112	1960452	3311837	2900141	5267849	119717
MiSeq_chyaC.10.1.Fltr09.13.vcf	13	vcf	584	3901		3901	0	0	32815	0	0	4154802	1513489	1950977	3296743	2887146	5242311	118492
MiSeq_chyaC.10.1.Fltr08.14.vcf	14	vcf	584	3898		3898	0	0	32756	0	0	4147729	1509382	1945708	3290376	2882091	5235898	118320
MiSeq_chyaC.10.1.Fltr10.15.vcf	15	vcf	584	3888		3888	0	0	32615	0	0	4130631	1502214	1937216	3277395	2871001	5211177	117526
MiSeq_chyaC.10.1.Fltr04.16.recode.vcf	16	recode	584	3888		3888	0	0	32615	0	0	4130631	1502214	1937216	3277395	2871001	5211177	117526
MiSeq_chyaC.10.1.Fltr13.17.recode.vcf	17	recode	584	3366		3366	0	0	28337	0	0	3703930	1351597	1766514	2992155	2585942	4100517	48153
MiSeq_chyaC.10.1.Fltr07.18.vcf	18	vcf	584	3366		3366	0	0	28337	0	0	3703930	1351597	1766514	2992155	2585942	4100517	48153
MiSeq_chyaC.10.1.Fltr041.19.vcf	19	vcf	584	3265		3265	0	0	27747	0	0	3614745	1308724	1715687	2925204	2551208	4042797	45883
MiSeq_chyaC.10.1.Fltr32.20.vcf	20	vcf	584	3261		3261	0	0	27714	0	0	3611894	1306931	1712390	2920368	2549222	4038374	45797
MiSeq_chyaC.10.1.Fltr05.21.recode.vcf	21	recode	584	3261		3261	0	0	27714	0	0	3611894	1306931	1712390	2920368	2549222	4038374	45797
MiSeq_chyaC.10.1.Fltr16.22.recode.vcf	22	recode	529	3261		3261	0	0	27714	0	0	2202932	1223175	1693303	2911256	2546820	4037423	45797
MiSeq_chyaC.10.1.Fltr05.23.recode.vcf	23	recode	529	3247		3247	0	0	27607	0	0	2188089	1215312	1685211	2902694	2540077	4027053	45667
MiSeq_chyaC.10.1.Fltr16.24.recode.vcf	24	recode	513	3247		3247	0	0	27607	0	0	1854773	1144649	1663666	2895412	2534980	4023246	45665
MiSeq_chyaC.10.1.Fltr05.25.recode.vcf	25	recode	513	3001		3001	0	0	25030	0	0	1577400	1006588	1496964	2660194	2349337	3708459	41448
MiSeq_chyaC.10.1.Fltr16.26.recode.vcf	26	recode	496	3001		3001	0	0	25030	0	0	1301975	927387	1461028	2645740	2338600	3698714	41436
MiSeq_chyaC.10.1.Fltr05.27.recode.vcf	27	recode	496	2476		2476	0	0	19864	0	0	876313	690777	1134697	2120942	1924585	3071394	33836
MiSeq_chyaC.10.1.Fltr16.28.recode.vcf	28	recode	489	2476		2476	0	0	19864	0	0	801056	662046	1116011	2111254	1921144	3068158	33827
MiSeq_chyaC.10.1.Fltr01.29.recode.vcf	29	recode	489	2476		2476	0	0	19864	0	0	801056	662046	1116011	2111254	1921144	3068158	33827
MiSeq_chyaC.10.1.Fltr21.30.MostInformativeSNP.vcf	30	MostInformativeSNP	489	2476		2476	0	0	2476	0	0	98407	82298	137281	258044	237822	392537	4375
