File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_chyaB.10.1.Fltr01.1.recode.vcf	1	recode	625	22217		22196	10166	10980	802505	14376	15715	253469337	90632290	33549709	48013650	36798498	58517221	1201170
MiSeq_chyaB.10.1.Fltr02.2.recode.vcf	2	recode	625	22196		22196	0	0	802220	0	0	241684463	87336548	32396487	46434593	35633791	56739133	1162485
MiSeq_chyaB.10.1.Fltr03.3.recode.vcf	3	recode	625	22194		22194	0	0	801770	0	0	241592340	87291030	32378279	46407117	35610896	56674759	1151829
MiSeq_chyaB.10.1.Fltr04.4.recode.vcf	4	recode	625	15392		15392	0	0	594600	0	0	135769445	73650510	29205300	42954296	33779327	55122192	1143930
MiSeq_chyaB.10.1.Fltr14.5.recode.vcf	5	recode	625	15392		15392	0	0	594600	0	0	183020340	26399615	29205300	42954296	33779327	55122192	1143930
MiSeq_chyaB.10.1.Fltr07.6.vcf	6	vcf	625	15266		15266	0	0	298889	0	0	96380186	13347945	14620076	21018925	16011578	24901405	525510
MiSeq_chyaB.10.1.Fltr05.7.recode.vcf	7	recode	625	2958		2958	0	0	49923	0	0	7279156	2226382	2894939	5052867	4620735	8870135	257661
MiSeq_chyaB.10.1.Fltr15.8.recode.vcf	8	recode	625	2945		2945	0	0	42545	0	0	6245901	1909611	2482694	4317319	3932927	7481983	220190
MiSeq_chyaB.10.1.Fltr06.9.vcf	9	vcf	625	2944		2944	0	0	41535	0	0	6130702	1861787	2421623	4222349	3854700	7290631	177583
MiSeq_chyaB.10.1.Fltr11.10.vcf	10	vcf	625	2881		2881	0	0	22722	0	0	3353486	1016773	1322926	2310606	2109946	3988486	99027
MiSeq_chyaB.10.1.Fltr09.11.vcf	11	vcf	625	2878		2878	0	0	22621	0	0	3339180	1011745	1316637	2300782	2101287	3970533	97961
MiSeq_chyaB.10.1.Fltr08.12.vcf	12	vcf	625	2875		2875	0	0	22581	0	0	3333956	1009606	1313821	2296250	2096953	3964741	97798
MiSeq_chyaB.10.1.Fltr10.13.vcf	13	vcf	625	2868		2868	0	0	22479	0	0	3320054	1004256	1307685	2286775	2088763	3944737	97105
MiSeq_chyaB.10.1.Fltr04.14.recode.vcf	14	recode	625	2868		2868	0	0	22479	0	0	3320054	1004256	1307685	2286775	2088763	3944737	97105
MiSeq_chyaB.10.1.Fltr13.15.recode.vcf	15	recode	625	2465		2465	0	0	19474	0	0	2957891	896088	1187178	2084203	1881620	3125616	38654
MiSeq_chyaB.10.1.Fltr07.16.vcf	16	vcf	625	2465		2465	0	0	19474	0	0	2957891	896088	1187178	2084203	1881620	3125616	38654
MiSeq_chyaB.10.1.Fltr041.17.vcf	17	vcf	625	2392		2392	0	0	19043	0	0	2887242	864118	1148274	2033001	1853950	3078612	36678
MiSeq_chyaB.10.1.Fltr32.18.vcf	18	vcf	625	2387		2387	0	0	19006	0	0	2882653	861877	1144435	2027708	1851809	3073728	36540
MiSeq_chyaB.10.1.Fltr05.19.recode.vcf	19	recode	625	2387		2387	0	0	19006	0	0	2882653	861877	1144435	2027708	1851809	3073728	36540
MiSeq_chyaB.10.1.Fltr16.20.recode.vcf	20	recode	520	2387		2387	0	0	19006	0	0	1088138	742342	1112049	2001285	1836261	3066516	36529
MiSeq_chyaB.10.1.Fltr05.21.recode.vcf	21	recode	520	2384		2384	0	0	18984	0	0	1085178	741070	1110574	1999311	1834671	3064381	36495
MiSeq_chyaB.10.1.Fltr16.22.recode.vcf	22	recode	506	2384		2384	0	0	18984	0	0	911716	691802	1088676	1990059	1828241	3058927	36483
MiSeq_chyaB.10.1.Fltr05.23.recode.vcf	23	recode	506	2362		2362	0	0	18821	0	0	893628	680211	1077065	1976443	1818353	3041576	36150
MiSeq_chyaB.10.1.Fltr16.24.recode.vcf	24	recode	491	2362		2362	0	0	18821	0	0	740144	620041	1044730	1960822	1808135	3031101	36138
MiSeq_chyaB.10.1.Fltr05.25.recode.vcf	25	recode	491	2315		2315	0	0	18320	0	0	699423	595289	1012783	1913687	1772696	2966511	34731
MiSeq_chyaB.10.1.Fltr16.26.recode.vcf	26	recode	471	2315		2315	0	0	18320	0	0	536016	515730	949082	1883211	1760608	2949415	34658
MiSeq_chyaB.10.1.Fltr01.27.recode.vcf	27	recode	471	2315		2315	0	0	18320	0	0	536016	515730	949082	1883211	1760608	2949415	34658
MiSeq_chyaB.10.1.Fltr21.28.MostInformativeSNP.vcf	28	MostInformativeSNP	471	2315		2315	0	0	2315	0	0	67272	65366	118584	233615	221227	379846	4455
