File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaA.2.1.Fltr01.1.recode.vcf	1	recode	625	44919		44827	18544	22022	1250592	25694	31524	423729057	181279316	49080983	61034875	42187378	62106260	1229006
MiSeq_CHYA_chyaA.2.1.Fltr02.2.recode.vcf	2	recode	625	44827		44827	0	0	1250241	0	0	401033590	173028517	47034572	58624259	40603941	59892610	1183136
MiSeq_CHYA_chyaA.2.1.Fltr03.3.recode.vcf	3	recode	625	44827		44827	0	0	1249913	0	0	400949551	172986553	47021818	58607535	40591034	59860173	1178961
MiSeq_CHYA_chyaA.2.1.Fltr04.4.recode.vcf	4	recode	625	23579		23579	0	0	773583	0	0	176644526	123116589	38501434	50614118	36713294	56736419	1162995
MiSeq_CHYA_chyaA.2.1.Fltr14.5.recode.vcf	5	recode	625	23579		23579	0	0	773583	0	0	259601822	40159293	38501434	50614118	36713294	56736419	1162995
MiSeq_CHYA_chyaA.2.1.Fltr07.6.vcf	6	vcf	625	23352		23352	0	0	462880	0	0	159464090	24233592	23076406	29690455	20956451	31233101	645905
MiSeq_CHYA_chyaA.2.1.Fltr05.7.recode.vcf	7	recode	625	3063		3063	0	0	56002	0	0	8263656	2724980	3473249	5688577	5017958	9606535	226295
MiSeq_CHYA_chyaA.2.1.Fltr15.8.recode.vcf	8	recode	625	3063		3063	0	0	56002	0	0	8263656	2724980	3473249	5688577	5017958	9606535	226295
MiSeq_CHYA_chyaA.2.1.Fltr06.9.vcf	9	vcf	625	3058		3058	0	0	54879	0	0	8115307	2653477	3387192	5573980	4936861	9430141	202417
MiSeq_CHYA_chyaA.2.1.Fltr11.10.vcf	10	vcf	625	2984		2984	0	0	26920	0	0	4006020	1310674	1673665	2740067	2417321	4578663	98590
MiSeq_CHYA_chyaA.2.1.Fltr09.11.vcf	11	vcf	625	2983		2983	0	0	26744	0	0	3980964	1301357	1662657	2723618	2403254	4546226	96924
MiSeq_CHYA_chyaA.2.1.Fltr08.12.vcf	12	vcf	625	2983		2983	0	0	26735	0	0	3979599	1300935	1662001	2722481	2402342	4545097	96920
MiSeq_CHYA_chyaA.2.1.Fltr10.13.vcf	13	vcf	625	2975		2975	0	0	26623	0	0	3963544	1294739	1654859	2712090	2392943	4525164	96036
MiSeq_CHYA_chyaA.2.1.Fltr04.14.recode.vcf	14	recode	625	2975		2975	0	0	26623	0	0	3963544	1294739	1654859	2712090	2392943	4525164	96036
MiSeq_CHYA_chyaA.2.1.Fltr13.15.recode.vcf	15	recode	625	2635		2635	0	0	23590	0	0	3585277	1184580	1532415	2509886	2185960	3696438	49194
MiSeq_CHYA_chyaA.2.1.Fltr07.16.vcf	16	vcf	625	2635		2635	0	0	23590	0	0	3585277	1184580	1532415	2509886	2185960	3696438	49194
MiSeq_CHYA_chyaA.2.1.Fltr05.17.recode.vcf	17	recode	625	2635		2635	0	0	23590	0	0	3585277	1184580	1532415	2509886	2185960	3696438	49194
MiSeq_CHYA_chyaA.2.1.Fltr16.18.recode.vcf	18	recode	524	2635		2635	0	0	23590	0	0	1473760	1043089	1485837	2465478	2160899	3682904	49193
MiSeq_CHYA_chyaA.2.1.Fltr05.19.recode.vcf	19	recode	524	2606		2606	0	0	23348	0	0	1439500	1018388	1462274	2446074	2151615	3668887	47614
MiSeq_CHYA_chyaA.2.1.Fltr16.20.recode.vcf	20	recode	507	2606		2606	0	0	23348	0	0	1183242	942052	1431605	2432156	2141961	3658890	47530
MiSeq_CHYA_chyaA.2.1.Fltr05.21.recode.vcf	21	recode	507	2518		2518	0	0	22759	0	0	1116598	890518	1377975	2379616	2113152	3615294	45660
MiSeq_CHYA_chyaA.2.1.Fltr16.22.recode.vcf	22	recode	492	2518		2518	0	0	22759	0	0	930915	819669	1337632	2360254	2101034	3602333	45591
MiSeq_CHYA_chyaA.2.1.Fltr05.23.recode.vcf	23	recode	492	2405		2405	0	0	21899	0	0	860690	762670	1271320	2283510	2051392	3501540	43186
MiSeq_CHYA_chyaA.2.1.Fltr16.24.recode.vcf	24	recode	473	2405		2405	0	0	21899	0	0	675938	676119	1199789	2245957	2036048	3481399	42977
MiSeq_CHYA_chyaA.2.1.Fltr01.25.recode.vcf	25	recode	473	2405		2405	0	0	21899	0	0	675938	676119	1199789	2245957	2036048	3481399	42977
MiSeq_CHYA_chyaA.2.1.Fltr21.26.MostInformativeSNP.vcf	26	MostInformativeSNP	473	2405		2405	0	0	2405	0	0	73992	75767	131886	243203	221096	386765	4856
