File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaB.2.1.Fltr01.1.recode.vcf	1	recode	625	44919		44827	18544	22022	1250592	25694	31524	423729057	181279316	49080983	61034875	42187378	62106260	1229006
MiSeq_CHYA_chyaB.2.1.Fltr02.2.recode.vcf	2	recode	625	44827		44827	0	0	1250241	0	0	401033590	173028517	47034572	58624259	40603941	59892610	1183136
MiSeq_CHYA_chyaB.2.1.Fltr03.3.recode.vcf	3	recode	625	44827		44827	0	0	1249913	0	0	400949551	172986553	47021818	58607535	40591034	59860173	1178961
MiSeq_CHYA_chyaB.2.1.Fltr04.4.recode.vcf	4	recode	625	23579		23579	0	0	773583	0	0	176644526	123116589	38501434	50614118	36713294	56736419	1162995
MiSeq_CHYA_chyaB.2.1.Fltr14.5.recode.vcf	5	recode	625	23579		23579	0	0	773583	0	0	259601822	40159293	38501434	50614118	36713294	56736419	1162995
MiSeq_CHYA_chyaB.2.1.Fltr07.6.vcf	6	vcf	625	23352		23352	0	0	462880	0	0	159464090	24233592	23076406	29690455	20956451	31233101	645905
MiSeq_CHYA_chyaB.2.1.Fltr05.7.recode.vcf	7	recode	625	3063		3063	0	0	56002	0	0	8263656	2724980	3473249	5688577	5017958	9606535	226295
MiSeq_CHYA_chyaB.2.1.Fltr15.8.recode.vcf	8	recode	625	3051		3051	0	0	47918	0	0	7119420	2354400	2996846	4880757	4282572	8121424	193331
MiSeq_CHYA_chyaB.2.1.Fltr06.9.vcf	9	vcf	625	3044		3044	0	0	46959	0	0	6992629	2291255	2921613	4783613	4215387	7973920	170958
MiSeq_CHYA_chyaB.2.1.Fltr11.10.vcf	10	vcf	625	2984		2984	0	0	26654	0	0	3966087	1296417	1655518	2711951	2394742	4536385	97650
MiSeq_CHYA_chyaB.2.1.Fltr09.11.vcf	11	vcf	625	2983		2983	0	0	26482	0	0	3941690	1287400	1644874	2695917	2380906	4504429	96034
MiSeq_CHYA_chyaB.2.1.Fltr08.12.vcf	12	vcf	625	2983		2983	0	0	26473	0	0	3940325	1286978	1644218	2694780	2379994	4503300	96030
MiSeq_CHYA_chyaB.2.1.Fltr10.13.vcf	13	vcf	625	2975		2975	0	0	26361	0	0	3924270	1280782	1637076	2684389	2370595	4483367	95146
MiSeq_CHYA_chyaB.2.1.Fltr04.14.recode.vcf	14	recode	625	2975		2975	0	0	26361	0	0	3924270	1280782	1637076	2684389	2370595	4483367	95146
MiSeq_CHYA_chyaB.2.1.Fltr13.15.recode.vcf	15	recode	625	2635		2635	0	0	23353	0	0	3549402	1171615	1515759	2483826	2165206	3661176	48641
MiSeq_CHYA_chyaB.2.1.Fltr07.16.vcf	16	vcf	625	2635		2635	0	0	23353	0	0	3549402	1171615	1515759	2483826	2165206	3661176	48641
MiSeq_CHYA_chyaB.2.1.Fltr041.17.vcf	17	vcf	625	2558		2558	0	0	22932	0	0	3479860	1139042	1476722	2440161	2140518	3610267	45930
MiSeq_CHYA_chyaB.2.1.Fltr32.18.vcf	18	vcf	625	2550		2550	0	0	22863	0	0	3470289	1133793	1470097	2431536	2136424	3602029	45207
MiSeq_CHYA_chyaB.2.1.Fltr05.19.recode.vcf	19	recode	625	2550		2550	0	0	22863	0	0	3470289	1133793	1470097	2431536	2136424	3602029	45207
MiSeq_CHYA_chyaB.2.1.Fltr16.20.recode.vcf	20	recode	523	2550		2550	0	0	22863	0	0	1394627	993327	1426101	2391643	2114680	3591769	45202
MiSeq_CHYA_chyaB.2.1.Fltr05.21.recode.vcf	21	recode	523	2532		2532	0	0	22720	0	0	1374501	978863	1412686	2380424	2108642	3582707	44737
MiSeq_CHYA_chyaB.2.1.Fltr16.22.recode.vcf	22	recode	507	2532		2532	0	0	22720	0	0	1139755	908611	1384231	2367513	2099697	3574517	44716
MiSeq_CHYA_chyaB.2.1.Fltr05.23.recode.vcf	23	recode	507	2467		2467	0	0	22241	0	0	1085931	867337	1342123	2327036	2075430	3534979	43351
MiSeq_CHYA_chyaB.2.1.Fltr16.24.recode.vcf	24	recode	492	2467		2467	0	0	22241	0	0	904199	798046	1302783	2308187	2063556	3522495	43306
MiSeq_CHYA_chyaB.2.1.Fltr05.25.recode.vcf	25	recode	492	2365		2365	0	0	21453	0	0	839861	744733	1241201	2237329	2017555	3432817	41380
MiSeq_CHYA_chyaB.2.1.Fltr16.26.recode.vcf	26	recode	473	2365		2365	0	0	21453	0	0	658506	659749	1171212	2200716	2002525	3413264	41297
MiSeq_CHYA_chyaB.2.1.Fltr01.27.recode.vcf	27	recode	473	2365		2365	0	0	21453	0	0	658506	659749	1171212	2200716	2002525	3413264	41297
MiSeq_CHYA_chyaB.2.1.Fltr21.28.MostInformativeSNP.vcf	28	MostInformativeSNP	473	2365		2365	0	0	2365	0	0	72155	74276	129381	239499	218619	380075	4640
