File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaD.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaD.2.1.Fltr16.2.recode.vcf	2	recode	608	19862		19834	10524	14168	725840	17000	28304	127745501	137942633	42993054	55800334	40446699	64136471	1347509
MiSeq_CHYA_chyaD.2.1.Fltr01.3.recode.vcf	3	recode	608	19840		19817	7529	8994	623466	9984	12502	106842563	117081407	36087481	46476262	33463137	52968344	1130470
MiSeq_CHYA_chyaD.2.1.Fltr02.4.recode.vcf	4	recode	608	19817		19817	0	0	623240	0	0	102533420	112347061	34706544	44777817	32294043	51181765	1089270
MiSeq_CHYA_chyaD.2.1.Fltr03.5.recode.vcf	5	recode	608	19816		19816	0	0	622412	0	0	102456369	112246464	34667049	44719841	32242558	51016501	1077714
MiSeq_CHYA_chyaD.2.1.Fltr04.6.recode.vcf	6	recode	608	12482		12482	0	0	436715	0	0	60608425	69054305	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaD.2.1.Fltr14.7.recode.vcf	7	recode	608	12482		12482	0	0	436715	0	0	87791556	41871174	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaD.2.1.Fltr16.8.recode.vcf	8	recode	576	12482		12482	0	0	436715	0	0	75754867	40598488	24711606	34753229	27558305	47131047	1040298
MiSeq_CHYA_chyaD.2.1.Fltr07.9.vcf	9	vcf	576	12383		12383	0	0	254895	0	0	45455784	24396463	14663179	20160894	15598835	25955453	588912
MiSeq_CHYA_chyaD.2.1.Fltr15.10.recode.vcf	10	recode	576	9490		9490	0	0	28410	0	0	5403489	2762359	1611005	2165469	1635910	2706811	79117
MiSeq_CHYA_chyaD.2.1.Fltr06.11.vcf	11	vcf	576	9479		9479	0	0	28054	0	0	5363226	2714370	1582226	2136139	1618732	2673301	71110
MiSeq_CHYA_chyaD.2.1.Fltr06.11.Fltr86.rmCONTIGS.12.vcf	11	Fltr86	576	9304		9304	0	0	27378	0	0	5261869	2631739	1535949	2084452	1584097	2609030	62592
MiSeq_CHYA_chyaD.2.1.Fltr11.13.vcf	13	vcf	576	9304		9304	0	0	27365	0	0	5259569	2629887	1534946	2083410	1583635	2608243	62550
MiSeq_CHYA_chyaD.2.1.Fltr09.14.vcf	14	vcf	576	9245		9245	0	0	26892	0	0	5160362	2586133	1509587	2050167	1557909	2564729	60905
