File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaE.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaE.2.1.Fltr16.2.recode.vcf	2	recode	608	19862		19834	10524	14168	725840	17000	28304	127745501	137942633	42993054	55800334	40446699	64136471	1347509
MiSeq_CHYA_chyaE.2.1.Fltr01.3.recode.vcf	3	recode	608	19840		19817	7529	8994	623466	9984	12502	106842563	117081407	36087481	46476262	33463137	52968344	1130470
MiSeq_CHYA_chyaE.2.1.Fltr02.4.recode.vcf	4	recode	608	19817		19817	0	0	623240	0	0	102533420	112347061	34706544	44777817	32294043	51181765	1089270
MiSeq_CHYA_chyaE.2.1.Fltr03.5.recode.vcf	5	recode	608	19816		19816	0	0	622412	0	0	102456369	112246464	34667049	44719841	32242558	51016501	1077714
MiSeq_CHYA_chyaE.2.1.Fltr04.6.recode.vcf	6	recode	608	12482		12482	0	0	436715	0	0	60608425	69054305	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaE.2.1.Fltr14.7.recode.vcf	7	recode	608	12482		12482	0	0	436715	0	0	87791556	41871174	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaE.2.1.Fltr05.8.recode.vcf	8	recode	608	10896		10896	0	0	384836	0	0	70252515	37086995	22944866	32465245	25871957	44420043	938667
MiSeq_CHYA_chyaE.2.1.Fltr07.9.vcf	9	vcf	608	10819		10819	0	0	223437	0	0	41707836	22272911	13598840	18789386	14591101	24358794	530828
MiSeq_CHYA_chyaE.2.1.Fltr15.10.recode.vcf	10	recode	608	8186		8186	0	0	23593	0	0	4526253	2403870	1444682	1955615	1483707	2460175	70242
MiSeq_CHYA_chyaE.2.1.Fltr06.11.vcf	11	vcf	608	8177		8177	0	0	23242	0	0	4482696	2354525	1414942	1924874	1465619	2426273	62207
MiSeq_CHYA_chyaE.2.1.Fltr06.11.Fltr86.rmCONTIGS.12.vcf	11	Fltr86	608	8012		8012	0	0	22615	0	0	4384530	2274253	1369387	1873452	1431016	2363494	53788
MiSeq_CHYA_chyaE.2.1.Fltr11.13.vcf	13	vcf	608	8012		8012	0	0	22604	0	0	4382678	2272594	1368394	1872441	1430593	2362780	53752
MiSeq_CHYA_chyaE.2.1.Fltr09.14.vcf	14	vcf	608	7962		7962	0	0	22235	0	0	4306652	2236444	1346457	1843793	1408391	2324871	52272
MiSeq_CHYA_chyaE.2.1.Fltr08.15.vcf	15	vcf	608	7961		7961	0	0	22229	0	0	4305650	2235819	1346067	1843195	1407944	2324289	52268
MiSeq_CHYA_chyaE.2.1.Fltr10.16.vcf	16	vcf	608	7935		7935	0	0	22115	0	0	4282054	2224401	1338659	1833902	1401097	2313821	51986
MiSeq_CHYA_chyaE.2.1.Fltr04.17.recode.vcf	17	recode	608	7935		7935	0	0	22115	0	0	4282054	2224401	1338659	1833902	1401097	2313821	51986
MiSeq_CHYA_chyaE.2.1.Fltr13.18.recode.vcf	18	recode	608	7656		7656	0	0	21265	0	0	4196837	2172953	1304899	1776731	1344884	2093941	38875
MiSeq_CHYA_chyaE.2.1.Fltr13.18.recode.Fltr86.rmCONTIGS.19.vcf	18	recode	608	7404		7404	0	0	20631	0	0	4070754	2109846	1268475	1728422	1305873	2023006	37272
MiSeq_CHYA_chyaE.2.1.Fltr07.20.vcf	20	vcf	608	7404		7404	0	0	20631	0	0	4070754	2109846	1268475	1728422	1305873	2023006	37272
MiSeq_CHYA_chyaE.2.1.Fltr041.21.vcf	21	vcf	608	7182		7182	0	0	20053	0	0	3949211	2034312	1233283	1687914	1282116	1970548	34840
MiSeq_CHYA_chyaE.2.1.Fltr32.22.vcf	22	vcf	608	7164		7164	0	0	19945	0	0	3935787	2020518	1224199	1676723	1275717	1959780	33836
MiSeq_CHYA_chyaE.2.1.Fltr181.23.HWE.recode.vcf	23	HWE	608	2054		2054	0	0	3840	0	0	633926	409137	253981	340310	260019	428760	8587
MiSeq_CHYA_chyaE.2.1.Fltr181.23.SITES.NOT.IN.HWE.vcf	23	SITES	608	6039		6039	0	0	16105	0	0	3301861	1611381	970218	1336413	1015698	1531020	25249
MiSeq_CHYA_chyaE.2.1.Fltr181.23.CONTIGS.NOT.IN.HWE.vcf	23	CONTIGS	608	6251		6251	0	0	18201	0	0	3659536	1844550	1109975	1518881	1151657	1751484	30125
MiSeq_CHYA_chyaE.2.1.Fltr181.23.CONTIGS.IN.HWE.vcf	23	CONTIGS	608	913		913	0	0	1744	0	0	276251	175968	114224	157842	124060	208296	3711
MiSeq_CHYA_chyaE.2.1.Fltr16.24.recode.vcf	24	recode	542	913		913	0	0	1744	0	0	185417	164069	110527	152787	121694	207043	3711
MiSeq_CHYA_chyaE.2.1.Fltr05.25.recode.vcf	25	recode	542	704		704	0	0	1384	0	0	107785	122552	92304	131443	109017	184510	2517
MiSeq_CHYA_chyaE.2.1.Fltr05.25.recode.Fltr86.rmCONTIGS.26.vcf	25	recode	542	691		691	0	0	1363	0	0	104984	120257	91080	129782	107770	182415	2458
MiSeq_CHYA_chyaE.2.1.Fltr16.27.recode.vcf	27	recode	523	691		691	0	0	1363	0	0	87261	115152	90150	128919	107191	181720	2456
MiSeq_CHYA_chyaE.2.1.Fltr05.28.recode.vcf	28	recode	523	646		646	0	0	1273	0	0	74703	104690	85215	122832	102681	173417	2241
MiSeq_CHYA_chyaE.2.1.Fltr05.28.recode.Fltr86.rmCONTIGS.29.vcf	28	recode	523	635		635	0	0	1257	0	0	73074	102875	84146	121626	101716	171767	2207
MiSeq_CHYA_chyaE.2.1.Fltr16.30.recode.vcf	30	recode	502	635		635	0	0	1257	0	0	58649	95944	82428	120445	100895	170454	2199
MiSeq_CHYA_chyaE.2.1.Fltr05.31.recode.vcf	31	recode	502	583		583	0	0	1145	0	0	46397	84296	76449	113379	94955	157427	1887
MiSeq_CHYA_chyaE.2.1.Fltr05.31.recode.Fltr86.rmCONTIGS.32.vcf	31	recode	502	570		570	0	0	1117	0	0	43849	80312	74553	111492	93322	155428	1778
MiSeq_CHYA_chyaE.2.1.Fltr16.33.recode.vcf	33	recode	489	570		570	0	0	1117	0	0	37368	75528	73108	110592	92933	154917	1767
MiSeq_CHYA_chyaE.2.1.Fltr05.34.recode.vcf	34	recode	489	521		521	0	0	1014	0	0	28750	65126	66421	103001	87104	143853	1591
MiSeq_CHYA_chyaE.2.1.Fltr05.34.recode.Fltr86.rmCONTIGS.35.vcf	34	recode	489	513		513	0	0	995	0	0	27813	63150	65094	101292	85874	141801	1531
MiSeq_CHYA_chyaE.2.1.Fltr01.36.recode.vcf	36	recode	489	513		513	0	0	995	0	0	27813	63150	65094	101292	85874	141801	1531
MiSeq_CHYA_chyaE.2.1.Fltr21.37.MostInformativeSNP.vcf	37	MostInformativeSNP	489	513		513	0	0	513	0	0	14605	32801	32987	52301	44134	73198	831
