File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaF.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaF.2.1.Fltr16.2.recode.vcf	2	recode	608	19862		19834	10524	14168	725840	17000	28304	127745501	137942633	42993054	55800334	40446699	64136471	1347509
MiSeq_CHYA_chyaF.2.1.Fltr01.3.recode.vcf	3	recode	608	19840		19817	7529	8994	623466	9984	12502	106842563	117081407	36087481	46476262	33463137	52968344	1130470
MiSeq_CHYA_chyaF.2.1.Fltr02.4.recode.vcf	4	recode	608	19817		19817	0	0	623240	0	0	102533420	112347061	34706544	44777817	32294043	51181765	1089270
MiSeq_CHYA_chyaF.2.1.Fltr03.5.recode.vcf	5	recode	608	19816		19816	0	0	622412	0	0	102456369	112246464	34667049	44719841	32242558	51016501	1077714
MiSeq_CHYA_chyaF.2.1.Fltr04.6.recode.vcf	6	recode	608	12482		12482	0	0	436715	0	0	60608425	69054305	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaF.2.1.Fltr14.7.recode.vcf	7	recode	608	12482		12482	0	0	436715	0	0	87791556	41871174	25044639	35017594	27609946	47147504	1040307
MiSeq_CHYA_chyaF.2.1.Fltr05.8.recode.vcf	8	recode	608	10896		10896	0	0	384836	0	0	70252515	37086995	22944866	32465245	25871957	44420043	938667
MiSeq_CHYA_chyaF.2.1.Fltr07.9.vcf	9	vcf	608	10819		10819	0	0	223437	0	0	41707836	22272911	13598840	18789386	14591101	24358794	530828
MiSeq_CHYA_chyaF.2.1.Fltr15.10.recode.vcf	10	recode	608	8186		8186	0	0	23593	0	0	4526253	2403870	1444682	1955615	1483707	2460175	70242
MiSeq_CHYA_chyaF.2.1.Fltr06.11.vcf	11	vcf	608	8177		8177	0	0	23242	0	0	4482696	2354525	1414942	1924874	1465619	2426273	62207
MiSeq_CHYA_chyaF.2.1.Fltr06.11.Fltr86.rmCONTIGS.12.vcf	11	Fltr86	608	8012		8012	0	0	22615	0	0	4384530	2274253	1369387	1873452	1431016	2363494	53788
MiSeq_CHYA_chyaF.2.1.Fltr11.13.vcf	13	vcf	608	8012		8012	0	0	22604	0	0	4382678	2272594	1368394	1872441	1430593	2362780	53752
MiSeq_CHYA_chyaF.2.1.Fltr09.14.vcf	14	vcf	608	7962		7962	0	0	22235	0	0	4306652	2236444	1346457	1843793	1408391	2324871	52272
MiSeq_CHYA_chyaF.2.1.Fltr08.15.vcf	15	vcf	608	7961		7961	0	0	22229	0	0	4305650	2235819	1346067	1843195	1407944	2324289	52268
MiSeq_CHYA_chyaF.2.1.Fltr10.16.vcf	16	vcf	608	7935		7935	0	0	22115	0	0	4282054	2224401	1338659	1833902	1401097	2313821	51986
MiSeq_CHYA_chyaF.2.1.Fltr04.17.recode.vcf	17	recode	608	7935		7935	0	0	22115	0	0	4282054	2224401	1338659	1833902	1401097	2313821	51986
MiSeq_CHYA_chyaF.2.1.Fltr13.18.recode.vcf	18	recode	608	7656		7656	0	0	21265	0	0	4196837	2172953	1304899	1776731	1344884	2093941	38875
MiSeq_CHYA_chyaF.2.1.Fltr13.18.recode.Fltr86.rmCONTIGS.19.vcf	18	recode	608	7404		7404	0	0	20631	0	0	4070754	2109846	1268475	1728422	1305873	2023006	37272
MiSeq_CHYA_chyaF.2.1.Fltr07.20.vcf	20	vcf	608	7404		7404	0	0	20631	0	0	4070754	2109846	1268475	1728422	1305873	2023006	37272
MiSeq_CHYA_chyaF.2.1.Fltr041.21.vcf	21	vcf	608	7182		7182	0	0	20053	0	0	3949211	2034312	1233283	1687914	1282116	1970548	34840
MiSeq_CHYA_chyaF.2.1.Fltr32.22.vcf	22	vcf	608	7164		7164	0	0	19945	0	0	3935787	2020518	1224199	1676723	1275717	1959780	33836
MiSeq_CHYA_chyaF.2.1.Fltr16.23.recode.vcf	23	recode	529	7164		7164	0	0	19945	0	0	2652605	1862970	1182020	1624101	1249423	1945972	33814
MiSeq_CHYA_chyaF.2.1.Fltr05.24.recode.vcf	24	recode	529	4702		4702	0	0	12290	0	0	1120657	1112060	800196	1126789	899592	1422466	19650
MiSeq_CHYA_chyaF.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	529	4254		4254	0	0	11081	0	0	983304	985812	722642	1025550	821918	1305266	17357
MiSeq_CHYA_chyaF.2.1.Fltr16.26.recode.vcf	26	recode	513	4254		4254	0	0	11081	0	0	866940	951136	715981	1018194	816149	1298833	17320
MiSeq_CHYA_chyaF.2.1.Fltr05.27.recode.vcf	27	recode	513	3820		3820	0	0	9787	0	0	689388	824359	642424	920253	743245	1185722	15340
MiSeq_CHYA_chyaF.2.1.Fltr05.27.recode.Fltr86.rmCONTIGS.28.vcf	27	recode	513	3639		3639	0	0	9328	0	0	643245	776400	611531	881870	714975	1142579	14664
MiSeq_CHYA_chyaF.2.1.Fltr16.29.recode.vcf	29	recode	493	3639		3639	0	0	9328	0	0	541031	722264	595904	874023	711786	1139081	14615
MiSeq_CHYA_chyaF.2.1.Fltr05.30.recode.vcf	30	recode	493	3184		3184	0	0	8115	0	0	410754	601442	525689	785857	642015	1022343	12595
MiSeq_CHYA_chyaF.2.1.Fltr05.30.recode.Fltr86.rmCONTIGS.31.vcf	30	recode	493	2996		2996	0	0	7691	0	0	379547	562581	497946	748200	612581	978862	11946
MiSeq_CHYA_chyaF.2.1.Fltr16.32.recode.vcf	32	recode	479	2996		2996	0	0	7691	0	0	332780	528951	486462	741277	609440	973259	11820
MiSeq_CHYA_chyaF.2.1.Fltr05.33.recode.vcf	33	recode	479	2547		2547	0	0	6387	0	0	227792	415258	407404	636693	526355	835884	9987
MiSeq_CHYA_chyaF.2.1.Fltr05.33.recode.Fltr86.rmCONTIGS.34.vcf	33	recode	479	2371		2371	0	0	5979	0	0	206584	381944	380091	598249	495985	791497	9591
MiSeq_CHYA_chyaF.2.1.Fltr16.35.recode.vcf	35	recode	458	2371		2371	0	0	5979	0	0	164119	335867	360266	589155	493194	786325	9456
