File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaG.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaG.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaG.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaG.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaG.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaG.2.1.Fltr04.6.recode.vcf	6	recode	593	12668		12668	0	0	443177	0	0	56560880	69465920	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaG.2.1.Fltr14.7.recode.vcf	7	recode	593	12668		12668	0	0	443177	0	0	83759970	42266830	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaG.2.1.Fltr05.8.recode.vcf	8	recode	593	8877		8877	0	0	316431	0	0	47008598	30411046	19454346	27832881	22596722	39533672	806318
MiSeq_CHYA_chyaG.2.1.Fltr07.9.vcf	9	vcf	593	8814		8814	0	0	180633	0	0	27423641	18059780	11399310	15883988	12556636	21343355	448659
MiSeq_CHYA_chyaG.2.1.Fltr15.10.recode.vcf	10	recode	593	6527		6527	0	0	18117	0	0	2764601	1861181	1162202	1586777	1227533	2081279	59808
MiSeq_CHYA_chyaG.2.1.Fltr06.11.vcf	11	vcf	593	6518		6518	0	0	17787	0	0	2729549	1815957	1134046	1557414	1210208	2048483	52034
MiSeq_CHYA_chyaG.2.1.Fltr06.11.Fltr86.rmCONTIGS.12.vcf	11	Fltr86	593	6379		6379	0	0	17257	0	0	2663092	1749243	1093603	1511991	1179572	1991799	44101
MiSeq_CHYA_chyaG.2.1.Fltr11.13.vcf	13	vcf	593	6379		6379	0	0	17249	0	0	2662155	1747885	1092739	1511195	1179295	1991321	44067
MiSeq_CHYA_chyaG.2.1.Fltr09.14.vcf	14	vcf	593	6345		6345	0	0	16998	0	0	2621855	1721948	1076714	1490495	1163149	1962817	42836
MiSeq_CHYA_chyaG.2.1.Fltr08.15.vcf	15	vcf	593	6345		6345	0	0	16993	0	0	2621201	1721516	1076360	1489943	1162717	1962280	42832
MiSeq_CHYA_chyaG.2.1.Fltr10.16.vcf	16	vcf	593	6326		6326	0	0	16921	0	0	2610246	1713594	1070961	1483461	1158136	1955157	42598
MiSeq_CHYA_chyaG.2.1.Fltr04.17.recode.vcf	17	recode	593	6326		6326	0	0	16921	0	0	2610246	1713594	1070961	1483461	1158136	1955157	42598
MiSeq_CHYA_chyaG.2.1.Fltr13.18.recode.vcf	18	recode	593	6010		6010	0	0	16003	0	0	2527116	1659041	1034521	1421914	1098069	1720019	29099
MiSeq_CHYA_chyaG.2.1.Fltr13.18.recode.Fltr86.rmCONTIGS.19.vcf	18	recode	593	5813		5813	0	0	15511	0	0	2450435	1609305	1003816	1380568	1064550	1661410	27939
MiSeq_CHYA_chyaG.2.1.Fltr07.20.vcf	20	vcf	593	5813		5813	0	0	15511	0	0	2450435	1609305	1003816	1380568	1064550	1661410	27939
MiSeq_CHYA_chyaG.2.1.Fltr041.21.vcf	21	vcf	593	5640		5640	0	0	15080	0	0	2373267	1551329	976792	1348745	1045575	1621260	25472
MiSeq_CHYA_chyaG.2.1.Fltr32.22.vcf	22	vcf	593	5620		5620	0	0	14964	0	0	2360269	1537063	967186	1336604	1038723	1609395	24412
MiSeq_CHYA_chyaG.2.1.Fltr16.23.recode.vcf	23	recode	532	5620		5620	0	0	14964	0	0	1628971	1430648	941472	1308230	1025327	1601797	24403
MiSeq_CHYA_chyaG.2.1.Fltr05.24.recode.vcf	24	recode	532	4651		4651	0	0	12151	0	0	1127594	1114476	794833	1115081	889984	1403289	19075
MiSeq_CHYA_chyaG.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	532	4327		4327	0	0	11265	0	0	1019832	1015711	738520	1043516	835007	1322963	17431
MiSeq_CHYA_chyaG.2.1.Fltr16.26.recode.vcf	26	recode	513	4327		4327	0	0	11265	0	0	879848	969948	730444	1035912	829089	1316305	17399
MiSeq_CHYA_chyaG.2.1.Fltr05.27.recode.vcf	27	recode	513	3922		3922	0	0	10021	0	0	709990	846974	659200	941540	759270	1208263	15536
MiSeq_CHYA_chyaG.2.1.Fltr05.27.recode.Fltr86.rmCONTIGS.28.vcf	27	recode	513	3743		3743	0	0	9566	0	0	664184	799409	628221	903774	731766	1165154	14850
MiSeq_CHYA_chyaG.2.1.Fltr16.29.recode.vcf	29	recode	493	3743		3743	0	0	9566	0	0	559087	744345	612339	895771	728408	1161285	14803
MiSeq_CHYA_chyaG.2.1.Fltr05.30.recode.vcf	30	recode	493	3263		3263	0	0	8286	0	0	421636	616753	537999	802241	654575	1039063	12731
MiSeq_CHYA_chyaG.2.1.Fltr05.30.recode.Fltr86.rmCONTIGS.31.vcf	30	recode	493	3070		3070	0	0	7847	0	0	389316	576213	508973	763125	624174	994645	12125
MiSeq_CHYA_chyaG.2.1.Fltr16.32.recode.vcf	32	recode	479	3070		3070	0	0	7847	0	0	341543	541919	497358	756091	620988	988816	11998
MiSeq_CHYA_chyaG.2.1.Fltr05.33.recode.vcf	33	recode	479	2599		2599	0	0	6495	0	0	232664	423904	415147	647333	534698	847261	10098
MiSeq_CHYA_chyaG.2.1.Fltr05.33.recode.Fltr86.rmCONTIGS.34.vcf	33	recode	479	2415		2415	0	0	6071	0	0	210803	389156	386539	607298	503282	801283	9648
MiSeq_CHYA_chyaG.2.1.Fltr16.35.recode.vcf	35	recode	459	2415		2415	0	0	6071	0	0	169528	344800	367604	598759	500460	795938	9500
MiSeq_CHYA_chyaG.2.1.Fltr01.36.recode.vcf	36	recode	459	2415		2415	0	0	6071	0	0	169528	344800	367604	598759	500460	795938	9500
MiSeq_CHYA_chyaG.2.1.Fltr21.37.MostInformativeSNP.vcf	37	MostInformativeSNP	459	2415		2415	0	0	2415	0	0	66668	136563	144626	237662	200748	318591	3627
