File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaI.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaI.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaI.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaI.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaI.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaI.2.1.Fltr04.6.recode.vcf	6	recode	593	12668		12668	0	0	443177	0	0	56560880	69465920	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaI.2.1.Fltr14.7.recode.vcf	7	recode	593	12668		12668	0	0	443177	0	0	83759970	42266830	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaI.2.1.Fltr05.8.recode.vcf	8	recode	593	8877		8877	0	0	316431	0	0	47008598	30411046	19454346	27832881	22596722	39533672	806318
MiSeq_CHYA_chyaI.2.1.Fltr07.9.vcf	9	vcf	593	8814		8814	0	0	180633	0	0	27423641	18059780	11399310	15883988	12556636	21343355	448659
MiSeq_CHYA_chyaI.2.1.Fltr15.10.recode.vcf	10	recode	593	6527		6527	0	0	18117	0	0	2764601	1861181	1162202	1586777	1227533	2081279	59808
MiSeq_CHYA_chyaI.2.1.Fltr32.11.vcf	11	vcf	593	6403		6403	0	0	17344	0	0	2681275	1768164	1104071	1517575	1182909	1985963	45035
MiSeq_CHYA_chyaI.2.1.Fltr06.12.vcf	12	vcf	593	6285		6285	0	0	16226	0	0	2522349	1630976	1019385	1419753	1118299	1875860	35396
MiSeq_CHYA_chyaI.2.1.Fltr06.12.Fltr86.rmCONTIGS.13.vcf	12	Fltr86	593	5895		5895	0	0	15167	0	0	2353159	1518632	948440	1327004	1049864	1765040	31892
MiSeq_CHYA_chyaI.2.1.Fltr11.14.vcf	14	vcf	593	5895		5895	0	0	15167	0	0	2353159	1518632	948440	1327004	1049864	1765040	31892
MiSeq_CHYA_chyaI.2.1.Fltr09.15.vcf	15	vcf	593	5864		5864	0	0	15032	0	0	2329602	1506613	940598	1315744	1040664	1749167	31588
MiSeq_CHYA_chyaI.2.1.Fltr08.16.vcf	16	vcf	593	5864		5864	0	0	15029	0	0	2329122	1506330	940366	1315383	1040441	1748967	31588
MiSeq_CHYA_chyaI.2.1.Fltr10.17.vcf	17	vcf	593	5849		5849	0	0	14988	0	0	2322089	1502420	937682	1311953	1037687	1744570	31483
MiSeq_CHYA_chyaI.2.1.Fltr04.18.recode.vcf	18	recode	593	5849		5849	0	0	14988	0	0	2322089	1502420	937682	1311953	1037687	1744570	31483
MiSeq_CHYA_chyaI.2.1.Fltr13.19.recode.vcf	19	recode	593	5583		5583	0	0	14293	0	0	2258475	1461275	910997	1267632	992607	1561326	23437
MiSeq_CHYA_chyaI.2.1.Fltr13.19.recode.Fltr86.rmCONTIGS.20.vcf	19	recode	593	5435		5435	0	0	13928	0	0	2201830	1425345	888479	1237156	967318	1516453	22723
MiSeq_CHYA_chyaI.2.1.Fltr07.21.vcf	21	vcf	593	5435		5435	0	0	13928	0	0	2201830	1425345	888479	1237156	967318	1516453	22723
MiSeq_CHYA_chyaI.2.1.Fltr041.22.vcf	22	vcf	593	5274		5274	0	0	13572	0	0	2135967	1378302	867269	1211018	951950	1482685	21005
MiSeq_CHYA_chyaI.2.1.Fltr16.23.recode.vcf	23	recode	532	5274		5274	0	0	13572	0	0	1462634	1284035	846268	1188457	941355	1476555	21000
MiSeq_CHYA_chyaI.2.1.Fltr05.24.recode.vcf	24	recode	532	4386		4386	0	0	11112	0	0	1024866	1009244	718775	1019313	821368	1301425	16593
MiSeq_CHYA_chyaI.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	532	4097		4097	0	0	10366	0	0	933928	926755	671619	959028	775005	1233028	15349
MiSeq_CHYA_chyaI.2.1.Fltr16.26.recode.vcf	26	recode	511	4097		4097	0	0	10366	0	0	791405	878802	663721	951816	769417	1226548	15317
MiSeq_CHYA_chyaI.2.1.Fltr05.27.recode.vcf	27	recode	511	3712		3712	0	0	9238	0	0	638420	765890	599836	867239	706108	1129495	13630
MiSeq_CHYA_chyaI.2.1.Fltr05.27.recode.Fltr86.rmCONTIGS.28.vcf	27	recode	511	3564		3564	0	0	8848	0	0	598779	725863	574430	835288	682527	1091430	13011
MiSeq_CHYA_chyaI.2.1.Fltr16.29.recode.vcf	29	recode	494	3564		3564	0	0	8848	0	0	515870	680758	561634	829756	680513	1089377	13004
MiSeq_CHYA_chyaI.2.1.Fltr05.30.recode.vcf	30	recode	494	3097		3097	0	0	7637	0	0	385731	562227	492211	741085	609945	970409	11070
MiSeq_CHYA_chyaI.2.1.Fltr05.30.recode.Fltr86.rmCONTIGS.31.vcf	30	recode	494	2916		2916	0	0	7245	0	0	356131	526007	466659	706277	582809	930602	10545
MiSeq_CHYA_chyaI.2.1.Fltr16.32.recode.vcf	32	recode	478	2916		2916	0	0	7245	0	0	305660	490193	453826	698588	579500	924921	10422
MiSeq_CHYA_chyaI.2.1.Fltr05.33.recode.vcf	33	recode	478	2504		2504	0	0	6116	0	0	215321	391778	386842	609921	507472	803330	8784
MiSeq_CHYA_chyaI.2.1.Fltr05.33.recode.Fltr86.rmCONTIGS.34.vcf	33	recode	478	2339		2339	0	0	5748	0	0	196609	362026	362032	575164	479839	763432	8442
MiSeq_CHYA_chyaI.2.1.Fltr16.35.recode.vcf	35	recode	458	2339		2339	0	0	5748	0	0	157823	318896	344066	567420	477333	758733	8313
MiSeq_CHYA_chyaI.2.1.Fltr01.36.recode.vcf	36	recode	458	2339		2339	0	0	5748	0	0	157823	318896	344066	567420	477333	758733	8313
MiSeq_CHYA_chyaI.2.1.Fltr21.37.MostInformativeSNP.vcf	37	MostInformativeSNP	458	2339		2339	0	0	2339	0	0	63925	129934	138860	230030	195320	309830	3363
