File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaJ.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaJ.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaJ.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaJ.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaJ.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaJ.2.1.Fltr04.6.recode.vcf	6	recode	593	2088		2088	0	0	70087	0	0	5046305	7083731	3121767	5145347	5336598	15328123	499720
MiSeq_CHYA_chyaJ.2.1.Fltr14.7.recode.vcf	7	recode	593	2088		2088	0	0	70087	0	0	7656719	4473317	3121767	5145347	5336598	15328123	499720
MiSeq_CHYA_chyaJ.2.1.Fltr05.8.recode.vcf	8	recode	593	2075		2075	0	0	69674	0	0	7550137	4441197	3107719	5127025	5320976	15275478	494150
MiSeq_CHYA_chyaJ.2.1.Fltr07.9.vcf	9	vcf	593	2043		2043	0	0	34673	0	0	3819553	2269032	1581866	2560698	2605532	7459858	264550
MiSeq_CHYA_chyaJ.2.1.Fltr15.10.recode.vcf	10	recode	593	1371		1371	0	0	3662	0	0	391009	263956	183966	279479	265222	748390	39544
MiSeq_CHYA_chyaJ.2.1.Fltr32.11.vcf	11	vcf	593	1293		1293	0	0	3207	0	0	355825	218906	150431	236896	237095	676210	26388
MiSeq_CHYA_chyaJ.2.1.Fltr06.12.vcf	12	vcf	593	1246		1246	0	0	2867	0	0	321893	184179	126404	208045	215865	624929	18816
MiSeq_CHYA_chyaJ.2.1.Fltr06.12.Fltr86.rmCONTIGS.13.vcf	12	Fltr86	593	1187		1187	0	0	2727	0	0	307172	173618	119129	196815	206511	597181	16685
MiSeq_CHYA_chyaJ.2.1.Fltr11.14.vcf	14	vcf	593	1187		1187	0	0	2727	0	0	307172	173618	119129	196815	206511	597181	16685
MiSeq_CHYA_chyaJ.2.1.Fltr09.15.vcf	15	vcf	593	1180		1180	0	0	2703	0	0	304477	172136	118117	195095	204666	591860	16528
MiSeq_CHYA_chyaJ.2.1.Fltr08.16.vcf	16	vcf	593	1180		1180	0	0	2703	0	0	304477	172136	118117	195095	204666	591860	16528
MiSeq_CHYA_chyaJ.2.1.Fltr10.17.vcf	17	vcf	593	1178		1178	0	0	2696	0	0	303780	171420	117567	194619	204200	590686	16456
MiSeq_CHYA_chyaJ.2.1.Fltr04.18.recode.vcf	18	recode	593	1178		1178	0	0	2696	0	0	303780	171420	117567	194619	204200	590686	16456
MiSeq_CHYA_chyaJ.2.1.Fltr13.19.recode.vcf	19	recode	593	909		909	0	0	1999	0	0	239892	130140	90789	150156	159025	407012	8393
MiSeq_CHYA_chyaJ.2.1.Fltr13.19.recode.Fltr86.rmCONTIGS.20.vcf	19	recode	593	861		861	0	0	1911	0	0	229733	124460	86880	144024	152275	387914	7937
MiSeq_CHYA_chyaJ.2.1.Fltr07.21.vcf	21	vcf	593	861		861	0	0	1911	0	0	229733	124460	86880	144024	152275	387914	7937
MiSeq_CHYA_chyaJ.2.1.Fltr041.22.vcf	22	vcf	593	834		834	0	0	1863	0	0	223360	119397	84238	140242	149197	380886	7439
MiSeq_CHYA_chyaJ.2.1.Fltr16.23.recode.vcf	23	recode	538	834		834	0	0	1863	0	0	136204	106029	83129	139798	149009	380686	7439
MiSeq_CHYA_chyaJ.2.1.Fltr05.24.recode.vcf	24	recode	538	821		821	0	0	1836	0	0	131630	104286	82045	138337	147767	376468	7235
MiSeq_CHYA_chyaJ.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	538	792		792	0	0	1761	0	0	125254	99698	78734	132999	142092	361697	6944
MiSeq_CHYA_chyaJ.2.1.Fltr16.26.recode.vcf	26	recode	524	792		792	0	0	1761	0	0	108909	93211	77706	132462	141923	361610	6943
