File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaK.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaK.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaK.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaK.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaK.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaK.2.1.Fltr04.6.recode.vcf	6	recode	593	6847		6847	0	0	244622	0	0	25289040	30789339	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaK.2.1.Fltr14.7.recode.vcf	7	recode	593	6847		6847	0	0	244622	0	0	36699674	19378705	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaK.2.1.Fltr05.8.recode.vcf	8	recode	593	5957		5957	0	0	215088	0	0	28692738	16926049	12030652	18907015	16815659	33415907	759164
MiSeq_CHYA_chyaK.2.1.Fltr07.9.vcf	9	vcf	593	5906		5906	0	0	116339	0	0	15762193	9441775	6672513	10269672	8938753	17486146	417975
MiSeq_CHYA_chyaK.2.1.Fltr15.10.recode.vcf	10	recode	593	4293		4293	0	0	11502	0	0	1551876	976532	677821	1009648	859735	1688794	56280
MiSeq_CHYA_chyaK.2.1.Fltr32.11.vcf	11	vcf	593	4185		4185	0	0	10821	0	0	1486486	898182	626321	947849	818802	1597561	41652
MiSeq_CHYA_chyaK.2.1.Fltr06.12.vcf	12	vcf	593	4094		4094	0	0	10109	0	0	1397364	818527	574491	886900	775302	1509581	32472
MiSeq_CHYA_chyaK.2.1.Fltr06.12.Fltr86.rmCONTIGS.13.vcf	12	Fltr86	593	3879		3879	0	0	9535	0	0	1315654	767108	539455	837536	735039	1430197	29266
MiSeq_CHYA_chyaK.2.1.Fltr11.14.vcf	14	vcf	593	3879		3879	0	0	9535	0	0	1315654	767108	539455	837536	735039	1430197	29266
MiSeq_CHYA_chyaK.2.1.Fltr09.15.vcf	15	vcf	593	3855		3855	0	0	9444	0	0	1300673	760310	534808	830251	728333	1416930	28987
MiSeq_CHYA_chyaK.2.1.Fltr08.16.vcf	16	vcf	593	3855		3855	0	0	9444	0	0	1300673	760310	534808	830251	728333	1416930	28987
MiSeq_CHYA_chyaK.2.1.Fltr10.17.vcf	17	vcf	593	3846		3846	0	0	9417	0	0	1296321	758007	533229	828045	726431	1413364	28884
MiSeq_CHYA_chyaK.2.1.Fltr04.18.recode.vcf	18	recode	593	3846		3846	0	0	9417	0	0	1296321	758007	533229	828045	726431	1413364	28884
MiSeq_CHYA_chyaK.2.1.Fltr13.19.recode.vcf	19	recode	593	3580		3580	0	0	8722	0	0	1232707	716862	506544	783724	681351	1230120	20838
MiSeq_CHYA_chyaK.2.1.Fltr13.19.recode.Fltr86.rmCONTIGS.20.vcf	19	recode	593	3486		3486	0	0	8496	0	0	1201241	699334	494286	765414	663937	1193730	20186
MiSeq_CHYA_chyaK.2.1.Fltr07.21.vcf	21	vcf	593	3486		3486	0	0	8496	0	0	1201241	699334	494286	765414	663937	1193730	20186
