File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaL.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaL.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaL.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaL.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaL.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaL.2.1.Fltr04.6.recode.vcf	6	recode	593	6847		6847	0	0	244622	0	0	25289040	30789339	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaL.2.1.Fltr14.7.recode.vcf	7	recode	593	6847		6847	0	0	244622	0	0	36699674	19378705	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaL.2.1.Fltr05.8.recode.vcf	8	recode	593	5957		5957	0	0	215088	0	0	28692738	16926049	12030652	18907015	16815659	33415907	759164
MiSeq_CHYA_chyaL.2.1.Fltr07.9.vcf	9	vcf	593	5906		5906	0	0	116339	0	0	15762193	9441775	6672513	10269672	8938753	17486146	417975
MiSeq_CHYA_chyaL.2.1.Fltr15.10.recode.vcf	10	recode	593	5838		5838	0	0	67417	0	0	9335557	5540574	3878565	5908398	5107575	9953642	253970
MiSeq_CHYA_chyaL.2.1.Fltr32.11.vcf	11	vcf	593	5808		5808	0	0	67125	0	0	9311791	5504535	3852861	5877951	5090095	9920028	247864
MiSeq_CHYA_chyaL.2.1.Fltr06.12.vcf	12	vcf	593	5718		5718	0	0	60073	0	0	8310908	4852614	3421295	5287362	4618266	8945810	187034
MiSeq_CHYA_chyaL.2.1.Fltr06.12.Fltr86.rmCONTIGS.13.vcf	12	Fltr86	593	2922		2922	0	0	27527	0	0	3475601	2180617	1577027	2490860	2203275	4307299	88832
MiSeq_CHYA_chyaL.2.1.Fltr11.14.vcf	14	vcf	593	2889		2889	0	0	22573	0	0	2843993	1770774	1283656	2042012	1818792	3553889	72673
MiSeq_CHYA_chyaL.2.1.Fltr09.15.vcf	15	vcf	593	2887		2887	0	0	22463	0	0	2826905	1762991	1278161	2033077	1810405	3536792	72228
MiSeq_CHYA_chyaL.2.1.Fltr08.16.vcf	16	vcf	593	2887		2887	0	0	22463	0	0	2826905	1762991	1278161	2033077	1810405	3536792	72228
MiSeq_CHYA_chyaL.2.1.Fltr10.17.vcf	17	vcf	593	2879		2879	0	0	22340	0	0	2808038	1754548	1271984	2022465	1800475	3518182	71928
MiSeq_CHYA_chyaL.2.1.Fltr04.18.recode.vcf	18	recode	593	2879		2879	0	0	22340	0	0	2808038	1754548	1271984	2022465	1800475	3518182	71928
MiSeq_CHYA_chyaL.2.1.Fltr13.19.recode.vcf	19	recode	593	2640		2640	0	0	20288	0	0	2630164	1636534	1193605	1891752	1663754	2967209	47766
MiSeq_CHYA_chyaL.2.1.Fltr13.19.recode.Fltr86.rmCONTIGS.20.vcf	19	recode	593	2357		2357	0	0	18451	0	0	2402048	1493811	1092849	1728582	1514958	2667018	42177
MiSeq_CHYA_chyaL.2.1.Fltr07.21.vcf	21	vcf	593	2357		2357	0	0	18451	0	0	2402048	1493811	1092849	1728582	1514958	2667018	42177
MiSeq_CHYA_chyaL.2.1.Fltr041.22.vcf	22	vcf	593	2285		2285	0	0	18048	0	0	2333155	1444865	1069544	1700952	1496753	2618063	39132
MiSeq_CHYA_chyaL.2.1.Fltr16.23.recode.vcf	23	recode	532	2285		2285	0	0	18048	0	0	1405704	1312790	1054797	1688276	1489083	2611754	39132
MiSeq_CHYA_chyaL.2.1.Fltr05.24.recode.vcf	24	recode	532	2110		2110	0	0	16889	0	0	1201705	1206766	1000086	1613279	1433103	2496169	33840
MiSeq_CHYA_chyaL.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	532	2037		2037	0	0	16364	0	0	1145908	1167941	972961	1570861	1394400	2421246	32331
