File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaH.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaH.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaH.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaH.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaH.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaH.2.1.Fltr04.6.recode.vcf	6	recode	593	12668		12668	0	0	443177	0	0	56560880	69465920	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaH.2.1.Fltr14.7.recode.vcf	7	recode	593	12668		12668	0	0	443177	0	0	83759970	42266830	25314190	35326941	27780418	47313027	1042585
MiSeq_CHYA_chyaH.2.1.Fltr05.8.recode.vcf	8	recode	593	8877		8877	0	0	316431	0	0	47008598	30411046	19454346	27832881	22596722	39533672	806318
MiSeq_CHYA_chyaH.2.1.Fltr07.9.vcf	9	vcf	593	8814		8814	0	0	180633	0	0	27423641	18059780	11399310	15883988	12556636	21343355	448659
MiSeq_CHYA_chyaH.2.1.Fltr15.10.recode.vcf	10	recode	593	6527		6527	0	0	18117	0	0	2764601	1861181	1162202	1586777	1227533	2081279	59808
MiSeq_CHYA_chyaH.2.1.Fltr32.11.vcf	11	vcf	593	6461		6461	0	0	17665	0	0	2721531	1805092	1125056	1543766	1201271	2027662	50967
MiSeq_CHYA_chyaH.2.1.Fltr06.12.vcf	12	vcf	593	6323		6323	0	0	16321	0	0	2535404	1640585	1025408	1427919	1123904	1888537	36596
MiSeq_CHYA_chyaH.2.1.Fltr06.12.Fltr86.rmCONTIGS.13.vcf	12	Fltr86	593	5887		5887	0	0	15147	0	0	2349027	1516383	947541	1325504	1048570	1763236	31910
MiSeq_CHYA_chyaH.2.1.Fltr11.14.vcf	14	vcf	593	5887		5887	0	0	15147	0	0	2349027	1516383	947541	1325504	1048570	1763236	31910
MiSeq_CHYA_chyaH.2.1.Fltr09.15.vcf	15	vcf	593	5856		5856	0	0	15012	0	0	2325470	1504364	939699	1314244	1039370	1747363	31606
MiSeq_CHYA_chyaH.2.1.Fltr08.16.vcf	16	vcf	593	5856		5856	0	0	15009	0	0	2324990	1504081	939467	1313883	1039147	1747163	31606
MiSeq_CHYA_chyaH.2.1.Fltr10.17.vcf	17	vcf	593	5840		5840	0	0	14964	0	0	2317336	1499802	936542	1310006	1035998	1742467	31501
MiSeq_CHYA_chyaH.2.1.Fltr04.18.recode.vcf	18	recode	593	5840		5840	0	0	14964	0	0	2317336	1499802	936542	1310006	1035998	1742467	31501
MiSeq_CHYA_chyaH.2.1.Fltr13.19.recode.vcf	19	recode	593	5573		5573	0	0	14267	0	0	2253577	1458556	909767	1265563	990774	1558659	23435
MiSeq_CHYA_chyaH.2.1.Fltr13.19.recode.Fltr86.rmCONTIGS.20.vcf	19	recode	593	5425		5425	0	0	13902	0	0	2196932	1422626	887249	1235087	965485	1513786	22721
MiSeq_CHYA_chyaH.2.1.Fltr07.21.vcf	21	vcf	593	5425		5425	0	0	13902	0	0	2196932	1422626	887249	1235087	965485	1513786	22721
MiSeq_CHYA_chyaH.2.1.Fltr041.22.vcf	22	vcf	593	5264		5264	0	0	13545	0	0	2131049	1375440	865860	1208813	950048	1479972	21003
MiSeq_CHYA_chyaH.2.1.Fltr16.23.recode.vcf	23	recode	532	5264		5264	0	0	13545	0	0	1459358	1281241	844832	1186239	939431	1473841	20998
MiSeq_CHYA_chyaH.2.1.Fltr05.24.recode.vcf	24	recode	532	4377		4377	0	0	11089	0	0	1022291	1006845	717539	1017405	819736	1298948	16584
MiSeq_CHYA_chyaH.2.1.Fltr05.24.recode.Fltr86.rmCONTIGS.25.vcf	24	recode	532	4087		4087	0	0	10341	0	0	931134	924064	670181	956957	773264	1230472	15340
MiSeq_CHYA_chyaH.2.1.Fltr16.26.recode.vcf	26	recode	511	4087		4087	0	0	10341	0	0	789015	876205	662292	949751	767682	1223998	15308
MiSeq_CHYA_chyaH.2.1.Fltr05.27.recode.vcf	27	recode	511	3703		3703	0	0	9216	0	0	636433	763678	598554	865359	704523	1127204	13625
MiSeq_CHYA_chyaH.2.1.Fltr05.27.recode.Fltr86.rmCONTIGS.28.vcf	27	recode	511	3557		3557	0	0	8832	0	0	597540	724259	573393	833768	681259	1089911	13022
MiSeq_CHYA_chyaH.2.1.Fltr16.29.recode.vcf	29	recode	494	3557		3557	0	0	8832	0	0	514780	679282	560598	828232	679245	1087856	13015
MiSeq_CHYA_chyaH.2.1.Fltr05.30.recode.vcf	30	recode	494	3091		3091	0	0	7623	0	0	384841	560907	491297	739765	608851	969020	11081
MiSeq_CHYA_chyaH.2.1.Fltr05.30.recode.Fltr86.rmCONTIGS.31.vcf	30	recode	494	2911		2911	0	0	7234	0	0	355481	525121	466010	705209	581874	929345	10556
MiSeq_CHYA_chyaH.2.1.Fltr16.32.recode.vcf	32	recode	478	2911		2911	0	0	7234	0	0	305095	489375	453176	697536	578572	923665	10433
MiSeq_CHYA_chyaH.2.1.Fltr05.33.recode.vcf	33	recode	478	2502		2502	0	0	6109	0	0	215068	391355	386418	609141	506819	802502	8799
MiSeq_CHYA_chyaH.2.1.Fltr05.33.recode.Fltr86.rmCONTIGS.34.vcf	33	recode	478	2338		2338	0	0	5742	0	0	196419	361740	361709	574462	479242	762647	8457
MiSeq_CHYA_chyaH.2.1.Fltr16.35.recode.vcf	35	recode	458	2338		2338	0	0	5742	0	0	157687	318677	343757	566703	476749	757935	8328
MiSeq_CHYA_chyaH.2.1.Fltr01.36.recode.vcf	36	recode	458	2338		2338	0	0	5742	0	0	157687	318677	343757	566703	476749	757935	8328
MiSeq_CHYA_chyaH.2.1.Fltr21.37.MostInformativeSNP.vcf	37	MostInformativeSNP	458	2338		2338	0	0	2338	0	0	63826	129859	138785	229930	195251	309777	3376
