File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
NovaSeq_A.20.10.Fltr01.1.recode.vcf	1	recode	778	30233		30156	11798	12706	875985	15861	17350	313833514	177226860	50169367	63006951	42917013	61497509	1206878
NovaSeq_A.20.10.Fltr02.2.recode.vcf	2	recode	778	30156		30156	0	0	875755	0	0	299516722	170325876	48364241	60853396	41522533	59586861	1167761
NovaSeq_A.20.10.Fltr03.3.recode.vcf	3	recode	778	30154		30154	0	0	875438	0	0	299390644	170274166	48350166	60836065	41510469	59563016	1166238
NovaSeq_A.20.10.Fltr04.4.recode.vcf	4	recode	778	19041		19041	0	0	696554	0	0	199136079	144618545	43639650	56315828	39308262	57743643	1157005
NovaSeq_A.20.10.Fltr14.5.recode.vcf	5	recode	778	19041		19041	0	0	696554	0	0	343754624	0	43639650	56315828	39308262	57743643	1157005
NovaSeq_A.20.10.Fltr07.6.vcf	6	vcf	778	19041		19041	0	0	695928	0	0	343385954	0	43613082	56281351	39284176	57710995	1156426
NovaSeq_A.20.10.Fltr05.7.recode.vcf	7	recode	778	3553		3553	0	0	157336	0	0	48708026	0	11951419	19257382	15761159	26315697	413725
NovaSeq_A.20.10.Fltr16.8.recode.vcf	8	recode	610	3553		3553	0	0	157336	0	0	23602857	0	11201455	18947370	15617613	26194292	411373
NovaSeq_A.20.10.Fltr17.9.recode.vcf	9	recode	610	3542		3542	0	0	157080	0	0	23521367	0	11176110	18927122	15605808	26180808	407585
NovaSeq_A.20.10.Fltr15.10.recode.vcf	10	recode	610	3542		3542	0	0	157080	0	0	23521367	0	11176110	18927122	15605808	26180808	407585
NovaSeq_A.20.10.Fltr06.11.vcf	11	vcf	610	3537		3537	0	0	134353	0	0	19960673	0	9543085	16180910	13381097	22546681	342884
NovaSeq_A.20.10.Fltr09.12.vcf	12	vcf	610	3537		3537	0	0	134208	0	0	19937241	0	9534310	16164343	13366455	22521981	342550
NovaSeq_A.20.10.Fltr08.13.vcf	13	vcf	610	3530		3530	0	0	134158	0	0	19928078	0	9529604	16157309	13361930	22517126	342333
NovaSeq_A.20.10.Fltr10.14.vcf	14	vcf	610	3523		3523	0	0	133755	0	0	19853282	0	9497334	16109801	13329234	22460447	340452
NovaSeq_A.20.10.Fltr13.15.recode.vcf	15	recode	610	3513		3513	0	0	133114	0	0	19807797	0	9480175	16067873	13281495	22236207	325993
NovaSeq_A.20.10.Fltr05.16.recode.vcf	16	recode	610	2327		2327	0	0	89704	0	0	10836932	0	6147048	11345148	9809313	16358837	222162
NovaSeq_A.20.10.Fltr16.17.recode.vcf	17	recode	508	2327		2327	0	0	89704	0	0	5457824	0	4388379	10018466	9411776	16074415	218772
NovaSeq_A.20.10.Fltr07.18.vcf	18	vcf	508	2327		2327	0	0	88663	0	0	5391559	0	4335745	9908719	9309829	15879416	215536
NovaSeq_A.20.10.Fltr041.19.vcf	19	vcf	508	2264		2264	0	0	87404	0	0	5293180	0	4248657	9754297	9213527	15685359	206212
NovaSeq_A.20.10.Fltr32.20.vcf	20	vcf	508	2264		2264	0	0	87404	0	0	5293180	0	4248657	9754297	9213527	15685359	206212
NovaSeq_A.20.10.Fltr18.21.HWE.recode.vcf	21	HWE	508	2261		2261	0	0	74995	0	0	4444805	0	3666497	8349782	7889282	13567187	179907
NovaSeq_A.20.10.Fltr21.22.MostInformativeSNP.vcf	22	MostInformativeSNP	508	2261		2261	0	0	2261	0	0	142675	0	114298	251091	233572	401527	5425
