file,mapped_reads
COPE_0469.fp2.repr.10.1-RAW.bam,1452419
COPE_0470.fp2.repr.10.1-RAW.bam,7087120
COPE_0471.fp2.repr.10.1-RAW.bam,5180549
COPE_0472.fp2.repr.10.1-RAW.bam,1014511
COPE_0473.fp2.repr.10.1-RAW.bam,1170166
COPE_0474.fp2.repr.10.1-RAW.bam,21049260
COPE_0475.fp2.repr.10.1-RAW.bam,19270579
COPE_0476.fp2.repr.10.1-RAW.bam,20541043
COPE_0477.fp2.repr.10.1-RAW.bam,2216635
COPE_0478.fp2.repr.10.1-RAW.bam,2678455
COPE_0479.fp2.repr.10.1-RAW.bam,5459449
COPE_0480.fp2.repr.10.1-RAW.bam,803638
COPE_0481.fp2.repr.10.1-RAW.bam,10902867
COPE_0482.fp2.repr.10.1-RAW.bam,13856922
COPE_0483.fp2.repr.10.1-RAW.bam,7790508
COPE_0484.fp2.repr.10.1-RAW.bam,4100905
COPE_0485.fp2.repr.10.1-RAW.bam,1924449
COPE_0486.fp2.repr.10.1-RAW.bam,2531727
COPE_0487.fp2.repr.10.1-RAW.bam,2133344
COPE_0488.fp2.repr.10.1-RAW.bam,5924000
COPE_0489.fp2.repr.10.1-RAW.bam,281170
COPE_0490.fp2.repr.10.1-RAW.bam,143795
COPE_0491.fp2.repr.10.1-RAW.bam,7559584
COPE_0492.fp2.repr.10.1-RAW.bam,4336409
COPE_0493.fp2.repr.10.1-RAW.bam,5423131
COPE_0494.fp2.repr.10.1-RAW.bam,4824914
COPE_0495.fp2.repr.10.1-RAW.bam,6796020
COPE_0496.fp2.repr.10.1-RAW.bam,944450
COPE_0497.fp2.repr.10.1-RAW.bam,2871747
COPE_0498.fp2.repr.10.1-RAW.bam,18093256
COPE_0499.fp2.repr.10.1-RAW.bam,42904677
COPE_0500.fp2.repr.10.1-RAW.bam,2123009
COPE_0501.fp2.repr.10.1-RAW.bam,2207083
COPE_0502.fp2.repr.10.1-RAW.bam,59885
COPE_0503.fp2.repr.10.1-RAW.bam,2831652
COPE_0504.fp2.repr.10.1-RAW.bam,7130747
COPE_0505.fp2.repr.10.1-RAW.bam,7255264
COPE_0506.fp2.repr.10.1-RAW.bam,2796427
COPE_0507.fp2.repr.10.1-RAW.bam,7303285
COPE_0508.fp2.repr.10.1-RAW.bam,14414025
COPE_0509.fp2.repr.10.1-RAW.bam,1405493
COPE_0510.fp2.repr.10.1-RAW.bam,10016339
COPE_0511.fp2.repr.10.1-RAW.bam,4109261
COPE_0512.fp2.repr.10.1-RAW.bam,6526902
COPE_0514.fp2.repr.10.1-RAW.bam,9986586
COPE_0515.fp2.repr.10.1-RAW.bam,4152958
COPE_0517.fp2.repr.10.1-RAW.bam,8299652
COPE_0518.fp2.repr.10.1-RAW.bam,998658
COPE_0519.fp2.repr.10.1-RAW.bam,2252133
COPE_0520.fp2.repr.10.1-RAW.bam,985760
COPE_0521.fp2.repr.10.1-RAW.bam,3072043
COPE_0522.fp2.repr.10.1-RAW.bam,8383335
COPE_0523.fp2.repr.10.1-RAW.bam,917125
COPE_0524.fp2.repr.10.1-RAW.bam,1065139
COPE_0525.fp2.repr.10.1-RAW.bam,9299136
COPE_0526.fp2.repr.10.1-RAW.bam,2662643
COPE_0527.fp2.repr.10.1-RAW.bam,1028665
COPE_0528.fp2.repr.10.1-RAW.bam,6938697
COPE_0529.fp2.repr.10.1-RAW.bam,14332511
COPE_0530.fp2.repr.10.1-RAW.bam,7842044
COPE_0531.fp2.repr.10.1-RAW.bam,4484430
COPE_0532.fp2.repr.10.1-RAW.bam,1755013
COPE_0534.fp2.repr.10.1-RAW.bam,5327132
COPE_0535.fp2.repr.10.1-RAW.bam,3244270
COPE_0536.fp2.repr.10.1-RAW.bam,1695757
COPE_0537.fp2.repr.10.1-RAW.bam,3613908
COPE_0538.fp2.repr.10.1-RAW.bam,3686196
COPE_0539.fp2.repr.10.1-RAW.bam,2430093
COPE_0540.fp2.repr.10.1-RAW.bam,1524182
COPE_0541.fp2.repr.10.1-RAW.bam,1553008
COPE_0542.fp2.repr.10.1-RAW.bam,2107394
COPE_0543.fp2.repr.10.1-RAW.bam,8518378
COPE_0544.fp2.repr.10.1-RAW.bam,2037422
COPE_0545.fp2.repr.10.1-RAW.bam,1585234
COPE_0546.fp2.repr.10.1-RAW.bam,3756418
COPE_0547.fp2.repr.10.1-RAW.bam,4147540
COPE_0548.fp2.repr.10.1-RAW.bam,1072333
COPE_0549.fp2.repr.10.1-RAW.bam,592078
COPE_0550.fp2.repr.10.1-RAW.bam,1830808
COPE_0551.fp2.repr.10.1-RAW.bam,4151513
COPE_0552.fp2.repr.10.1-RAW.bam,2066019
COPE_0553.fp2.repr.10.1-RAW.bam,489281
COPE_0554.fp2.repr.10.1-RAW.bam,952771
COPE_0555.fp2.repr.10.1-RAW.bam,5530235
