file,mapped_reads
COPE_0469.fp2.repr.2.1-RAW.bam,1538010
COPE_0470.fp2.repr.2.1-RAW.bam,7356255
COPE_0471.fp2.repr.2.1-RAW.bam,5023251
COPE_0472.fp2.repr.2.1-RAW.bam,1125235
COPE_0473.fp2.repr.2.1-RAW.bam,1153771
COPE_0474.fp2.repr.2.1-RAW.bam,20610890
COPE_0475.fp2.repr.2.1-RAW.bam,19274048
COPE_0476.fp2.repr.2.1-RAW.bam,20856090
COPE_0477.fp2.repr.2.1-RAW.bam,2285944
COPE_0480.fp2.repr.2.1-RAW.bam,803619
COPE_0481.fp2.repr.2.1-RAW.bam,10964255
COPE_0482.fp2.repr.2.1-RAW.bam,14241073
COPE_0483.fp2.repr.2.1-RAW.bam,7130874
COPE_0484.fp2.repr.2.1-RAW.bam,4666689
COPE_0487.fp2.repr.2.1-RAW.bam,2581801
COPE_0490.fp2.repr.2.1-RAW.bam,123270
COPE_0494.fp2.repr.2.1-RAW.bam,5048326
COPE_0495.fp2.repr.2.1-RAW.bam,7167245
COPE_0496.fp2.repr.2.1-RAW.bam,969681
COPE_0497.fp2.repr.2.1-RAW.bam,2936189
COPE_0500.fp2.repr.2.1-RAW.bam,1989160
COPE_0503.fp2.repr.2.1-RAW.bam,2765661
COPE_0504.fp2.repr.2.1-RAW.bam,6389670
COPE_0507.fp2.repr.2.1-RAW.bam,7435656
COPE_0508.fp2.repr.2.1-RAW.bam,15277531
COPE_0509.fp2.repr.2.1-RAW.bam,1380531
COPE_0510.fp2.repr.2.1-RAW.bam,9108241
COPE_0512.fp2.repr.2.1-RAW.bam,6760765
COPE_0515.fp2.repr.2.1-RAW.bam,3873910
COPE_0517.fp2.repr.2.1-RAW.bam,8316815
COPE_0520.fp2.repr.2.1-RAW.bam,947753
COPE_0521.fp2.repr.2.1-RAW.bam,3273574
COPE_0522.fp2.repr.2.1-RAW.bam,8843377
COPE_0524.fp2.repr.2.1-RAW.bam,1108107
COPE_0525.fp2.repr.2.1-RAW.bam,9158411
COPE_0527.fp2.repr.2.1-RAW.bam,1080534
COPE_0528.fp2.repr.2.1-RAW.bam,6586145
COPE_0529.fp2.repr.2.1-RAW.bam,14034712
COPE_0530.fp2.repr.2.1-RAW.bam,8456875
