file,mapped_reads
COPE_0469.fp2.repr.20.10-RAW.bam,1240917
COPE_0470.fp2.repr.20.10-RAW.bam,6450510
COPE_0471.fp2.repr.20.10-RAW.bam,4541193
COPE_0472.fp2.repr.20.10-RAW.bam,861539
COPE_0473.fp2.repr.20.10-RAW.bam,972617
COPE_0474.fp2.repr.20.10-RAW.bam,14705607
COPE_0475.fp2.repr.20.10-RAW.bam,13643835
COPE_0476.fp2.repr.20.10-RAW.bam,17081065
COPE_0477.fp2.repr.20.10-RAW.bam,2020214
COPE_0478.fp2.repr.20.10-RAW.bam,2221718
COPE_0479.fp2.repr.20.10-RAW.bam,4344580
COPE_0480.fp2.repr.20.10-RAW.bam,575483
COPE_0481.fp2.repr.20.10-RAW.bam,9486771
COPE_0482.fp2.repr.20.10-RAW.bam,11947347
COPE_0483.fp2.repr.20.10-RAW.bam,5967693
COPE_0484.fp2.repr.20.10-RAW.bam,3381040
COPE_0485.fp2.repr.20.10-RAW.bam,1554210
COPE_0486.fp2.repr.20.10-RAW.bam,1848088
COPE_0487.fp2.repr.20.10-RAW.bam,1640190
COPE_0488.fp2.repr.20.10-RAW.bam,4806274
COPE_0489.fp2.repr.20.10-RAW.bam,221598
COPE_0490.fp2.repr.20.10-RAW.bam,103065
COPE_0491.fp2.repr.20.10-RAW.bam,6199033
COPE_0492.fp2.repr.20.10-RAW.bam,3647693
COPE_0493.fp2.repr.20.10-RAW.bam,4372227
COPE_0494.fp2.repr.20.10-RAW.bam,4425974
COPE_0495.fp2.repr.20.10-RAW.bam,6204904
COPE_0496.fp2.repr.20.10-RAW.bam,835893
COPE_0497.fp2.repr.20.10-RAW.bam,2547887
COPE_0498.fp2.repr.20.10-RAW.bam,13825106
COPE_0499.fp2.repr.20.10-RAW.bam,30473563
COPE_0500.fp2.repr.20.10-RAW.bam,1500650
COPE_0501.fp2.repr.20.10-RAW.bam,1617390
COPE_0502.fp2.repr.20.10-RAW.bam,48232
COPE_0503.fp2.repr.20.10-RAW.bam,1985860
COPE_0504.fp2.repr.20.10-RAW.bam,5730058
COPE_0505.fp2.repr.20.10-RAW.bam,5902775
COPE_0506.fp2.repr.20.10-RAW.bam,2261749
COPE_0507.fp2.repr.20.10-RAW.bam,6562134
COPE_0508.fp2.repr.20.10-RAW.bam,13014880
COPE_0509.fp2.repr.20.10-RAW.bam,1202066
COPE_0510.fp2.repr.20.10-RAW.bam,7718283
COPE_0511.fp2.repr.20.10-RAW.bam,3367460
COPE_0512.fp2.repr.20.10-RAW.bam,4467070
COPE_0514.fp2.repr.20.10-RAW.bam,8303668
COPE_0515.fp2.repr.20.10-RAW.bam,3398692
COPE_0517.fp2.repr.20.10-RAW.bam,7506008
COPE_0518.fp2.repr.20.10-RAW.bam,837889
COPE_0519.fp2.repr.20.10-RAW.bam,1625506
COPE_0520.fp2.repr.20.10-RAW.bam,684586
COPE_0521.fp2.repr.20.10-RAW.bam,2733233
COPE_0522.fp2.repr.20.10-RAW.bam,7589131
COPE_0523.fp2.repr.20.10-RAW.bam,675435
COPE_0524.fp2.repr.20.10-RAW.bam,967127
COPE_0525.fp2.repr.20.10-RAW.bam,8319936
COPE_0526.fp2.repr.20.10-RAW.bam,1997190
COPE_0527.fp2.repr.20.10-RAW.bam,885028
COPE_0528.fp2.repr.20.10-RAW.bam,5878864
COPE_0529.fp2.repr.20.10-RAW.bam,10381097
COPE_0530.fp2.repr.20.10-RAW.bam,6711793
COPE_0531.fp2.repr.20.10-RAW.bam,4129341
COPE_0532.fp2.repr.20.10-RAW.bam,1566958
COPE_0534.fp2.repr.20.10-RAW.bam,4783865
COPE_0535.fp2.repr.20.10-RAW.bam,2960767
COPE_0536.fp2.repr.20.10-RAW.bam,1234990
COPE_0537.fp2.repr.20.10-RAW.bam,3076659
COPE_0538.fp2.repr.20.10-RAW.bam,3286820
COPE_0539.fp2.repr.20.10-RAW.bam,2163927
COPE_0540.fp2.repr.20.10-RAW.bam,1077784
COPE_0541.fp2.repr.20.10-RAW.bam,1085502
COPE_0542.fp2.repr.20.10-RAW.bam,1932093
