ID,Cluster1,Cluster2,admix_assignment
COPE_0469.fp2.repr,1e-5,0.99999,Cluster2
COPE_0470.fp2.repr,0.007847,0.992153,Cluster2
COPE_0471.fp2.repr,1e-5,0.99999,Cluster2
COPE_0472.fp2.repr,1e-5,0.99999,Cluster2
COPE_0473.fp2.repr,1e-5,0.99999,Cluster2
COPE_0474.fp2.repr,1e-5,0.99999,Cluster2
COPE_0475.fp2.repr,0.032609,0.967391,Cluster2
COPE_0476.fp2.repr,1e-5,0.99999,Cluster2
COPE_0477.fp2.repr,1e-5,0.99999,Cluster2
COPE_0478.fp2.repr,0.743455,0.256545,Cluster1
COPE_0479.fp2.repr,0.99999,1e-5,Cluster1
COPE_0480.fp2.repr,0.019918,0.980082,Cluster2
COPE_0481.fp2.repr,1e-5,0.99999,Cluster2
COPE_0482.fp2.repr,0.003359,0.996641,Cluster2
COPE_0483.fp2.repr,1e-5,0.99999,Cluster2
COPE_0484.fp2.repr,1e-5,0.99999,Cluster2
COPE_0485.fp2.repr,0.99999,1e-5,Cluster1
COPE_0486.fp2.repr,0.99999,1e-5,Cluster1
COPE_0487.fp2.repr,1e-5,0.99999,Cluster2
COPE_0488.fp2.repr,0.99999,1e-5,Cluster1
COPE_0489.fp2.repr,0.496473,0.503527,Cluster2
COPE_0490.fp2.repr,1e-5,0.99999,Cluster2
COPE_0491.fp2.repr,0.99999,1e-5,Cluster1
COPE_0492.fp2.repr,0.99999,1e-5,Cluster1
COPE_0493.fp2.repr,0.99999,1e-5,Cluster1
COPE_0494.fp2.repr,1e-5,0.99999,Cluster2
COPE_0495.fp2.repr,1e-5,0.99999,Cluster2
COPE_0496.fp2.repr,0.017034,0.982966,Cluster2
COPE_0497.fp2.repr,1e-5,0.99999,Cluster2
COPE_0498.fp2.repr,0.98922,0.01078,Cluster1
COPE_0499.fp2.repr,0.99999,1e-5,Cluster1
COPE_0500.fp2.repr,0.03032,0.96968,Cluster2
COPE_0501.fp2.repr,0.99999,1e-5,Cluster1
COPE_0502.fp2.repr,0.167297,0.832703,Cluster2
COPE_0503.fp2.repr,0.012658,0.987342,Cluster2
COPE_0504.fp2.repr,0.006642,0.993358,Cluster2
COPE_0505.fp2.repr,0.99999,1e-5,Cluster1
COPE_0506.fp2.repr,0.99999,1e-5,Cluster1
COPE_0507.fp2.repr,1e-5,0.99999,Cluster2
COPE_0508.fp2.repr,1e-5,0.99999,Cluster2
COPE_0509.fp2.repr,1e-5,0.99999,Cluster2
COPE_0510.fp2.repr,0.005088,0.994912,Cluster2
COPE_0511.fp2.repr,0.906484,0.093516,Cluster1
COPE_0512.fp2.repr,0.009552,0.990448,Cluster2
COPE_0514.fp2.repr,0.99999,1e-5,Cluster1
COPE_0515.fp2.repr,0.049286,0.950714,Cluster2
COPE_0517.fp2.repr,0.01142,0.98858,Cluster2
COPE_0518.fp2.repr,0.992532,0.007468,Cluster1
COPE_0519.fp2.repr,0.99999,1e-5,Cluster1
COPE_0520.fp2.repr,1e-5,0.99999,Cluster2
COPE_0521.fp2.repr,1e-5,0.99999,Cluster2
COPE_0522.fp2.repr,1e-5,0.99999,Cluster2
COPE_0523.fp2.repr,0.915223,0.084777,Cluster1
COPE_0524.fp2.repr,1e-5,0.99999,Cluster2
COPE_0525.fp2.repr,1e-5,0.99999,Cluster2
COPE_0526.fp2.repr,0.887079,0.112921,Cluster1
COPE_0527.fp2.repr,1e-5,0.99999,Cluster2
COPE_0528.fp2.repr,1e-5,0.99999,Cluster2
COPE_0529.fp2.repr,1e-5,0.99999,Cluster2
COPE_0530.fp2.repr,1e-5,0.99999,Cluster2
COPE_0531.fp2.repr,1e-5,0.99999,Cluster2
COPE_0532.fp2.repr,1e-5,0.99999,Cluster2
COPE_0534.fp2.repr,1e-5,0.99999,Cluster2
COPE_0535.fp2.repr,0.013239,0.986761,Cluster2
COPE_0536.fp2.repr,0.005939,0.994061,Cluster2
COPE_0537.fp2.repr,0.991739,0.008261,Cluster1
COPE_0538.fp2.repr,1e-5,0.99999,Cluster2
COPE_0539.fp2.repr,0.008971,0.991029,Cluster2
COPE_0540.fp2.repr,1e-5,0.99999,Cluster2
COPE_0541.fp2.repr,0.004709,0.995291,Cluster2
COPE_0542.fp2.repr,0.00396,0.99604,Cluster2
COPE_0543.fp2.repr,1e-5,0.99999,Cluster2
COPE_0544.fp2.repr,1e-5,0.99999,Cluster2
COPE_0545.fp2.repr,1e-5,0.99999,Cluster2
COPE_0546.fp2.repr,1e-5,0.99999,Cluster2
COPE_0547.fp2.repr,1e-5,0.99999,Cluster2
COPE_0548.fp2.repr,0.99999,1e-5,Cluster1
COPE_0549.fp2.repr,0.99999,1e-5,Cluster1
COPE_0550.fp2.repr,0.994681,0.005319,Cluster1
COPE_0551.fp2.repr,0.114989,0.885011,Cluster2
COPE_0552.fp2.repr,0.021246,0.978754,Cluster2
COPE_0553.fp2.repr,0.99999,1e-5,Cluster1
COPE_0554.fp2.repr,0.99999,1e-5,Cluster1
