n.pca,success
1,1
1,1
1,0.9615384615384616
1,1
1,1
1,0.9615384615384616
1,1
1,1
1,1
1,1
2,0.9615384615384616
2,1
2,1
2,1
2,1
2,1
2,0.9615384615384616
2,1
2,0.9615384615384616
2,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,0.9923076923076923
4,1
4,0.9615384615384616
4,1
4,1
4,1
4,0.9615384615384616
4,1
4,0.9615384615384616
4,0.9615384615384616
5,1
5,1
5,1
5,1
5,1
5,1
5,0.9615384615384616
5,1
5,1
5,1
6,1
6,0.9923076923076923
6,1
6,1
6,0.9230769230769231
6,1
6,1
6,1
6,0.9230769230769231
6,0.9615384615384616
7,1
7,0.9615384615384616
7,1
7,0.9615384615384616
7,1
7,1
7,1
7,0.9230769230769231
7,1
7,1
8,1
8,1
8,0.9615384615384616
8,1
8,0.9615384615384616
8,1
8,1
8,1
8,1
8,1
9,1
9,0.9923076923076923
9,1
9,1
9,1
9,1
9,1
9,0.9923076923076923
9,0.9615384615384616
9,0.9923076923076923
10,0.9615384615384616
10,0.9615384615384616
10,0.9615384615384616
10,1
10,1
10,1
10,1
10,1
10,1
10,1
11,1
11,0.9615384615384616
11,1
11,1
11,1
11,0.9615384615384616
11,1
11,1
11,1
11,1
12,0.9923076923076923
12,1
12,1
12,1
12,1
12,0.9923076923076923
12,1
12,0.9615384615384616
12,1
12,0.9615384615384616
13,0.9615384615384616
13,0.9615384615384616
13,1
13,1
13,0.9615384615384616
13,0.9615384615384616
13,0.9615384615384616
13,1
13,1
13,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,0.9615384615384616
15,1
15,1
15,0.9923076923076923
15,1
15,1
15,1
15,1
15,1
15,1
15,0.9615384615384616
16,1
16,1
16,0.9615384615384616
16,1
16,1
16,0.9230769230769231
16,1
16,0.9923076923076923
16,0.9615384615384616
16,0.9615384615384616
17,1
17,1
17,0.9615384615384616
17,0.9615384615384616
17,1
17,1
17,1
17,1
17,1
17,0.9923076923076923
18,1
18,0.9538461538461539
18,1
18,1
18,0.9615384615384616
18,1
18,1
18,0.9230769230769231
18,1
18,0.9923076923076923
19,1
19,0.9615384615384616
19,1
19,0.9615384615384616
19,1
19,1
19,1
19,0.9615384615384616
19,1
19,0.9538461538461539
20,1
20,1
20,1
20,1
20,0.9923076923076923
20,1
20,1
20,1
20,1
20,1
21,0.9615384615384616
21,0.9230769230769231
21,0.9615384615384616
21,0.9615384615384616
21,0.9615384615384616
21,1
21,1
21,0.9615384615384616
21,1
21,1
22,1
22,1
22,1
22,1
22,1
22,1
22,0.9923076923076923
22,0.9615384615384616
22,0.9615384615384616
22,1
23,0.9923076923076923
23,0.9538461538461539
23,1
23,1
23,1
23,0.9615384615384616
23,1
23,1
23,1
23,1
24,0.9615384615384616
24,1
24,0.9615384615384616
24,0.9615384615384616
24,1
24,0.9615384615384616
24,0.9923076923076923
24,0.9615384615384616
24,0.9615384615384616
24,1
25,1
25,0.9923076923076923
25,1
25,1
25,1
25,1
25,1
25,0.9538461538461539
25,1
25,0.9923076923076923
26,1
26,0.9615384615384616
26,1
