n.pca,success
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0.9615384615384616
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
3,1
3,0.9615384615384616
3,1
3,1
3,1
3,1
3,1
4,1
4,0.9615384615384616
4,0.9615384615384616
4,1
4,1
4,1
4,1
4,1
4,1
4,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
7,1
7,1
7,1
7,1
7,1
7,0.9615384615384616
7,1
7,1
7,1
7,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,0.9615384615384616
9,1
9,1
9,1
9,0.9615384615384616
9,1
9,0.9615384615384616
9,0.9615384615384616
9,1
9,1
9,1
10,1
10,1
10,1
10,1
10,1
10,0.9615384615384616
10,1
10,1
10,1
10,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
13,1
13,1
13,1
13,1
13,0.9615384615384616
13,1
13,1
13,0.9923076923076923
13,1
13,1
14,0.9615384615384616
14,1
14,1
14,1
14,1
14,1
14,0.9615384615384616
14,1
14,0.9615384615384616
14,1
15,1
15,1
15,0.9615384615384616
15,1
15,1
15,1
15,1
15,1
15,1
15,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
17,1
17,1
17,1
17,0.9615384615384616
17,1
17,1
17,1
17,1
17,1
17,1
18,1
18,1
18,0.9615384615384616
18,1
18,1
18,1
18,1
18,1
18,1
18,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,0.9615384615384616
19,1
19,1
20,0.9615384615384616
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,0.9615384615384616
21,0.9615384615384616
21,1
22,1
22,0.9615384615384616
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
24,1
24,1
24,0.9615384615384616
24,0.9923076923076923
24,1
24,0.9615384615384616
24,1
24,1
24,1
24,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
26,1
26,1
26,1
26,0.9923076923076923
26,1
26,1
26,1
26,0.9923076923076923
26,1
26,0.9615384615384616
27,0.9230769230769231
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,0.9615384615384616
28,1
28,1
28,0.9923076923076923
28,0.9615384615384616
28,1
28,1
28,1
28,1
28,1
28,1
29,1
29,1
29,0.9615384615384616
29,0.9615384615384616
29,1
29,1
29,1
29,1
29,1
29,1
30,1
30,1
30,1
30,1
30,0.9230769230769231
30,1
30,1
30,1
30,1
30,1
31,1
31,1
31,0.9615384615384616
31,0.9615384615384616
31,1
31,1
31,1
31,1
31,1
31,0.9615384615384616
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,0.9615384615384616
32,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
