1000000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	NoName	0.00000	0.99934	0.00000	0.00003	0.00000	0.00063
5	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
7	NoName	0.00000	0.40619	0.00000	0.00037	0.00000	0.59344
8	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	NoName	0.00000	0.00000	0.00000	0.01766	0.98234	0.00000
11	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	NoName	0.00000	0.99277	0.00002	0.00174	0.00001	0.00545
13	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
16	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
17	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	NoName	0.99828	0.00000	0.00000	0.00008	0.00164	0.00000
19	NoName	0.00000	0.99977	0.00000	0.00000	0.00000	0.00023
20	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	NoName	0.98272	0.00196	0.00043	0.00353	0.01107	0.00029
22	NoName	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
23	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
24	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
27	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.99850	0.00000	0.00000	0.00000	0.00150
29	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
31	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
32	NoName	0.00000	0.99375	0.00000	0.00149	0.00000	0.00476
33	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
34	NoName	0.00000	0.99657	0.00002	0.00057	0.00001	0.00283
35	NoName	0.00000	0.99639	0.00000	0.00018	0.00000	0.00343
36	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
37	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
43	NoName	0.01717	0.00000	0.00000	0.00007	0.98276	0.00000
44	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
45	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
47	NoName	0.00000	0.99984	0.00000	0.00000	0.00000	0.00016
48	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
49	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
50	NoName	0.00000	0.99789	0.00000	0.00022	0.00000	0.00190
51	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	NoName	0.00093	0.00000	0.00000	0.64303	0.35604	0.00000
54	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
56	NoName	0.98867	0.00000	0.00000	0.00241	0.00892	0.00000
57	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
60	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
63	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
65	NoName	0.00000	0.99946	0.00000	0.00000	0.00000	0.00054
66	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
69	NoName	0.00000	0.99914	0.00000	0.00005	0.00000	0.00081
70	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
71	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
73	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
74	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
76	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
77	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
79	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
80	NoName	0.00000	0.14053	0.00000	0.75543	0.00000	0.10405
81	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
82	NoName	0.91864	0.04785	0.00229	0.01031	0.01829	0.00262
83	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
84	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
85	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
86	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
87	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
88	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
89	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
90	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	NoName	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
92	NoName	0.00000	0.00000	0.00000	0.00349	0.00000	0.99651
93	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
94	NoName	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
95	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
96	NoName	0.00000	0.99967	0.00000	0.00000	0.00000	0.00033
97	NoName	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
98	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
99	NoName	0.00014	0.99351	0.00010	0.00154	0.00007	0.00463
100	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
101	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
102	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
103	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
104	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
105	NoName	0.00000	0.99716	0.00000	0.00042	0.00000	0.00242
106	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
107	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
108	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
109	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
110	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
111	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
112	NoName	0.99831	0.00000	0.00000	0.00000	0.00169	0.00000
113	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
114	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
115	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
116	NoName	0.91847	0.00000	0.00000	0.00001	0.08151	0.00000
117	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
118	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
119	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
120	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
121	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
122	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
123	NoName	0.97595	0.00597	0.00083	0.00437	0.01228	0.00060
124	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
125	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
126	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
127	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
128	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
129	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
130	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
131	NoName	0.99863	0.00000	0.00000	0.00000	0.00137	0.00000
132	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
133	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
134	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
135	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
136	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
137	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
138	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
139	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
140	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
141	NoName	0.99892	0.00000	0.00000	0.00003	0.00105	0.00000
142	NoName	0.99924	0.00000	0.00000	0.00000	0.00076	0.00000
143	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
144	NoName	0.99956	0.00000	0.00000	0.00000	0.00044	0.00000
145	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
146	NoName	0.99980	0.00000	0.00000	0.00000	0.00020	0.00000
147	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
148	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
149	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
150	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
151	NoName	0.00000	0.99613	0.00000	0.00001	0.00000	0.00386
152	NoName	0.00000	0.99771	0.00000	0.00033	0.00000	0.00197
153	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
154	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
155	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
156	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
157	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
158	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
159	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
160	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
161	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
162	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
163	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
