999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99983	0.00000	0.00000	0.00000	0.00017
2	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
3	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
4	0.00000	0.93211	0.00000	0.00438	0.00000	0.06352
5	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
6	0.00000	0.99796	0.00000	0.00000	0.00000	0.00204
7	0.00000	0.04474	0.00000	0.00074	0.00000	0.95452
8	0.00000	0.99956	0.00000	0.00000	0.00000	0.00044
9	0.00000	0.99972	0.00000	0.00000	0.00000	0.00028
10	0.00000	0.00000	0.00000	0.01282	0.98718	0.00000
11	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
12	0.00000	0.53205	0.00256	0.15085	0.00091	0.31364
13	0.00000	0.99972	0.00000	0.00000	0.00000	0.00028
14	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
15	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
16	0.00000	0.99818	0.00000	0.00000	0.00000	0.00182
17	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	0.94855	0.00000	0.00000	0.00254	0.04890	0.00000
19	0.00000	0.97550	0.00000	0.00063	0.00000	0.02387
20	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
21	0.66670	0.00026	0.01182	0.08250	0.23440	0.00431
22	0.00000	0.99282	0.00000	0.00003	0.00000	0.00715
23	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
24	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
26	0.00000	0.99960	0.00000	0.00000	0.00000	0.00040
27	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
28	0.00000	0.86393	0.00000	0.00002	0.00000	0.13605
29	0.00000	0.99985	0.00000	0.00000	0.00000	0.00015
30	0.99904	0.00000	0.00000	0.00000	0.00096	0.00000
31	0.99849	0.00000	0.00000	0.00000	0.00151	0.00000
32	0.00000	0.56966	0.00001	0.13733	0.00000	0.29300
33	0.99968	0.00000	0.00000	0.00000	0.00032	0.00000
34	0.00001	0.71217	0.00220	0.06685	0.00069	0.21808
35	0.00000	0.71742	0.00000	0.02018	0.00000	0.26239
36	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
37	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
38	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
39	0.00000	0.99968	0.00000	0.00000	0.00000	0.00032
40	0.00000	0.99984	0.00000	0.00000	0.00000	0.00016
41	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
42	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
43	0.00045	0.00000	0.00000	0.00005	0.99950	0.00000
44	0.00000	0.99974	0.00000	0.00000	0.00000	0.00026
45	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
46	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
47	0.00000	0.98302	0.00000	0.00000	0.00000	0.01698
48	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
49	0.99912	0.00000	0.00000	0.00000	0.00088	0.00000
50	0.00000	0.80764	0.00000	0.02792	0.00000	0.16444
51	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
52	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
53	0.00002	0.00000	0.00000	0.70738	0.29260	0.00000
54	0.00000	0.99952	0.00000	0.00000	0.00000	0.00048
55	0.00000	0.99986	0.00000	0.00000	0.00000	0.00014
56	0.73535	0.00000	0.00001	0.06020	0.20444	0.00000
57	0.00000	0.99969	0.00000	0.00000	0.00000	0.00031
58	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
59	0.00000	0.99991	0.00000	0.00000	0.00000	0.00009
60	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
61	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
62	0.00000	0.99931	0.00000	0.00000	0.00000	0.00069
63	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
64	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
65	0.00000	0.94531	0.00000	0.00004	0.00000	0.05465
66	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
68	0.00000	0.99769	0.00000	0.00000	0.00000	0.00231
69	0.00000	0.91315	0.00000	0.00707	0.00000	0.07978
70	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
71	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
72	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
73	0.00000	0.99737	0.00000	0.00001	0.00000	0.00263
74	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
75	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
76	0.00000	0.99991	0.00000	0.00000	0.00000	0.00009
77	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
78	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
79	0.99852	0.00000	0.00000	0.00000	0.00148	0.00000
80	0.00000	0.00075	0.00000	0.94500	0.00000	0.05424
81	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
82	0.45419	0.00506	0.04765	0.17852	0.28466	0.02992
83	0.99977	0.00000	0.00000	0.00000	0.00023	0.00000
84	0.00000	0.99976	0.00000	0.00000	0.00000	0.00024
85	0.99980	0.00000	0.00000	0.00000	0.00020	0.00000
86	0.99944	0.00000	0.00000	0.00000	0.00056	0.00000
87	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
88	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
89	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
90	0.00000	0.99991	0.00000	0.00000	0.00000	0.00009
