Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0469.fp2.repr,z1,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0470.fp2.repr,NA,0,0.9992129992129992,0,0,0,7.87000787000787e-4
COPE_0471.fp2.repr,z1,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0472.fp2.repr,z1,0,0.9980910000000001,9e-6,2.17e-4,3e-6,0.0016799999999999999
COPE_0473.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0474.fp2.repr,z1,0,0.999988,0,0,0,1.2e-5
COPE_0475.fp2.repr,NA,0,0.9376300000000001,0,3.9e-5,0,0.062331
COPE_0476.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0477.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0478.fp2.repr,NA,6.24001248002496e-4,0,9.000018000036001e-5,0.03425306850613701,0.9650329300658601,0
COPE_0479.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0480.fp2.repr,NA,0,0.96605,2.0000000000000003e-6,0.003133,1.0000000000000002e-6,0.030814
COPE_0481.fp2.repr,z1,0,1,0,0,0,0
COPE_0482.fp2.repr,NA,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0483.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0484.fp2.repr,z1,0,0.9998060001939999,0,1.9999980000020005e-6,0,1.9199980800019203e-4
COPE_0485.fp2.repr,z0,0.999703,0,0,0,2.97e-4,0
COPE_0486.fp2.repr,z0,0.9974829949659899,2.1000042000084002e-5,1.500003000006e-5,2.5200050400100803e-4,0.002221004442008884,8.000016000032003e-6
COPE_0487.fp2.repr,z1,0,0.9997850002149997,0,1.999998000002e-6,0,2.1299978700021298e-4
COPE_0488.fp2.repr,z0,0.999994,0,0,0,6e-6,0
COPE_0489.fp2.repr,NA,0.48743705025179895,0.15926236295054816,0.0019149923400306396,0.28791684833260667,0.018642925428298283,0.044825820696717214
COPE_0490.fp2.repr,z1,0,0.999837,0,1.0000000000000002e-6,0,1.62e-4
COPE_0491.fp2.repr,z0,0.999941,0,0,0,5.9e-5,0
COPE_0492.fp2.repr,z0,0.999997,0,0,0,3e-6,0
COPE_0493.fp2.repr,z0,0.999998,0,0,0,2.0000000000000003e-6,0
COPE_0494.fp2.repr,z1,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0495.fp2.repr,z1,0,1,0,0,0,0
COPE_0496.fp2.repr,NA,0,0.999839,0,0,0,1.61e-4
COPE_0497.fp2.repr,z1,0,1,0,0,0,0
COPE_0498.fp2.repr,NA,0.999956,0,0,0,4.4e-5,0
