prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0469.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,pure_b,1,0.99999,1,1,0.99998,1,0.99999,1,1,1,0.999996,6.992058987797417e-6,6.992086956145242e-6
Jeffreys,COPE_0469.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,b_bx,0,1e-5,0,0,2e-5,0,1e-5,0,0,0,4.000000000000001e-6,6.992058987801011e-6,1.7480147469502525
uniform,COPE_0469.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0469.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0469.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0469.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0469.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0469.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,pure_b,1,0.99998,1,1,0.99999,0.99293,1,0.99938,0.99984,1,0.999212,0.002215750687941028,0.002217498076425251
Jeffreys,COPE_0470.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,b_bx,0,2e-5,0,0,1e-5,0.00707,0,6.1e-4,1.6e-4,0,7.869999999999999e-4,0.002215837188162624,2.815549159037642
uniform,COPE_0470.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0470.fp2.repr,NA,pure_b,1,0.99992,1,1,1,1,1,1,1,0.99998,0.99999,2.5385910352871067e-5,2.538616421451321e-5
uniform,COPE_0470.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0470.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0470.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0470.fp2.repr,NA,b_bx,0,8e-5,0,0,0,0,0,0,0,2e-5,1e-5,2.5385910352879697e-5,2.5385910352879693
Jeffreys,COPE_0471.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,0.99996,1,0.999996,1.2649110640686168e-5,1.2649161237331118e-5
Jeffreys,COPE_0471.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,4e-5,0,4.000000000000001e-6,1.2649110640673518e-5,3.162277660168379
uniform,COPE_0471.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0471.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0471.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0471.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0471.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0471.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,pure_b,0.98692,0.99987,0.99915,0.99934,0.99975,0.99896,0.9995,0.99776,0.99988,0.99978,0.9980910000000001,0.003976222243956356,0.003983827370406461
Jeffreys,COPE_0472.fp2.repr,z1,F1,8e-5,0,0,0,0,0,0,1e-5,0,0,9e-6,2.5144029554194817e-5,2.7937810615772016
Jeffreys,COPE_0472.fp2.repr,z1,F2,0.00196,0,3e-5,3e-5,0,1e-5,1e-5,1.3e-4,0,0,2.17e-4,6.13696450481289e-4,2.8280942418492585
Jeffreys,COPE_0472.fp2.repr,z1,a_bx,3e-5,0,0,0,0,0,0,0,0,0,3e-6,9.486832980505138e-6,3.162277660168379
Jeffreys,COPE_0472.fp2.repr,z1,b_bx,0.011,1.3e-4,8.2e-4,6.3e-4,2.5e-4,0.00104,4.9e-4,0.0021,1.2e-4,2.2e-4,0.0016799999999999999,0.0033286500433525766,1.981339311519391
uniform,COPE_0472.fp2.repr,z1,pure_a,0,0.00943,0,0,0,0,0,0,0,0,9.429999999999999e-4,0.0029820278335387813,3.162277660168379
uniform,COPE_0472.fp2.repr,z1,pure_b,0.99947,0.98194,0.99923,0.99887,0.99995,0.99969,0.99829,0.99945,0.99649,0.99972,0.99731,0.005494209072590265,0.005509028358875641
uniform,COPE_0472.fp2.repr,z1,F1,0,9.7e-4,0,0,0,0,1e-5,0,2e-5,0,1e-4,3.057595278791634e-4,3.057595278791634
uniform,COPE_0472.fp2.repr,z1,F2,1e-5,0.00196,1e-5,4e-5,0,1e-5,1e-4,1e-5,8e-4,1e-5,2.95e-4,6.345120610008572e-4,2.150888342375787
uniform,COPE_0472.fp2.repr,z1,a_bx,0,0.00115,0,0,0,0,0,0,0,0,1.15e-4,3.636619309193636e-4,3.162277660168379
uniform,COPE_0472.fp2.repr,z1,b_bx,5.3e-4,0.00456,7.5e-4,0.00109,5e-5,3e-4,0.0016,5.4e-4,0.00269,2.7e-4,0.001238,0.0014044279183275223,1.1344328904099534
Jeffreys,COPE_0473.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,pure_b,0.99999,1,1,1,1,1,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0473.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,b_bx,1e-5,0,0,0,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0473.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0473.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0473.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0473.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0473.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0473.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,pure_b,0.99994,0.99999,1,0.99998,1,1,1,0.99998,0.99999,1,0.999988,1.8737959096728717e-5,1.8738183954936176e-5
Jeffreys,COPE_0474.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,b_bx,6e-5,1e-5,0,2e-5,0,0,0,2e-5,1e-5,0,1.2e-5,1.8737959096740263e-5,1.5614965913950218
uniform,COPE_0474.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,pure_b,0.99999,0.99997,0.99997,0.99998,1,1,1,1,0.99996,0.99999,0.999986,1.5055453054186844e-5,1.5055663833480513e-5
uniform,COPE_0474.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,b_bx,1e-5,3e-5,3e-5,2e-5,0,0,0,0,4e-5,1e-5,1.4000000000000001e-5,1.5055453054181621e-5,1.0753895038701158
