Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0469.fp2.repr,z1,0,1,0,0,0,0
COPE_0470.fp2.repr,NA,0,0.99999,0,0,0,1e-5
COPE_0471.fp2.repr,z1,0,1,0,0,0,0
COPE_0472.fp2.repr,z1,9.429990570009428e-4,0.9973090026909972,9.999990000009999e-5,2.9499970500029496e-4,1.1499988500011498e-4,0.0012379987620012379
COPE_0473.fp2.repr,z1,0,1,0,0,0,0
COPE_0474.fp2.repr,z1,0,0.999986,0,0,0,1.4000000000000001e-5
COPE_0475.fp2.repr,NA,0,0.998901,0,0,0,0.0010990000000000002
COPE_0476.fp2.repr,z1,0,0.999988,0,0,0,1.2e-5
COPE_0477.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0478.fp2.repr,NA,0.188061,0,1.0000000000000002e-6,0.031198,0.78074,0
COPE_0479.fp2.repr,z0,0.999993,0,0,0,6.999999999999999e-6,0
COPE_0480.fp2.repr,NA,0,0.998712,0,4.8e-5,0,0.00124
COPE_0481.fp2.repr,z1,0,1,0,0,0,0
COPE_0482.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0483.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0484.fp2.repr,z1,0,0.9998449998449999,0,6.000006000006e-6,0,1.49000149000149e-4
COPE_0485.fp2.repr,z0,0.999996,0,0,0,4e-6,0
COPE_0486.fp2.repr,z0,0.9805550388899221,0.007607984784030432,4.87999024001952e-4,0.0030609938780122438,0.007815984368031263,4.71999056001888e-4
COPE_0487.fp2.repr,z1,0,0.999572,0,3.3e-5,0,3.95e-4
COPE_0488.fp2.repr,z0,0.999991,0,0,0,9e-6,0
COPE_0489.fp2.repr,NA,0.2093792093792094,0.525918525918526,8.130008130008131e-4,0.23257623257623258,0.012981012981012981,0.01833201833201833
COPE_0490.fp2.repr,z1,0,0.9997860000000001,0,9e-6,0,2.05e-4
COPE_0491.fp2.repr,z0,0.9994509994509995,0,0,2.5000025000025e-5,5.240005240005241e-4,0
COPE_0492.fp2.repr,z0,0.999985,0,0,0,1.4999999999999999e-5,0
COPE_0493.fp2.repr,z0,0.999985,0,0,0,1.4999999999999999e-5,0
COPE_0494.fp2.repr,z1,0,1,0,0,0,0
COPE_0495.fp2.repr,z1,0,1,0,0,0,0
COPE_0496.fp2.repr,NA,0,0.990649,0,0,0,0.009351
COPE_0497.fp2.repr,z1,0,1,0,0,0,0
COPE_0498.fp2.repr,NA,0.999979,0,0,0,2.1000000000000002e-5,0
COPE_0499.fp2.repr,z0,0.999969,0,0,0,3.0999999999999995e-5,0
COPE_0500.fp2.repr,NA,0,0.9514659514659515,0,0.03441803441803441,0,0.014116014116014116
COPE_0501.fp2.repr,z0,0.9993610006389995,0,0,2.9999970000030004e-6,6.35999364000636e-4,0
COPE_0502.fp2.repr,NA,0.11541176917646163,0.8659592680814637,5.079989840020319e-4,0.00813498373003254,0.001398997202005596,0.008586982826034349
COPE_0503.fp2.repr,NA,0,0.9964520070959857,9.99998000004e-7,1.6099967800064398e-4,0,0.0033859932280135437
COPE_0504.fp2.repr,NA,0,0.99986,0,0,0,1.4000000000000001e-4
COPE_0505.fp2.repr,z0,1,0,0,0,0,0
COPE_0506.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0507.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0508.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0509.fp2.repr,z1,0,1,0,0,0,0
COPE_0510.fp2.repr,NA,0,1,0,0,0,0
COPE_0511.fp2.repr,NA,0.8231398231398231,0,0,3.0000030000029998e-5,0.17683017683017685,0
COPE_0512.fp2.repr,NA,0,0.999991,0,0,0,9e-6
COPE_0514.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0515.fp2.repr,NA,0,0.870129,0,6e-5,0,0.12981100000000004
COPE_0517.fp2.repr,NA,0,0.999985,0,0,0,1.4999999999999999e-5
COPE_0518.fp2.repr,NA,0.9998819998819999,0,0,0,1.18000118000118e-4,0
COPE_0519.fp2.repr,z0,0.99993,0,0,0,7.000000000000001e-5,0
COPE_0520.fp2.repr,z1,0,0.999892,0,0,0,1.08e-4
COPE_0521.fp2.repr,z1,0,1,0,0,0,0
COPE_0522.fp2.repr,z1,0,1,0,0,0,0
COPE_0523.fp2.repr,NA,0.8861631138368861,0,0,0.08418191581808418,0.02965497034502965,0
COPE_0524.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0525.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0526.fp2.repr,NA,0.7961005922011843,0,0,0.19335938671877342,0.010539021078042155,1.0000020000040001e-6
COPE_0527.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0528.fp2.repr,z1,0,1,0,0,0,0
COPE_0529.fp2.repr,z1,0,0.9999,0,1.0000000000000002e-6,0,9.900000000000001e-5
COPE_0530.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0531.fp2.repr,z1,0,1,0,0,0,0
COPE_0532.fp2.repr,z1,0,0.999986,0,0,0,1.3999999999999998e-5
COPE_0534.fp2.repr,z1,0,1,0,0,0,0
COPE_0535.fp2.repr,NA,0,0.999958,0,0,0,4.2000000000000004e-5
COPE_0536.fp2.repr,NA,0,0.9999790000000001,0,0,0,2.1e-5
COPE_0537.fp2.repr,NA,0.999978,0,0,0,2.2e-5,0
COPE_0538.fp2.repr,z1,0,1,0,0,0,0
COPE_0539.fp2.repr,NA,0,0.99998,0,0,0,1.9999999999999998e-5
COPE_0540.fp2.repr,z1,0.01457701457701458,0.9787469787469788,8.53000853000853e-4,0.001113001113001113,0.001306001306001306,0.003404003404003404
COPE_0541.fp2.repr,NA,0,0.999979,0,0,0,2.1000000000000002e-5
COPE_0542.fp2.repr,NA,0,0.999997,0,0,0,3e-6
COPE_0543.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0544.fp2.repr,z1,0,0.999957,0,0,0,4.3e-5
COPE_0545.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0546.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0547.fp2.repr,z1,0,1,0,0,0,0
COPE_0548.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0549.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0550.fp2.repr,NA,0.999938,0,0,0,6.2e-5,0
COPE_0551.fp2.repr,NA,0,0.8812858812858813,1.4000014000013998e-5,0.09951609951609952,1.0000010000010001e-6,0.019183019183019186
COPE_0552.fp2.repr,NA,0,0.999936,0,0,0,6.4e-5
COPE_0553.fp2.repr,z0,0.7946955893911788,0.1858453716907434,0.001081002162004324,0.005629011258022516,0.010864021728043455,0.0018850037700075398
COPE_0554.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0555.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0556.fp2.repr,z0,1,0,0,0,0,0
COPE_0557.fp2.repr,NA,0.999774,0,0,0,2.2600000000000002e-4,0
COPE_0558.fp2.repr,z1,0,1,0,0,0,0
