1000000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
3	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	NoName	0.00943	0.98194	0.00097	0.00196	0.00115	0.00456
5	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
7	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
8	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
10	NoName	0.05490	0.00000	0.00000	0.00241	0.94269	0.00000
11	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
12	NoName	0.00000	0.99908	0.00000	0.00007	0.00000	0.00085
13	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
16	NoName	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
17	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
18	NoName	0.97383	0.00007	0.00008	0.00574	0.02023	0.00006
19	NoName	0.00000	0.99842	0.00000	0.00018	0.00000	0.00140
20	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	NoName	0.96699	0.00025	0.00012	0.00837	0.02414	0.00012
22	NoName	0.00000	0.99985	0.00000	0.00000	0.00000	0.00015
23	NoName	0.99622	0.00000	0.00000	0.00009	0.00368	0.00000
24	NoName	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
25	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
26	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
27	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.99503	0.00000	0.00000	0.00000	0.00497
29	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
31	NoName	0.99974	0.00000	0.00000	0.00000	0.00026	0.00000
32	NoName	0.00000	0.98295	0.00000	0.00223	0.00000	0.01482
33	NoName	0.99530	0.00000	0.00000	0.00002	0.00468	0.00000
34	NoName	0.15455	0.82169	0.00365	0.00537	0.00779	0.00695
35	NoName	0.00000	0.99902	0.00000	0.00008	0.00000	0.00091
36	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
37	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
39	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
43	NoName	0.11705	0.00000	0.00000	0.00030	0.88265	0.00000
44	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
45	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	NoName	0.00000	0.99981	0.00000	0.00000	0.00000	0.00019
47	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
48	NoName	0.99913	0.00000	0.00000	0.00000	0.00086	0.00000
49	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
50	NoName	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
51	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	NoName	0.94176	0.00000	0.00000	0.00128	0.05696	0.00000
54	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
56	NoName	0.99532	0.00000	0.00000	0.00027	0.00441	0.00000
57	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	NoName	0.00000	0.99965	0.00000	0.00001	0.00000	0.00034
60	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
61	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
65	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
66	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
67	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
69	NoName	0.00000	0.99944	0.00000	0.00003	0.00000	0.00053
70	NoName	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
71	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
73	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
74	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
76	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
77	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
78	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
79	NoName	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
80	NoName	0.00000	0.99239	0.00000	0.00034	0.00000	0.00726
81	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
82	NoName	0.10571	0.87354	0.00311	0.00479	0.00608	0.00676
83	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
84	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
85	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
86	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
87	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
88	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
89	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
90	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	NoName	0.99576	0.00000	0.00000	0.00022	0.00402	0.00000
92	NoName	0.00000	0.00000	0.00030	0.00495	0.00000	0.99476
93	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
94	NoName	0.99894	0.00000	0.00000	0.00001	0.00105	0.00000
95	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
96	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
97	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
98	NoName	0.00000	0.99790	0.00000	0.00000	0.00000	0.00209
99	NoName	0.18864	0.78555	0.00394	0.00582	0.00897	0.00707
100	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
101	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
102	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
103	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
104	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
105	NoName	0.00082	0.98876	0.00028	0.00353	0.00044	0.00617
106	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
107	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
108	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
109	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
110	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
111	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
112	NoName	0.99672	0.00000	0.00000	0.00001	0.00327	0.00000
113	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
114	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
115	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
