999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99977	0.00000	0.00000	0.00000	0.00023
2	0.00000	0.99952	0.00000	0.00000	0.00000	0.00048
3	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
4	0.00000	0.67035	0.00257	0.06832	0.00052	0.25823
5	0.00000	0.99960	0.00000	0.00000	0.00000	0.00040
6	0.00000	0.99492	0.00000	0.00002	0.00000	0.00506
7	0.00000	0.99203	0.00000	0.00000	0.00000	0.00797
8	0.00000	0.99972	0.00000	0.00000	0.00000	0.00028
9	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
10	0.75800	0.00000	0.00000	0.00019	0.24182	0.00000
11	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
12	0.00000	0.92647	0.00000	0.00521	0.00000	0.06832
13	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
14	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
15	0.00000	0.99962	0.00000	0.00000	0.00000	0.00038
16	0.00000	0.89059	0.00020	0.00585	0.00000	0.10336
17	0.99964	0.00000	0.00000	0.00000	0.00036	0.00000
18	0.60999	0.00000	0.00135	0.11904	0.26902	0.00060
19	0.00000	0.86291	0.00020	0.01257	0.00002	0.12430
20	0.99348	0.00000	0.00000	0.00000	0.00651	0.00000
21	0.04224	0.00001	0.00043	0.81648	0.13827	0.00258
22	0.00000	0.99887	0.00000	0.00000	0.00000	0.00113
23	0.93240	0.00000	0.00000	0.00413	0.06347	0.00000
24	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
25	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
26	0.00000	0.99944	0.00000	0.00000	0.00000	0.00056
27	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
28	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
29	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
30	0.99364	0.00000	0.00000	0.00000	0.00636	0.00000
31	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
32	0.00000	0.88222	0.00004	0.01434	0.00001	0.10339
33	0.98706	0.00000	0.00000	0.00015	0.01279	0.00000
34	0.00000	0.86433	0.00000	0.01646	0.00000	0.11920
35	0.00000	0.96010	0.00000	0.00138	0.00000	0.03852
36	0.00000	0.99977	0.00000	0.00000	0.00000	0.00023
37	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
38	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
39	0.00000	0.99889	0.00000	0.00000	0.00000	0.00111
40	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
41	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
42	0.00000	0.99956	0.00000	0.00000	0.00000	0.00044
43	0.75648	0.00000	0.00000	0.00009	0.24343	0.00000
44	0.00000	0.99808	0.00000	0.00000	0.00000	0.00192
45	0.99954	0.00000	0.00000	0.00000	0.00046	0.00000
46	0.00000	0.97145	0.00000	0.00000	0.00000	0.02854
47	0.00000	0.99979	0.00000	0.00000	0.00000	0.00021
48	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
49	0.99967	0.00000	0.00000	0.00000	0.00033	0.00000
50	0.00000	0.98449	0.00000	0.00019	0.00000	0.01532
51	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
52	0.00000	0.99975	0.00000	0.00000	0.00000	0.00025
53	0.56289	0.00000	0.00000	0.00692	0.43019	0.00000
54	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
55	0.00000	0.99918	0.00000	0.00000	0.00000	0.00082
56	0.00876	0.00000	0.00000	0.90647	0.08476	0.00001
57	0.00000	0.99986	0.00000	0.00000	0.00000	0.00014
58	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
59	0.00000	0.97876	0.00000	0.00041	0.00000	0.02083
60	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
61	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
62	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
63	0.00000	0.99977	0.00000	0.00000	0.00000	0.00023
64	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
65	0.00000	0.99564	0.00000	0.00000	0.00000	0.00436
66	0.99198	0.00000	0.00000	0.00000	0.00802	0.00000
67	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
68	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
69	0.00000	0.90997	0.00009	0.00750	0.00001	0.08244
70	0.00000	0.99827	0.00000	0.00000	0.00000	0.00172
71	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
72	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
73	0.00000	0.98304	0.00000	0.00029	0.00000	0.01668
74	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
75	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
76	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
77	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
78	0.99921	0.00000	0.00000	0.00000	0.00079	0.00000
79	0.99974	0.00000	0.00000	0.00000	0.00026	0.00000
