Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0469.fp2.repr,z1,0,1,0,0,0,0
COPE_0470.fp2.repr,NA,0,1,0,0,0,0
COPE_0471.fp2.repr,z1,0,1,0,0,0,0
COPE_0472.fp2.repr,z1,0,1,0,0,0,0
COPE_0473.fp2.repr,z1,0,1,0,0,0,0
COPE_0474.fp2.repr,z1,0,1,0,0,0,0
COPE_0475.fp2.repr,NA,0,1,0,0,0,0
COPE_0476.fp2.repr,z1,0,1,0,0,0,0
COPE_0477.fp2.repr,z1,0,1,0,0,0,0
COPE_0478.fp2.repr,NA,0,0,0,0,1,0
COPE_0479.fp2.repr,z0,1,0,0,0,0,0
COPE_0480.fp2.repr,NA,0,1,0,0,0,0
COPE_0481.fp2.repr,z1,0,1,0,0,0,0
COPE_0482.fp2.repr,NA,0,1,0,0,0,0
COPE_0483.fp2.repr,z1,0,1,0,0,0,0
COPE_0484.fp2.repr,z1,0,1,0,0,0,0
COPE_0485.fp2.repr,z0,1,0,0,0,0,0
COPE_0486.fp2.repr,z0,1,0,0,0,0,0
COPE_0487.fp2.repr,z1,0,1,0,0,0,0
COPE_0488.fp2.repr,z0,1,0,0,0,0,0
COPE_0489.fp2.repr,NA,0,0,0,1,0,0
COPE_0490.fp2.repr,z1,0,1,0,0,0,0
COPE_0491.fp2.repr,z0,1,0,0,0,0,0
COPE_0492.fp2.repr,z0,1,0,0,0,0,0
COPE_0493.fp2.repr,z0,1,0,0,0,0,0
COPE_0494.fp2.repr,z1,0,1,0,0,0,0
COPE_0495.fp2.repr,z1,0,1,0,0,0,0
COPE_0496.fp2.repr,NA,0,1,0,0,0,0
COPE_0497.fp2.repr,z1,0,1,0,0,0,0
COPE_0498.fp2.repr,NA,1,0,0,0,0,0
COPE_0499.fp2.repr,z0,1,0,0,0,0,0
COPE_0500.fp2.repr,NA,0,1,0,0,0,0
COPE_0501.fp2.repr,z0,1,0,0,0,0,0
COPE_0502.fp2.repr,NA,0,0.35173,0,0.576966,0,0.071304
COPE_0503.fp2.repr,NA,0,1,0,0,0,0
COPE_0504.fp2.repr,NA,0,1,0,0,0,0
COPE_0505.fp2.repr,z0,1,0,0,0,0,0
COPE_0506.fp2.repr,z0,1,0,0,0,0,0
COPE_0507.fp2.repr,z1,0,1,0,0,0,0
COPE_0508.fp2.repr,z1,0,1,0,0,0,0
COPE_0509.fp2.repr,z1,0,1,0,0,0,0
COPE_0510.fp2.repr,NA,0,1,0,0,0,0
COPE_0511.fp2.repr,NA,0,0,0,0,1,0
COPE_0512.fp2.repr,NA,0,1,0,0,0,0
