prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0469.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0469.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0470.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0471.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0471.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0472.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0472.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0473.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0473.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0474.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0474.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0475.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0476.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0477.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,a_bx,1,1,1,1,1,1,0,0
Jeffreys,COPE_0478.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0479.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0480.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0481.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
