182101_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	NoName	0.00000	0.99909	0.00000	0.00005	0.00000	0.00087
5	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
7	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
8	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	NoName	0.00000	0.00000	0.00000	0.02624	0.97376	0.00000
11	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
12	NoName	0.00000	0.99965	0.00000	0.00001	0.00000	0.00034
13	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
14	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
16	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
17	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	NoName	0.99771	0.00000	0.00000	0.00023	0.00206	0.00000
19	NoName	0.00000	0.99949	0.00000	0.00002	0.00000	0.00050
20	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
21	NoName	0.01219	0.00044	0.00020	0.95234	0.01900	0.01583
22	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
23	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
24	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
27	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
29	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
31	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
32	NoName	0.00000	0.99979	0.00000	0.00000	0.00000	0.00021
33	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
34	NoName	0.00000	0.99694	0.00000	0.00057	0.00000	0.00249
35	NoName	0.00000	0.99987	0.00000	0.00000	0.00000	0.00012
36	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
37	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
38	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
43	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
44	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
45	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	NoName	0.00000	0.99971	0.00000	0.00000	0.00000	0.00029
47	NoName	0.00000	0.99984	0.00000	0.00000	0.00000	0.00016
48	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
49	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
50	NoName	0.00000	0.99965	0.00000	0.00001	0.00000	0.00034
51	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	NoName	0.97072	0.00000	0.00000	0.00033	0.02895	0.00000
54	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
56	NoName	0.99296	0.00000	0.00000	0.00078	0.00626	0.00000
57	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
60	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
63	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
65	NoName	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
66	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
69	NoName	0.00000	0.99674	0.00001	0.00062	0.00000	0.00262
70	NoName	0.00000	0.99677	0.00000	0.00006	0.00000	0.00318
71	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
73	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
74	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
76	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
77	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
79	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
80	NoName	0.00000	0.99853	0.00000	0.00001	0.00000	0.00146
81	NoName	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
82	NoName	0.99110	0.00000	0.00000	0.00234	0.00656	0.00000
83	NoName	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
84	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
85	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
86	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
87	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
88	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
89	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
90	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	NoName	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
92	NoName	0.00000	0.00000	0.00010	0.02072	0.00000	0.97918
93	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
94	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
95	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
96	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
97	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
98	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
99	NoName	0.02997	0.95825	0.00204	0.00284	0.00131	0.00560
100	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
101	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
102	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
103	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
104	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
105	NoName	0.00000	0.99923	0.00000	0.00005	0.00000	0.00072
106	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
107	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
108	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
109	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
110	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
111	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
112	NoName	0.97515	0.00000	0.00000	0.00000	0.02484	0.00000
113	NoName	0.99978	0.00000	0.00000	0.00000	0.00022	0.00000
114	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
115	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
116	NoName	0.01903	0.00000	0.00000	0.00098	0.97998	0.00000
117	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
118	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
119	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
120	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
121	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
122	NoName	0.00000	0.99968	0.00000	0.00000	0.00000	0.00031
123	NoName	0.06845	0.11864	0.00076	0.74779	0.03333	0.03103
124	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
125	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
126	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
127	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
128	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
129	NoName	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
130	NoName	0.00000	0.99232	0.00000	0.00000	0.00000	0.00767
131	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
132	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
133	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
134	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
135	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
136	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
137	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
138	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
139	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
140	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
141	NoName	0.99970	0.00000	0.00000	0.00000	0.00029	0.00000
142	NoName	0.97235	0.00000	0.00000	0.00000	0.02764	0.00000
143	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
144	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
145	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
146	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
147	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
148	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
149	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
150	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
151	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
152	NoName	0.15487	0.82348	0.00383	0.00614	0.00419	0.00750
153	NoName	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
154	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
155	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
156	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
157	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
158	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
159	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
160	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
161	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
162	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
163	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
