168001_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
2	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
3	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
4	0.00000	0.98703	0.00000	0.00011	0.00000	0.01285
5	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
6	0.00000	0.99973	0.00000	0.00000	0.00000	0.00027
7	0.00000	0.99958	0.00000	0.00000	0.00000	0.00042
8	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
9	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	0.00000	0.00000	0.00000	0.00004	0.99996	0.00000
11	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	0.00000	0.99605	0.00000	0.00002	0.00000	0.00393
13	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
16	0.00000	0.99775	0.00000	0.00000	0.00000	0.00225
17	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
18	0.88417	0.00000	0.00000	0.00227	0.11356	0.00000
19	0.00000	0.98895	0.00000	0.00007	0.00000	0.01098
20	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	0.00089	0.00006	0.00014	0.97094	0.02109	0.00688
22	0.00000	0.99770	0.00000	0.00000	0.00000	0.00229
23	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
24	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
27	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	0.00000	0.86221	0.00000	0.00000	0.00000	0.13779
29	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
31	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
32	0.00000	0.98986	0.00000	0.00009	0.00000	0.01005
33	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
34	0.00000	0.83864	0.00002	0.02288	0.00000	0.13846
35	0.00000	0.97824	0.00000	0.00041	0.00000	0.02135
36	0.00000	0.97722	0.00000	0.00000	0.00000	0.02278
37	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
40	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
41	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
43	0.53463	0.00000	0.00000	0.00000	0.46537	0.00000
44	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
45	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	0.00000	0.87330	0.00000	0.00000	0.00000	0.12670
47	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
48	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
49	0.99933	0.00000	0.00000	0.00000	0.00067	0.00000
50	0.00000	0.99677	0.00000	0.00001	0.00000	0.00323
51	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	0.47193	0.00000	0.00000	0.00054	0.52753	0.00000
54	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
56	0.02324	0.00000	0.00000	0.89570	0.08105	0.00000
57	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	0.00000	0.99974	0.00000	0.00000	0.00000	0.00026
60	0.00000	0.99975	0.00000	0.00000	0.00000	0.00025
61	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	0.00000	0.99968	0.00000	0.00000	0.00000	0.00032
65	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
66	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
67	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
68	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
69	0.00000	0.79740	0.00003	0.03191	0.00000	0.17066
70	0.00000	0.99827	0.00000	0.00000	0.00000	0.00173
71	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
73	0.00000	0.98955	0.00000	0.00008	0.00000	0.01036
74	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
76	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
77	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
79	0.99935	0.00000	0.00000	0.00000	0.00065	0.00000
80	0.00000	0.90599	0.00000	0.00634	0.00000	0.08767
81	0.00000	0.99986	0.00000	0.00000	0.00000	0.00014
82	0.50504	0.00000	0.00094	0.19029	0.30313	0.00060
83	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
84	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
85	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
86	0.98120	0.00000	0.00000	0.00000	0.01880	0.00000
87	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
88	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
89	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
90	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	0.99502	0.00000	0.00000	0.00000	0.00497	0.00000
92	0.00000	0.00000	0.00000	0.00015	0.00000	0.99985
93	0.00000	0.99985	0.00000	0.00000	0.00000	0.00015
94	0.99694	0.00000	0.00000	0.00001	0.00306	0.00000
95	0.00000	0.99968	0.00000	0.00000	0.00000	0.00032
96	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
97	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
98	0.00000	0.83480	0.00000	0.00020	0.00000	0.16500
99	0.00003	0.54473	0.00335	0.15468	0.00167	0.29555
100	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
101	0.00000	0.99974	0.00000	0.00000	0.00000	0.00026
102	0.00000	0.99879	0.00000	0.00000	0.00000	0.00121
103	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
104	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
105	0.00000	0.82884	0.00005	0.02563	0.00001	0.14547
106	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
107	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
108	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
109	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
110	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
111	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
112	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
113	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
114	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
115	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
116	0.12949	0.00000	0.00000	0.00001	0.87051	0.00000
117	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
118	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
119	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
120	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
121	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
122	0.00000	0.99554	0.00000	0.00000	0.00000	0.00446
123	0.00000	0.74755	0.00046	0.05301	0.00013	0.19885
124	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
125	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
126	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
127	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
128	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
129	0.00000	0.99921	0.00000	0.00000	0.00000	0.00079
130	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
131	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
132	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
133	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
134	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
135	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
136	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
137	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
138	0.99716	0.00000	0.00000	0.00001	0.00284	0.00000
139	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
140	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
141	0.94159	0.00000	0.00000	0.00058	0.05783	0.00000
142	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
143	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
144	0.99873	0.00000	0.00000	0.00000	0.00127	0.00000
145	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
146	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
147	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
148	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
149	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
150	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
151	0.00000	0.94207	0.00000	0.00001	0.00000	0.05791
152	0.00000	0.79656	0.00002	0.03832	0.00001	0.16509
153	0.00000	0.98905	0.00000	0.00004	0.00000	0.01091
154	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
155	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
156	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
