Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0469.fp2.repr,z1,0,0.9999877,0,0,0,1.23e-5
COPE_0470.fp2.repr,NA,0,0.9999227,0,0,0,7.73e-5
COPE_0471.fp2.repr,z1,0,0.9999949,0,0,0,5.1e-6
COPE_0472.fp2.repr,z1,8.394000839400084e-4,0.9980230998023101,3.7400003740000376e-5,1.281000128100013e-4,1.810000181000018e-5,9.539000953900096e-4
COPE_0473.fp2.repr,z1,0,0.9999928,0,0,0,7.2000000000000005e-6
COPE_0474.fp2.repr,z1,0,0.99996729999673,0,5.00000050000005e-7,0,3.2200003220000326e-5
COPE_0475.fp2.repr,NA,0,0.9914693,1.0000000000000001e-7,2.999e-4,0,0.008230699999999999
COPE_0476.fp2.repr,z1,0,0.99998389999839,0,0,0,1.6100001610000163e-5
COPE_0477.fp2.repr,z1,0,0.9999877,0,0,0,1.23e-5
COPE_0478.fp2.repr,NA,0.07872631574526315,0,0.020652704130540826,0.07640411528082305,0.824215264843053,1.6000003200000642e-6
COPE_0479.fp2.repr,z0,0.9999927,0,0,0,7.3e-6,0
COPE_0480.fp2.repr,NA,1.2999997400000517e-5,0.9943621011275797,2.1699995660000868e-5,4.3619991276001743e-4,2.299999540000092e-6,0.005164698967060207
COPE_0481.fp2.repr,z1,0,0.9999974,0,0,0,2.6e-6
COPE_0482.fp2.repr,NA,0,0.999995,0,0,0,4.9999999999999996e-6
COPE_0483.fp2.repr,z1,0,0.99999389999939,0,0,0,6.1000006100000605e-6
COPE_0484.fp2.repr,z1,0,0.9998469,0,3.2000000000000003e-6,0,1.499e-4
COPE_0485.fp2.repr,z0,0.9999844,0,0,1.0000000000000001e-7,1.55e-5,0
COPE_0486.fp2.repr,z0,0.990886089974699,0.001865402051942257,7.318008049808855e-4,0.0014569016025917628,0.004420304862335349,6.395007034507737e-4
COPE_0487.fp2.repr,z1,4.0000016000006404e-7,0.9990100996040399,1.400000560000224e-6,1.1340004536001816e-4,3.0000012000004807e-7,8.744003497601399e-4
