prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0469.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,pure_b,0.99998,1,0.99998,1,0.99996,0.99991,0.99993,1,0.99993,1,1,1,1,1,0.99993,0.99999,0.99996,1,1,1,0.99999,1,1,1,1,1,1,1,1,1,1,1,1,0.99999,0.99992,1,1,1,1,0.99997,1,1,0.99999,1,1,1,0.99999,1,0.99999,0.99976,1,1,1,1,1,0.99998,1,0.99999,1,1,1,1,1,0.99999,0.99996,1,1,1,1,0.99998,1,1,1,0.99999,1,1,0.99999,1,1,1,1,1,1,1,0.99999,0.99996,0.99998,1,1,1,1,1,0.99979,1,1,1,1,1,1,1,0.9999877,3.56995034342914e-5,3.569994254358468e-5
Jeffreys,COPE_0469.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0469.fp2.repr,z1,b_bx,2e-5,0,2e-5,0,4e-5,9e-5,7e-5,0,7e-5,0,0,0,0,0,7e-5,1e-5,4e-5,0,0,0,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,1e-5,8e-5,0,0,0,0,3e-5,0,0,1e-5,0,0,0,1e-5,0,1e-5,2.4e-4,0,0,0,0,0,2e-5,0,1e-5,0,0,0,0,0,1e-5,4e-5,0,0,0,0,2e-5,0,0,0,1e-5,0,0,1e-5,0,0,0,0,0,0,0,1e-5,4e-5,2e-5,0,0,0,0,0,2.1e-4,0,0,0,0,0,0,0,1.23e-5,3.5699503434285265e-5,2.9023986531939236
Jeffreys,COPE_0470.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,pure_b,1,0.99998,1,1,1,1,0.99999,1,0.99999,0.99999,1,0.99998,1,1,0.99991,0.99721,1,0.99921,1,0.99999,1,0.99791,0.9995,1,0.99999,1,0.99994,1,1,0.99998,1,0.99995,1,1,1,0.99999,0.99991,1,0.99999,1,1,1,0.99999,1,1,1,1,1,0.99992,1,1,1,0.99999,1,1,1,1,1,1,1,1,1,0.99983,0.99971,1,0.99983,1,1,1,1,0.99999,1,1,1,1,1,1,0.99997,1,1,1,1,1,0.99999,1,0.99999,1,1,1,1,1,1,1,1,1,1,0.9999,1,1,0.99975,0.9999227,3.578156373092562e-4,3.578432985962377e-4
Jeffreys,COPE_0470.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0470.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
