File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_CHYA_chyaM.2.1.Fltr05.1.recode.vcf	1	recode	625	19862		19834	10524	14168	725840	17000	28304	139625816	138649665	43128124	56031510	40601017	64253090	1347668
MiSeq_CHYA_chyaM.2.1.Fltr16.2.recode.vcf	2	recode	593	19862		19834	10524	14168	725840	17000	28304	118356590	136239011	42806836	55617031	40337816	64046361	1346995
MiSeq_CHYA_chyaM.2.1.Fltr01.3.recode.vcf	3	recode	593	19840		19817	7529	8994	623466	9984	12502	99056925	115631697	35924383	46319094	33372407	52893521	1130017
MiSeq_CHYA_chyaM.2.1.Fltr02.4.recode.vcf	4	recode	593	19817		19817	0	0	623240	0	0	95046771	110953474	34550182	44626510	32206293	51109255	1088835
MiSeq_CHYA_chyaM.2.1.Fltr03.5.recode.vcf	5	recode	593	19816		19816	0	0	622412	0	0	94977980	110855174	34511042	44568968	32155201	50944654	1077297
MiSeq_CHYA_chyaM.2.1.Fltr04.6.recode.vcf	6	recode	593	6847		6847	0	0	244622	0	0	25289040	30789339	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaM.2.1.Fltr14.7.recode.vcf	7	recode	593	6847		6847	0	0	244622	0	0	36699674	19378705	13272369	20538570	18159780	36131247	880501
MiSeq_CHYA_chyaM.2.1.Fltr05.8.recode.vcf	8	recode	593	5957		5957	0	0	215088	0	0	28692738	16926049	12030652	18907015	16815659	33415907	759164
MiSeq_CHYA_chyaM.2.1.Fltr07.9.vcf	9	vcf	593	5906		5906	0	0	116339	0	0	15762193	9441775	6672513	10269672	8938753	17486146	417975
MiSeq_CHYA_chyaM.2.1.Fltr15.10.recode.vcf	10	recode	593	5838		5838	0	0	67417	0	0	9335557	5540574	3878565	5908398	5107575	9953642	253970
