File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_chyaA.10.1.Fltr01.1.recode.vcf	1	recode	625	22217		22196	10166	10980	802505	14376	15715	253469337	90632290	33549709	48013650	36798498	58517221	1201170
MiSeq_chyaA.10.1.Fltr02.2.recode.vcf	2	recode	625	22196		22196	0	0	802220	0	0	241684463	87336548	32396487	46434593	35633791	56739133	1162485
MiSeq_chyaA.10.1.Fltr03.3.recode.vcf	3	recode	625	22194		22194	0	0	801770	0	0	241592340	87291030	32378279	46407117	35610896	56674759	1151829
MiSeq_chyaA.10.1.Fltr04.4.recode.vcf	4	recode	625	15392		15392	0	0	594600	0	0	135769445	73650510	29205300	42954296	33779327	55122192	1143930
MiSeq_chyaA.10.1.Fltr14.5.recode.vcf	5	recode	625	15392		15392	0	0	594600	0	0	183020340	26399615	29205300	42954296	33779327	55122192	1143930
MiSeq_chyaA.10.1.Fltr07.6.vcf	6	vcf	625	15266		15266	0	0	298889	0	0	96380186	13347945	14620076	21018925	16011578	24901405	525510
MiSeq_chyaA.10.1.Fltr05.7.recode.vcf	7	recode	625	2958		2958	0	0	49923	0	0	7279156	2226382	2894939	5052867	4620735	8870135	257661
MiSeq_chyaA.10.1.Fltr15.8.recode.vcf	8	recode	625	2958		2958	0	0	49923	0	0	7279156	2226382	2894939	5052867	4620735	8870135	257661
MiSeq_chyaA.10.1.Fltr06.9.vcf	9	vcf	625	2957		2957	0	0	48753	0	0	7143880	2171270	2824527	4942147	4528750	8648617	211434
MiSeq_chyaA.10.1.Fltr11.10.vcf	10	vcf	625	2892		2892	0	0	23200	0	0	3422451	1038965	1351913	2360379	2153417	4071650	101225
MiSeq_chyaA.10.1.Fltr09.11.vcf	11	vcf	625	2889		2889	0	0	23096	0	0	3407643	1033786	1345480	2350282	2144542	4053145	100122
MiSeq_chyaA.10.1.Fltr08.12.vcf	12	vcf	625	2886		2886	0	0	23056	0	0	3402419	1031647	1342664	2345750	2140208	4047353	99959
MiSeq_chyaA.10.1.Fltr10.13.vcf	13	vcf	625	2879		2879	0	0	22953	0	0	3388359	1026253	1336479	2336186	2131925	4027157	99266
MiSeq_chyaA.10.1.Fltr04.14.recode.vcf	14	recode	625	2879		2879	0	0	22953	0	0	3388359	1026253	1336479	2336186	2131925	4027157	99266
MiSeq_chyaA.10.1.Fltr13.15.recode.vcf	15	recode	625	2473		2473	0	0	19883	0	0	3018967	915771	1213567	2129182	1919963	3189945	39480
MiSeq_chyaA.10.1.Fltr07.16.vcf	16	vcf	625	2473		2473	0	0	19883	0	0	3018967	915771	1213567	2129182	1919963	3189945	39480
MiSeq_chyaA.10.1.Fltr05.17.recode.vcf	17	recode	625	2473		2473	0	0	19883	0	0	3018967	915771	1213567	2129182	1919963	3189945	39480
MiSeq_chyaA.10.1.Fltr16.18.recode.vcf	18	recode	521	2473		2473	0	0	19883	0	0	1169593	793718	1177734	2097030	1901434	3180089	39445
MiSeq_chyaA.10.1.Fltr05.19.recode.vcf	19	recode	521	2459		2459	0	0	19769	0	0	1153522	783231	1167135	2086890	1896445	3173491	38935
MiSeq_chyaA.10.1.Fltr16.20.recode.vcf	20	recode	506	2459		2459	0	0	19769	0	0	960272	727741	1143078	2076682	1889328	3167111	38902
MiSeq_chyaA.10.1.Fltr05.21.recode.vcf	21	recode	506	2423		2423	0	0	19519	0	0	932287	709157	1122913	2052461	1875258	3146212	38326
MiSeq_chyaA.10.1.Fltr16.22.recode.vcf	22	recode	491	2423		2423	0	0	19519	0	0	773163	646935	1089361	2036298	1864635	3135142	38295
MiSeq_chyaA.10.1.Fltr05.23.recode.vcf	23	recode	491	2366		2366	0	0	18926	0	0	725130	617610	1051362	1979804	1823560	3058709	36491
MiSeq_chyaA.10.1.Fltr16.24.recode.vcf	24	recode	471	2366		2366	0	0	18926	0	0	556855	535574	985469	1948159	1810985	3040726	36378
MiSeq_chyaA.10.1.Fltr01.25.recode.vcf	25	recode	471	2366		2366	0	0	18926	0	0	556855	535574	985469	1948159	1810985	3040726	36378
MiSeq_chyaA.10.1.Fltr21.26.MostInformativeSNP.vcf	26	MostInformativeSNP	471	2366		2366	0	0	2366	0	0	69498	67187	121649	238689	224877	387792	4694
